geneSymbol	Input.Type	MGI.Gene.Marker.ID	Symbol	Name	Feature.Type	Chr	Strand	Start	End	Ensembl.ID	Entrez.Gene.ID	OMIM_ID	Human_Disease
1010001N08Rik	current symbol	MGI:1915684	1010001N08Rik	RIKEN cDNA 1010001N08 gene	lincRNA gene	18		11049086	11052566	ENSMUSG00000097222	68434	NA	NA
1110001J03Rik	old symbol	MGI:1913367	Fmc1	formation of mitochondrial complex V assembly factor 1	protein coding gene	6	sense	38533502	38539449	ENSMUSG00000019689	66117	NA	NA
1110002L01Rik	current symbol	MGI:1915821	1110002L01Rik	RIKEN cDNA 1110002L01 gene	antisense lncRNA gene	12	antisense	3403878	3427011	ENSMUSG00000071456	100043040	NA	NA
1110003F05Rik	old symbol	MGI:97837	Qk	quaking	protein coding gene	17	antisense	10206471	10319361	ENSMUSG00000062078	19317	NA	NA
1110004E09Rik	current symbol	MGI:1915251	1110004E09Rik	RIKEN cDNA 1110004E09 gene	protein coding gene	16	antisense	90925809	90934927	ENSMUSG00000022972	68001	NA	NA
1110004F10Rik	current symbol	MGI:1929274	1110004F10Rik	RIKEN cDNA 1110004F10 gene	protein coding gene	7	sense	116039397	116105210	ENSMUSG00000030663	56372	NA	NA
1110006O24Rik	current symbol	MGI:1913373	1110006O24Rik	RIKEN cDNA 1110006O24 gene	lincRNA gene	5	antisense	115631049	115631816	ENSMUSG00000107121	66123	NA	NA
1110007C09Rik	old symbol	MGI:1915730	Card19	caspase recruitment domain family, member 19	protein coding gene	13	antisense	49202951	49216026	ENSMUSG00000037960	68480	NA	NA
1110008F13Rik	current symbol	MGI:1914638	1110008F13Rik	RIKEN cDNA 1110008F13 gene	protein coding gene	2	sense	156863128	156873563	ENSMUSG00000027637	67388	NA	NA
1110008L16Rik	current symbol	MGI:1913382	1110008L16Rik	RIKEN cDNA 1110008L16 gene	protein coding gene	12	sense	55299577	55382533	ENSMUSG00000021023	66132	NA	NA
1110008P14Rik	current symbol	MGI:1920987	1110008P14Rik	RIKEN cDNA 1110008P14 gene	protein coding gene	2	antisense	32377097	32381938	ENSMUSG00000039195	73737	NA	NA
1110012L19Rik	current symbol	MGI:1915868	1110012L19Rik	RIKEN cDNA 1110012L19 gene	protein coding gene	X	sense	70385877	70389417	ENSMUSG00000045237	68618	NA	NA
1110015O18Rik	current symbol	MGI:1915766	1110015O18Rik	RIKEN cDNA 1110015O18 gene	lincRNA gene	3	sense	4797558	4814911	ENSMUSG00000098659	100503859	NA	NA
1110017D15Rik	current symbol	MGI:1920971	1110017D15Rik	RIKEN cDNA 1110017D15 gene	protein coding gene	4	antisense	41505009	41517333	ENSMUSG00000028441	73721	NA	NA
1110019D14Rik	current symbol	MGI:1923561	1110019D14Rik	RIKEN cDNA 1110019D14 gene	lincRNA gene	6	sense	13871526	14044385	ENSMUSG00000097616	76311	NA	NA
1110020A21Rik	current symbol	MGI:1915781	1110020A21Rik	RIKEN cDNA 1110020A21 gene	lincRNA gene	17	antisense	84954967	84957710	ENSMUSG00000097047	68531	NA	NA
1110025L11Rik	current symbol	MGI:1915887	1110025L11Rik	RIKEN cDNA 1110025L11 gene	protein coding gene	16	antisense	89063412	89064002	ENSMUSG00000068073	68637	NA	NA
1110028F11Rik	current symbol	MGI:1915940	1110028F11Rik	RIKEN cDNA 1110028F11 gene	intronic lncRNA gene	11	sense	87701396	87705331	ENSMUSG00000085972	68690	NA	NA
1110028F18Rik	current symbol	MGI:1915942	1110028F18Rik	RIKEN cDNA 1110028F18 gene	lincRNA gene	8	sense	106587143	106594820	ENSMUSG00000099139	68692	NA	NA
1110032A03Rik	current symbol	MGI:1915971	1110032A03Rik	RIKEN cDNA 1110032A03 gene	protein coding gene	9	antisense	50762828	50775520	ENSMUSG00000037971	68721	NA	NA
1110032F04Rik	current symbol	MGI:1915975	1110032F04Rik	RIKEN cDNA 1110032F04 gene	protein coding gene	3	sense	68869586	68872163	ENSMUSG00000046999	68725	NA	NA
1110034G24Rik	current symbol	MGI:1920997	1110034G24Rik	RIKEN cDNA 1110034G24 gene	protein coding gene	2	sense	132686931	132751055	ENSMUSG00000044991	73747	NA	NA
1110036E04Rik	current symbol	MGI:1915947	1110036E04Rik	RIKEN cDNA 1110036E04 gene	lincRNA gene	9	sense	64049829	64054100	ENSMUSG00000097036	68697	NA	NA
1110037F02Rik	current symbol	MGI:1913435	1110037F02Rik	RIKEN cDNA 1110037F02 gene	protein coding gene	4	sense	11485958	11550684	ENSMUSG00000040720	66185	NA	NA
1110038B12Rik	current symbol	MGI:1916013	1110038B12Rik	RIKEN cDNA 1110038B12 gene	unclassified non-coding RNA gene	17	antisense	34950238	34952471	ENSMUSG00000092203	68763	NA	NA
1110038F14Rik	current symbol	MGI:2152337	1110038F14Rik	RIKEN cDNA 1110038F14 gene	protein coding gene	15	sense	76948539	76950729	ENSMUSG00000063236	117171	NA	NA
1110046J04Rik	current symbol	MGI:1916058	1110046J04Rik	RIKEN cDNA 1110046J04 gene	antisense lncRNA gene	13	sense	33935567	33960181	ENSMUSG00000085457	68808	NA	NA
1110051M20Rik	current symbol	MGI:1915079	1110051M20Rik	RIKEN cDNA 1110051M20 gene	protein coding gene	2	antisense	91275068	91444704	ENSMUSG00000040591	228356	NA	NA
1110054M08Rik	old symbol	MGI:1916091	Lppos	LIM domain containing preferred translocation partner in lipoma, opposite strand	lincRNA gene	16	antisense	24392556	24393655	ENSMUSG00000097867	68841	NA	NA
1110059E24Rik	current symbol	MGI:1913456	1110059E24Rik	RIKEN cDNA 1110059E24 gene	protein coding gene	19	antisense	21581202	21652976	ENSMUSG00000035171	66206	NA	NA
1110059G10Rik	current symbol	MGI:1913452	1110059G10Rik	RIKEN cDNA 1110059G10 gene	protein coding gene	9	antisense	122945089	122951000	ENSMUSG00000032551	66202	NA	NA
1110065P20Rik	current symbol	MGI:1916170	1110065P20Rik	RIKEN cDNA 1110065P20 gene	protein coding gene	4	antisense	124849080	124851196	ENSMUSG00000078570	68920	NA	NA
1190002F15Rik	old symbol	MGI:1915081	Lockd	lncRNA downstream of Cdkn1b	lincRNA gene	6	sense	134929092	134956798	ENSMUSG00000098318	381822	NA	NA
1190002N15Rik	current symbol	MGI:1916111	1190002N15Rik	RIKEN cDNA 1190002N15 gene	protein coding gene	9	antisense	94517864	94538081	ENSMUSG00000045414	68861	NA	NA
1190003K10Rik	current symbol	MGI:1916130	1190003K10Rik	RIKEN cDNA 1190003K10 gene	lincRNA gene	13	antisense	64481246	64497792	ENSMUSG00000096537	68880	NA	NA
1190005I06Rik	current symbol	MGI:1916168	1190005I06Rik	RIKEN cDNA 1190005I06 gene	protein coding gene	8	antisense	120608602	120647632	ENSMUSG00000043687	68918	NA	NA
1200014J11Rik	old symbol	MGI:1914124	Ncbp3	nuclear cap binding subunit 3	protein coding gene	11	sense	73047783	73089317	ENSMUSG00000020783	66874	NA	NA
1300002E11Rik	current symbol	MGI:1919001	1300002E11Rik	RIKEN cDNA 1300002E11 gene	lincRNA gene	16	sense	21794318	21809040	ENSMUSG00000097290	100043489	NA	NA
1300017J02Rik	current symbol	MGI:1919025	1300017J02Rik	RIKEN cDNA 1300017J02 gene	protein coding gene	9	antisense	103250521	103305082	ENSMUSG00000033688	71775	NA	NA
1500002I01Rik	current symbol	MGI:1916228	1500002I01Rik	RIKEN cDNA 1500002I01 gene	unclassified gene	19		21293945	21295009		68978	NA	NA
1500004A13Rik	current symbol	MGI:2442808	1500004A13Rik	RIKEN cDNA 1500004A13 gene	unclassified non-coding RNA gene	3	antisense	88782943	88832547	ENSMUSG00000098912	319830	NA	NA
1500004F05Rik	current symbol	MGI:1917015	1500004F05Rik	RIKEN cDNA 1500004F05 gene	unclassified gene	UN		NA	NA		69765	NA	NA
1500009C09Rik	current symbol	MGI:1923755	1500009C09Rik	RIKEN cDNA 1500009C09 gene	protein coding gene	15	sense	82252397	82260753	ENSMUSG00000068099	76505	NA	NA
1500009L16Rik	current symbol	MGI:1917034	1500009L16Rik	RIKEN cDNA 1500009L16 gene	protein coding gene	10	sense	83722865	83762761	ENSMUSG00000087651	69784	NA	NA
1500011B03Rik	current symbol	MGI:1913486	1500011B03Rik	RIKEN cDNA 1500011B03 gene	protein coding gene	5	antisense	114808196	114813976	ENSMUSG00000072694	66236	NA	NA
1500011K16Rik	current symbol	MGI:1915135	1500011K16Rik	RIKEN cDNA 1500011K16 gene	protein coding gene	2	antisense	127791388	127792488	ENSMUSG00000051319	67885	NA	NA
1500012F01Rik	old symbol	MGI:1916199	Zfas1	zinc finger, NFX1-type containing 1, antisense RNA 1	unclassified non-coding RNA gene	2	sense	167062934	167065862	ENSMUSG00000074578	68949	NA	NA
1500012K07Rik	current symbol	MGI:1916204	1500012K07Rik	RIKEN cDNA 1500012K07 gene	unclassified non-coding RNA gene	7	sense	75308696	75331419	ENSMUSG00000097247	68954	NA	NA
1500015A07Rik	current symbol	MGI:1916232	1500015A07Rik	RIKEN cDNA 1500015A07 gene	antisense lncRNA gene	18	sense	61726390	61735917	ENSMUSG00000098702	68982	NA	NA
1500015L24Rik	current symbol	MGI:1916244	1500015L24Rik	RIKEN cDNA 1500015L24 gene	lincRNA gene	19	sense	20405288	20422787	ENSMUSG00000094732	68994	NA	NA
1500015O10Rik	current symbol	MGI:1926146	1500015O10Rik	RIKEN cDNA 1500015O10 gene	protein coding gene	1	sense	43730602	43742578	ENSMUSG00000026051	78896	NA	NA
1500017E21Rik	current symbol	MGI:1919243	1500017E21Rik	RIKEN cDNA 1500017E21 gene	unclassified non-coding RNA gene	19	antisense	36614052	36705641	ENSMUSG00000087579	668215	NA	NA
1600002D24Rik	current symbol	MGI:1917026	1600002D24Rik	RIKEN cDNA 1600002D24 gene	lincRNA gene	16	antisense	95831123	95929077	ENSMUSG00000086899	69776	NA	NA
1600002H07Rik	current symbol	MGI:1919266	1600002H07Rik	RIKEN cDNA 1600002H07 gene	protein coding gene	17	antisense	24215054	24220851	ENSMUSG00000024118	72016	NA	NA
1600002K03Rik	current symbol	MGI:1917020	1600002K03Rik	RIKEN cDNA 1600002K03 gene	protein coding gene	10	sense	80172944	80175146	ENSMUSG00000035595	69770	NA	NA
1600010M07Rik	current symbol	MGI:1917031	1600010M07Rik	RIKEN cDNA 1600010M07 gene	lincRNA gene	7	antisense	109998376	110151202	ENSMUSG00000101585	69781	NA	NA
1600012H06Rik	current symbol	MGI:1915162	1600012H06Rik	RIKEN cDNA 1600012H06 gene	protein coding gene	17	sense	14943184	14959570	ENSMUSG00000050088	67912	NA	NA
1600012P17Rik	current symbol	MGI:1919275	1600012P17Rik	RIKEN cDNA 1600012P17 gene	lincRNA gene	1	antisense	158967701	158980463	ENSMUSG00000047661	72025	NA	NA
1600014C10Rik	current symbol	MGI:1919494	1600014C10Rik	RIKEN cDNA 1600014C10 gene	protein coding gene	7	sense	38183217	38197568	ENSMUSG00000054676	72244	NA	NA
1600014C23Rik	current symbol	MGI:1919490	1600014C23Rik	RIKEN cDNA 1600014C23 gene	protein coding gene	17	antisense	45732864	45733844	ENSMUSG00000094690	72240	NA	NA
1600014K23Rik	old symbol	MGI:1919246	Fthl17a	ferritin, heavy polypeptide-like 17, member A	protein coding gene	X	sense	85249679	85270288	ENSMUSG00000035491	71996	NA	NA
1600015I10Rik	current symbol	MGI:1917011	1600015I10Rik	RIKEN cDNA 1600015I10 gene	protein coding gene	6	sense	48929895	48933687	ENSMUSG00000029813	69761	NA	NA
1600019K03Rik	current symbol	MGI:1917018	1600019K03Rik	RIKEN cDNA 1600019K03 gene	lincRNA gene	16	antisense	35503170	35509419	ENSMUSG00000099429	69768	NA	NA
1600020E01Rik	current symbol	MGI:1919262	1600020E01Rik	RIKEN cDNA 1600020E01 gene	antisense lncRNA gene	6	sense	86526247	86582466	ENSMUSG00000097048	72012	NA	NA
1600023N17Rik	current symbol	MGI:1917038	1600023N17Rik	RIKEN cDNA 1600023N17 gene	lncRNA gene	5		45668700	45669707	ENSMUSG00000104986	69788	NA	NA
1600025M17Rik	current symbol	MGI:1919280	1600025M17Rik	RIKEN cDNA 1600025M17 gene	lincRNA gene	X	sense	56317608	56320664	ENSMUSG00000085114	72030	NA	NA
1600027J07Rik	current symbol	MGI:1917044	1600027J07Rik	RIKEN cDNA 1600027J07 gene	lncRNA gene	8		103343877	103347533	ENSMUSG00000110340	69794	NA	NA
1600029I14Rik	current symbol	MGI:1917047	1600029I14Rik	RIKEN cDNA 1600029I14 gene	lncRNA gene	9	sense	99470421	99474751		69797	NA	NA
1600029O15Rik	current symbol	MGI:3045362	1600029O15Rik	RIKEN cDNA 1600029O15 gene	pseudogene	9	sense	58202897	58208808	ENSMUSG00000057818	665268	NA	NA
1700001C02Rik	current symbol	MGI:1922684	1700001C02Rik	RIKEN cDNA 1700001C02 gene	protein coding gene	5	sense	30466047	30484088	ENSMUSG00000029182	75434	NA	NA
1700001C19Rik	current symbol	MGI:1922712	1700001C19Rik	RIKEN cDNA 1700001C19 gene	protein coding gene	17	antisense	47412734	47437376	ENSMUSG00000047150	75462	NA	NA
1700001D01Rik	current symbol	MGI:1916529	1700001D01Rik	RIKEN cDNA 1700001D01 gene	lincRNA gene	8	antisense	61281522	61288872	ENSMUSG00000099419	69279	NA	NA
1700001G11Rik	current symbol	MGI:1916553	1700001G11Rik	RIKEN cDNA 1700001G11 gene	unclassified non-coding RNA gene	14	antisense	66295334	66297129	ENSMUSG00000085984	69303	NA	NA
1700001G17Rik	current symbol	MGI:1914753	1700001G17Rik	RIKEN cDNA 1700001G17 gene	lncRNA gene	1	sense	33669824	33670712	ENSMUSG00000103746	67503	NA	NA
1700001J03Rik	current symbol	MGI:1916532	1700001J03Rik	RIKEN cDNA 1700001J03 gene	protein coding gene	5	antisense	146182441	146185304	ENSMUSG00000095040	69282	NA	NA
1700001J11Rik	current symbol	MGI:1919474	1700001J11Rik	RIKEN cDNA 1700001J11 gene	pseudogene	9	sense	40050365	40053028	ENSMUSG00000101963	72224	NA	NA
1700001K19Rik	current symbol	MGI:1913573	1700001K19Rik	RIKEN cDNA 1700001K19 gene	protein coding gene	12	antisense	110667689	110682619	ENSMUSG00000056508	66323	NA	NA
1700001K23Rik	current symbol	MGI:1916569	1700001K23Rik	RIKEN cDNA 1700001K23 gene	lncRNA gene	19	antisense	53248736	53255205		69319	NA	NA
1700001L05Rik	current symbol	MGI:1916541	1700001L05Rik	RIKEN cDNA 1700001L05 gene	lincRNA gene	15	antisense	83357526	83367282	ENSMUSG00000075511	69291	NA	NA
1700001L19Rik	current symbol	MGI:1916565	1700001L19Rik	RIKEN cDNA 1700001L19 gene	protein coding gene	13	sense	68597439	68614231	ENSMUSG00000021534	69315	NA	NA
1700001O22Rik	current symbol	MGI:1923631	1700001O22Rik	RIKEN cDNA 1700001O22 gene	protein coding gene	2	antisense	30794769	30803661	ENSMUSG00000044320	73598	NA	NA
1700001P01Rik	current symbol	MGI:1919465	1700001P01Rik	RIKEN cDNA 1700001P01 gene	protein coding gene	11	antisense	97771481	97775918	ENSMUSG00000018543	72215	NA	NA
1700003C15Rik	current symbol	MGI:1916595	1700003C15Rik	RIKEN cDNA 1700003C15 gene	lincRNA gene	5	antisense	11689253	11769308	ENSMUSG00000099391	69345	NA	NA
1700003D09Rik	current symbol	MGI:1916588	1700003D09Rik	RIKEN cDNA 1700003D09 gene	unclassified non-coding RNA gene	11	antisense	98350718	98358283	ENSMUSG00000085944	69338	NA	NA
1700003E16Rik	current symbol	MGI:1919087	1700003E16Rik	RIKEN cDNA 1700003E16 gene	protein coding gene	6	sense	83156404	83162945	ENSMUSG00000030030	71837	NA	NA
1700003F12Rik	current symbol	MGI:1922730	1700003F12Rik	RIKEN cDNA 1700003F12 gene	protein coding gene	2	sense	154547085	154550003	ENSMUSG00000038523	75480	NA	NA
1700003G13Rik	current symbol	MGI:1919479	1700003G13Rik	RIKEN cDNA 1700003G13 gene	antisense lncRNA gene	9	antisense	45318265	45322079	ENSMUSG00000085831	72229	NA	NA
1700003G18Rik	current symbol	MGI:1916600	1700003G18Rik	RIKEN cDNA 1700003G18 gene	unclassified non-coding RNA gene	7	antisense	116081759	116093159	ENSMUSG00000087621	69350	NA	NA
1700003H04Rik	current symbol	MGI:1923637	1700003H04Rik	RIKEN cDNA 1700003H04 gene	protein coding gene	3	antisense	124556352	124581101	ENSMUSG00000039174	384775	NA	NA
1700003I22Rik	current symbol	MGI:1916606	1700003I22Rik	RIKEN cDNA 1700003I22 gene	lincRNA gene	1		56018977	56020202	ENSMUSG00000100372	69356	NA	NA
1700003L19Rik	current symbol	MGI:1922743	1700003L19Rik	RIKEN cDNA 1700003L19 gene	lincRNA gene	16	sense	12811390	12848653	ENSMUSG00000101565	75493	NA	NA
1700003M02Rik	old symbol	MGI:1916579	Cfap206	cilia and flagella associated protein 206	protein coding gene	4	antisense	34688559	34730206	ENSMUSG00000028294	69329	NA	NA
1700003M07Rik	current symbol	MGI:1919475	1700003M07Rik	RIKEN cDNA 1700003M07 gene	lincRNA gene	4	sense	129960374	129963657	ENSMUSG00000085389	72225	NA	NA
1700003P14Rik	current symbol	MGI:1916594	1700003P14Rik	RIKEN cDNA 1700003P14 gene	lincRNA gene	13	sense	118555360	118588704	ENSMUSG00000100727	75890	NA	NA
1700006A11Rik	current symbol	MGI:1919074	1700006A11Rik	RIKEN cDNA 1700006A11 gene	protein coding gene	3	antisense	124400989	124426040	ENSMUSG00000027973	71824	NA	NA
1700006E09Rik	current symbol	MGI:1922687	1700006E09Rik	RIKEN cDNA 1700006E09 gene	protein coding gene	11	sense	101984279	101992264	ENSMUSG00000010841	75437	NA	NA
1700006F04Rik	current symbol	MGI:1922682	1700006F04Rik	RIKEN cDNA 1700006F04 gene	lincRNA gene	14	sense	119749225	119751564	ENSMUSG00000100274	75432	NA	NA
1700006H21Rik	current symbol	MGI:1919507	1700006H21Rik	RIKEN cDNA 1700006H21 gene	lincRNA gene	13	sense	107687397	107692173	ENSMUSG00000102000	72257	NA	NA
1700007B14Rik	current symbol	MGI:1919081	1700007B14Rik	RIKEN cDNA 1700007B14 gene	protein coding gene	8	sense	75448694	75984503	ENSMUSG00000031620	71831	NA	NA
1700007E05Rik	current symbol	MGI:2149745	1700007E05Rik	RIKEN cDNA 1700007E05 gene	pseudogene	16	antisense	31376506	31379133	ENSMUSG00000101234	114672	NA	NA
1700007F19Rik	current symbol	MGI:1915100	1700007F19Rik	RIKEN cDNA 1700007F19 gene	lincRNA gene	3	antisense	58141707	58163807	ENSMUSG00000100666	67850	NA	NA
1700007G11Rik	current symbol	MGI:1916571	1700007G11Rik	RIKEN cDNA 1700007G11 gene	protein coding gene	5	sense	98329304	98802047	ENSMUSG00000057816	75784	NA	NA
1700007J10Rik	current symbol	MGI:1916570	1700007J10Rik	RIKEN cDNA 1700007J10 gene	unclassified non-coding RNA gene	11	antisense	59725917	59740154	ENSMUSG00000086330	69320	NA	NA
1700007K09Rik	current symbol	MGI:1916568	1700007K09Rik	RIKEN cDNA 1700007K09 gene	protein coding gene	7	antisense	131325944	131329516	ENSMUSG00000030858	69318	NA	NA
1700007K13Rik	current symbol	MGI:1916577	1700007K13Rik	RIKEN cDNA 1700007K13 gene	protein coding gene	2	antisense	28462001	28466332	ENSMUSG00000026831	69327	NA	NA
1700007L15Rik	current symbol	MGI:1916581	1700007L15Rik	RIKEN cDNA 1700007L15 gene	lincRNA gene	16	antisense	33379855	33380727	ENSMUSG00000097318	100502742	NA	NA
1700007P06Rik	current symbol	MGI:1916558	1700007P06Rik	RIKEN cDNA 1700007P06 gene	antisense lncRNA gene	1	sense	187125138	187127852	ENSMUSG00000089730	69308	NA	NA
1700008C04Rik	current symbol	MGI:1922744	1700008C04Rik	RIKEN cDNA 1700008C04 gene	lncRNA gene	12		51005155	51062542		75494	NA	NA
1700008F21Rik	old symbol	MGI:1922703	Ccdc7b	coiled-coil domain containing 7B	protein coding gene	8	sense	129067134	129183732	ENSMUSG00000056018	75453	NA	NA
1700008I05Rik	old symbol	MGI:1919091	Tcp11x2	t-complex 11 family, X-linked 2	protein coding gene	X	antisense	135654698	135693790	ENSMUSG00000058252	71841	NA	NA
1700008J07Rik	current symbol	MGI:1916610	1700008J07Rik	RIKEN cDNA 1700008J07 gene	antisense lncRNA gene	7	antisense	127510438	127512869	ENSMUSG00000101225	629159	NA	NA
1700008K24Rik	current symbol	MGI:1916561	1700008K24Rik	RIKEN cDNA 1700008K24 gene	lincRNA gene	17	antisense	49112263	49113535	ENSMUSG00000101012	69311	NA	NA
1700008O03Rik	current symbol	MGI:1916599	1700008O03Rik	RIKEN cDNA 1700008O03 gene	protein coding gene	7	antisense	44360043	44385820	ENSMUSG00000008028	69349	NA	NA
1700008P02Rik	current symbol	MGI:1916597	1700008P02Rik	RIKEN cDNA 1700008P02 gene	protein coding gene	3	antisense	6615418	6620443	ENSMUSG00000069118	69347	NA	NA
1700009C05Rik	current symbol	MGI:1921470	1700009C05Rik	RIKEN cDNA 1700009C05 gene	lincRNA gene	6	antisense	81900464	81910800	ENSMUSG00000101404	74220	NA	NA
1700009J07Rik	current symbol	MGI:1914938	1700009J07Rik	RIKEN cDNA 1700009J07 gene	lincRNA gene	10	sense	77893417	77896114	ENSMUSG00000096573	75188	NA	NA
1700009N14Rik	current symbol	MGI:1922721	1700009N14Rik	RIKEN cDNA 1700009N14 gene	protein coding gene	4	sense	39450295	39451776	ENSMUSG00000028287	75471	NA	NA
1700010B08Rik	current symbol	MGI:1922735	1700010B08Rik	RIKEN cDNA 1700010B08 gene	protein coding gene	2	sense	173719415	173722089	ENSMUSG00000057047	75485	NA	NA
1700010B13Rik	current symbol	MGI:1922741	1700010B13Rik	RIKEN cDNA 1700010B13 gene	unclassified non-coding RNA gene	15	sense	73645852	73652347	ENSMUSG00000099958	100503661	NA	NA
1700010D01Rik	current symbol	MGI:1923636	1700010D01Rik	RIKEN cDNA 1700010D01 gene	lincRNA gene	X	antisense	95732586	95733265	ENSMUSG00000071721	76386	NA	NA
1700010H22Rik	current symbol	MGI:1922750	1700010H22Rik	RIKEN cDNA 1700010H22 gene	lincRNA gene	5	antisense	98553629	98567004	ENSMUSG00000067101	75500	NA	NA
1700010I02Rik	current symbol	MGI:1922726	1700010I02Rik	RIKEN cDNA 1700010I02 gene	lincRNA gene	3	antisense	7925303	7954889	ENSMUSG00000100010	75476	NA	NA
1700010I14Rik	current symbol	MGI:1914181	1700010I14Rik	RIKEN cDNA 1700010I14 gene	protein coding gene	17	sense	8988333	9008319	ENSMUSG00000023873	66931	NA	NA
1700010J16Rik	current symbol	MGI:1916605	1700010J16Rik	RIKEN cDNA 1700010J16 gene	lincRNA gene	10	sense	112726888	112785602	ENSMUSG00000100314	69355	NA	NA
1700010K23Rik	current symbol	MGI:1922751	1700010K23Rik	RIKEN cDNA 1700010K23 gene	unclassified non-coding RNA gene	16	sense	66657118	66664626	ENSMUSG00000092599	75501	NA	NA
1700011A15Rik	old symbol	MGI:1913572	Krt88	keratin 88	protein coding gene	15	sense	101447745	101453909	ENSMUSG00000063971	66322	NA	NA
1700011B04Rik	current symbol	MGI:1922894	1700011B04Rik	RIKEN cDNA 1700011B04 gene	unclassified non-coding RNA gene	13	sense	35180267	35188017	ENSMUSG00000102099	100503727	NA	NA
1700011C11Rik	current symbol	MGI:1922701	1700011C11Rik	RIKEN cDNA 1700011C11 gene	lincRNA gene	7		71961174	72027316	ENSMUSG00000108800	75451	NA	NA
1700011E24Rik	current symbol	MGI:1922717	1700011E24Rik	RIKEN cDNA 1700011E24 gene	protein coding gene	17	antisense	87389571	87427741	ENSMUSG00000036557	75467	NA	NA
1700011H14Rik	current symbol	MGI:1914332	1700011H14Rik	RIKEN cDNA 1700011H14 gene	protein coding gene	14	antisense	49226358	49245428	ENSMUSG00000021850	67082	NA	NA
1700011I03Rik	current symbol	MGI:1922694	1700011I03Rik	RIKEN cDNA 1700011I03 gene	protein coding gene	18	sense	57533780	57731065	ENSMUSG00000058925	75444	NA	NA
1700011L22Rik	current symbol	MGI:1914937	1700011L22Rik	RIKEN cDNA 1700011L22 gene	protein coding gene	8	antisense	79210431	79248570	ENSMUSG00000031682	67687	NA	NA
