Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Vars2	valyl-tRNA synthetase 2, mitochondrial	2.82e-03	3.70e-01	-0.1057	0.0348
		Zfp277	zinc finger protein 277	2.83e-03	3.70e-01	-0.0944	0.031
		Fastkd5	FAST kinase domains 5	3.00e-03	3.84e-01	-0.0945	0.0313
		Btbd9	BTB (POZ) domain containing 9	3.04e-03	3.84e-01	-0.1373	0.0455
		Calm3	calmodulin 3	3.04e-03	3.84e-01	-0.0771	0.0256
		Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	3.13e-03	3.91e-01	-0.1336	0.0444
		Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	3.20e-03	3.95e-01	-0.1326	0.0442
		Cttn	cortactin	3.34e-03	3.95e-01	-0.157	0.0526
		Igfbp4	insulin-like growth factor binding protein 4	3.43e-03	3.97e-01	-0.1594	0.0535
		Ccr5	chemokine (C-C motif) receptor 5	3.47e-03	3.97e-01	-0.131	0.0441
		Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	3.49e-03	3.97e-01	-0.1308	0.044
		Cort	cortistatin	3.51e-03	3.97e-01	-0.2789	0.0939
