Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		7	Eef2	eukaryotic translation elongation factor 2	1.85e-03	0.2052	-0.1435	0.0452
		8	Slc7a5	solute carrier family 7 (cationic amino acid transporter, y+ system), member 5	2.74e-03	0.2224	-0.1094	0.0359
		9	Nkain2	Na+/K+ transporting ATPase interacting 2	2.03e-03	0.2123	-0.1499	0.0476
		10	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	3.02e-03	0.2281	-0.1208	0.04
		11	Gm15631	NA	2.52e-03	0.2224	-0.3565	0.1129
		12	Ica1	islet cell autoantigen 1	2.00e-03	0.2123	-0.0928	0.0295
		13	Knop1	lysine rich nucleolar protein 1	2.72e-03	0.2224	-0.0675	0.0221
		14	Orc2	origin recognition complex, subunit 2	7.83e-03	0.3033	-0.1005	0.0373
		15	Tmem248	transmembrane protein 248	6.05e-04	0.1242	-0.1377	0.0379
		16	Psmd13	proteasome (prosome, macropain) 26S subunit, non-ATPase, 13	3.74e-03	0.2593	-0.0645	0.0219
		17	B3gat3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	2.48e-03	0.2224	-0.0806	0.0262
		18	Nmb	neuromedin B	6.26e-03	0.2898	-0.0932	0.0336
		19	Wbp11	WW domain binding protein 11	6.23e-04	0.1255	-0.1487	0.0425
		20	Sema4b	sema domain, immunoglobulin domain (Ig), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 4B	2.88e-03	0.2224	-0.0864	0.0285
		21	Mfhas1	malignant fibrous histiocytoma amplified sequence 1	2.07e-04	0.0802	-0.1459	0.0365
		22	Ecsit	ECSIT signalling integrator	1.69e-04	0.0737	-0.1442	0.0373
		23	Cyp20a1	cytochrome P450, family 20, subfamily a, polypeptide 1	4.13e-03	0.2614	-0.1375	0.0471
		24.5	Itpr2	inositol 1,4,5-triphosphate receptor 2	5.61e-03	0.2801	-0.0777	0.0276
		24.5	Cd52	CD52 antigen	8.79e-03	0.3104	-0.0968	0.0365
		26	Btbd9	BTB (POZ) domain containing 9	9.52e-03	0.3162	-0.0869	0.0331
		27	Tatdn2	TatD DNase domain containing 2	2.49e-03	0.2224	-0.1063	0.0345
		28	Armc7	armadillo repeat containing 7	4.65e-03	0.2691	-0.0971	0.0338
		29	Igfbp4	insulin-like growth factor binding protein 4	9.17e-03	0.3141	-0.1294	0.049
		30	Spns2	spinster homolog 2	3.87e-03	0.2612	-0.1588	0.0528
		31	Gpr68	G protein-coupled receptor 68	1.59e-03	0.1943	-0.1288	0.04
		32	Gnaz	guanine nucleotide binding protein, alpha z subunit	3.27e-03	0.2405	-0.0931	0.0311
		33	Nes	nestin	1.15e-02	0.3367	-0.1246	0.0487
		34	Herpud1	homocysteine-inducible, endoplasmic reticulum stress-inducible, ubiquitin-like domain member 1	3.27e-03	0.2405	-0.0814	0.0272
		35	Eno2	enolase 2, gamma neuronal	6.42e-03	0.2898	-0.0447	0.0161
		36	Aplp2	amyloid beta (A4) precursor-like protein 2	6.02e-03	0.2898	-0.149	0.0534
		37	Usp12	ubiquitin specific peptidase 12	2.07e-02	0.4049	-0.0979	0.0419
		38	Bcl7b	B cell CLL/lymphoma 7B	6.44e-05	0.0419	-0.1403	0.034
		39.5	Matn4	matrilin 4	5.44e-03	0.2792	-0.0968	0.0343
		39.5	Ciart	circadian associated repressor of transcription	4.03e-03	0.2614	-0.1314	0.0449
		41	Smn1	survival motor neuron 1	6.34e-03	0.2898	-0.0683	0.0246
		42	Nudcd3	NudC domain containing 3	1.37e-03	0.1818	-0.0881	0.0269
		43	Madd	MAP-kinase activating death domain	1.78e-02	0.388	-0.1075	0.0449
		44	1500009C09Rik	RIKEN cDNA 1500009C09 gene	4.22e-03	0.2636	-0.2727	0.0915
		45	Rnf112	ring finger protein 112	9.83e-03	0.3185	-0.0995	0.038
		46	Stk19	serine/threonine kinase 19	3.85e-03	0.2612	-0.0917	0.0312
		47	Svip	small VCP/p97-interacting protein	1.14e-03	0.1709	-0.0909	0.0265
		48	Creld1	cysteine-rich with EGF-like domains 1	1.01e-02	0.3186	-0.0636	0.0244
		49	Riox1	NA	8.02e-03	0.3033	-0.0854	0.0318
		50	Dpm1	dolichol-phosphate (beta-D) mannosyltransferase 1	7.92e-03	0.3033	-0.0702	0.0261
