Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset	groups	keyword	disease	significance	brain_cells	plot_title	Study	outlier	Model_types
GSE64398_WT_2m_Hipp_rep3	Astrocytes	4.09881881144421	0.661842355750782	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep4	Astrocytes	-2.38207239550933	0.361853521415719	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep5	Astrocytes	-1.42059245282287	0.406358704118615	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep6	Astrocytes	-0.230741514225771	0.46143477077427	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep7	Astrocytes	-0.873969696531771	0.431660891463597	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_2m_Hipp_rep8	Astrocytes	-0.869740075045866	0.431856673058862	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_2m_Hipp_rep9	Astrocytes	-2.05824449895978	0.376842934153715	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep1	Astrocytes	-2.05996046636225	0.376763505099225	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep2	Astrocytes	-2.61700717819131	0.350978811541573	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep3	Astrocytes	0.24858459489602	0.483621916978411	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep4	Astrocytes	-0.140880082719844	0.465594295325495	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep5	Astrocytes	-0.931465157468615	0.428999529660841	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep6	Astrocytes	3.4380294982577	0.631255603177124	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep7	Astrocytes	-2.54860336310388	0.354145101500295	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep8	Astrocytes	5.35308730043982	0.719900195319711	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep9	Astrocytes	4.49362129278112	0.680117054767759	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep1	Astrocytes	-6.2119218330264	0.184576657516687	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep10	Astrocytes	10.1305039923252	0.941038248523549	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	GSE64398_WT_8m_Hipp_rep10	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep2	Astrocytes	-3.52358597152423	0.309014904609601	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep3	Astrocytes	2.88934777120545	0.605858109767151	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep4	Astrocytes	3.12992138149831	0.616993830861512	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep5	Astrocytes	-3.57162285175811	0.306791363549231	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep6	Astrocytes	-4.0769700180696	0.283399749261113	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep7	Astrocytes	-2.45147305592489	0.358641089274009	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep8	Astrocytes	-3.60869186826661	0.305075505236349	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep9	Astrocytes	-3.51705014690794	0.309317436212964	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep1	Astrocytes	-3.56200973650805	0.307236337418735	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep2	Astrocytes	-4.22639955353709	0.276482923977574	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep3	Astrocytes	11.4043003905722	1	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	GSE64398_WT_18m_Hipp_rep3	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep4	Astrocytes	2.56765786002009	0.590967660538454	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep5	Astrocytes	3.17009661559369	0.618853470417331	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep6	Astrocytes	0.858452016486308	0.511851586488293	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep7	Astrocytes	-1.70391530445489	0.393244197288075	WT	NA	NA	mixed_model	WT	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep1	Astrocytes	0.0107393192151596	0.472612485601589	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep2	Astrocytes	-5.18564476411266	0.232081183017425	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep3	Astrocytes	0.767717928612678	0.507651668238398	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep4	Astrocytes	0.176998337668041	0.480308317478825	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep1	Astrocytes	-2.57800830866136	0.35278399929077	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep2	Astrocytes	-1.79306186404379	0.38911776287619	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep3	Astrocytes	-2.94051595857688	0.336004170118662	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep4	Astrocytes	0.962151546006263	0.516651651786166	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep1	Astrocytes	0.123005737888089	0.477809096838718	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep2	Astrocytes	-8.26787769720125	0.0894101467015681	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	GSE64398_TAS10_2m_Hipp_rep2	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep3	Astrocytes	-1.86238295997704	0.385909013631714	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep4	Astrocytes	-3.62390444858002	0.304371342168383	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAU_2m_Hipp_rep2	Astrocytes	1.64137522262542	0.548091697992024	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_2m_Hipp_rep3	Astrocytes	-1.41187376851998	0.406762276383206	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_2m_Hipp_rep4	Astrocytes	0.196252572673934	0.481199561496196	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TPM_2m_Hipp_rep1	Astrocytes	2.8213534448419	0.602710774307281	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_2m_Hipp_rep2	Astrocytes	3.06823339140364	0.614138404400855	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_2m_Hipp_rep3	Astrocytes	6.98173513372787	0.795287383508613	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	GSE64398_TPM_2m_Hipp_rep3	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep1	Astrocytes	-10.1994743676407	4.11121866266669e-16	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep1	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep2	Astrocytes	0.626464311386104	0.501113291551571	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep3	Astrocytes	-1.1944686403033	0.416825569981193	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep4	Astrocytes	3.64864880284992	0.641004793165885	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_4m_Hipp_rep1	Astrocytes	3.13117416435134	0.617051819933656	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_4m_Hipp_rep2	Astrocytes	-3.06501731475594	0.330241225560478	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAU_4m_Hipp_rep1	Astrocytes	-1.3238952552704	0.410834644024242	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep2	Astrocytes	0.614240383970276	0.500547467867856	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep3	Astrocytes	-3.11889802074979	0.327747184283115	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep4	Astrocytes	-3.77699149489559	0.297285217265262	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TPM_4m_Hipp_rep1	Astrocytes	8.13139339462856	0.848503003175433	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	GSE64398_TPM_4m_Hipp_rep1	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep2	Astrocytes	4.45975153268386	0.678549284298185	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep3	Astrocytes	-0.42057054749191	0.452647925170171	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep4	Astrocytes	1.44848183144544	0.539163008754201	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep1	Astrocytes	-4.10941414792264	0.281897968659521	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep2	Astrocytes	-2.91557730037403	0.337158535894178	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep3	Astrocytes	-1.10651774820936	0.420896659088457	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep4	Astrocytes	-2.58625559859485	0.352402247026372	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep1	Astrocytes	1.37779542491704	0.535891061730151	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep2	Astrocytes	1.66262860817779	0.5490754791039	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep3	Astrocytes	4.14919775719484	0.664174306824817	Disease	0.322160517096772	0.322160517096772	mixed_model	Disease	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_1	Dentate granule cells	-1.96894857905239	0.629788419944066	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_2	Dentate granule cells	1.93883857213361	0.883584045257609	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_3	Dentate granule cells	-1.43133903839526	0.664704075343617	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_4	Dentate granule cells	-0.359465162284406	0.734318128033831	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_5	Dentate granule cells	2.34123635306334	0.909718221067273	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_6	Dentate granule cells	2.09173721089441	0.8935142190702	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_7	Dentate granule cells	1.49766863286339	0.854931768080066	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_8	Dentate granule cells	1.47419082625085	0.853406975562026	WT	NA	NA	mixed_model	WT	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_1	Dentate granule cells	-1.18271401659991	0.680851306611316	Disease	0.286789520867438	0.286789520867438	mixed_model	Disease	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_2	Dentate granule cells	1.69605286830762	0.867816055053484	Disease	0.286789520867438	0.286789520867438	mixed_model	Disease	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
