Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		8	Stt3b	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	9.61e-07	0	-0.093	0.0178
		9	Cort	cortistatin	1.95e-08	0	-0.7154	0.1172
		10	Prr3	proline-rich polypeptide 3	1.41e-06	1e-04	-0.1191	0.0232
		11	Kcnq3	potassium voltage-gated channel, subfamily Q, member 3	7.74e-07	0	-0.215	0.0407
		12	Plpp6	NA	1.85e-06	1e-04	-0.2438	0.048
		13	Il17d	interleukin 17D	2.01e-06	1e-04	-0.2527	0.05
		14	Cinp	cyclin-dependent kinase 2 interacting protein	3.25e-06	1e-04	-0.1661	0.0337
		15	Cadps2	Ca2+-dependent activator protein for secretion 2	3.45e-06	1e-04	-0.2281	0.0463
		16	6430573F11Rik	RIKEN cDNA 6430573F11 gene	2.91e-06	1e-04	-0.2565	0.0517
		17	R3hdm1	R3H domain containing 1	9.28e-06	3e-04	-0.3759	0.0805
		18	Ccdc32	coiled-coil domain containing 32	4.09e-06	2e-04	-0.1559	0.0319
		19	Vegfc	vascular endothelial growth factor C	1.58e-07	0	-0.2073	0.0368
		20	Map3k5	mitogen-activated protein kinase kinase kinase 5	4.77e-06	2e-04	-0.2263	0.0433
		21	Mkx	mohawk homeobox	1.11e-06	1e-04	-0.3311	0.0638
		22	Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	4.73e-06	2e-04	-0.1175	0.0243
		23	Fjx1	four jointed box 1 (Drosophila)	2.83e-06	1e-04	-0.2708	0.0545
		24	Ppp3r1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	3.68e-06	1e-04	-0.2691	0.0545
		25	Rbfox2	RNA binding protein, fox-1 homolog (C. elegans) 2	3.78e-06	1e-04	-0.2733	0.0559
		26.5	Nyap1	neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1	1.88e-06	1e-04	-0.2804	0.0553
		26.5	Myt1l	myelin transcription factor 1-like	3.91e-06	1e-04	-0.1674	0.0343
		28	Commd2	COMM domain containing 2	7.16e-06	2e-04	-0.2462	0.0521
		29	Slc8a2	solute carrier family 8 (sodium/calcium exchanger), member 2	1.86e-05	5e-04	-0.3403	0.0757
		30	Mturn	maturin, neural progenitor differentiation regulator homolog (Xenopus)	1.02e-05	3e-04	-0.2841	0.061
		31	Ggct	gamma-glutamyl cyclotransferase	8.84e-06	3e-04	-0.1666	0.0356
		32	Etv5	ets variant 5	1.67e-05	5e-04	-0.2188	0.0483
		33	Arid5b	AT rich interactive domain 5B (MRF1-like)	1.64e-05	5e-04	-0.3093	0.0683
		34	Lrrfip1	leucine rich repeat (in FLII) interacting protein 1	1.47e-05	5e-04	-0.1337	0.0294
		35	Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	1.93e-05	6e-04	-0.1898	0.0424
		36	Plppr5	NA	1.52e-05	5e-04	-0.1854	0.0408
		37	Kcnk12	potassium channel, subfamily K, member 12	1.90e-05	6e-04	-0.2026	0.0451
		38	Pum2	pumilio RNA-binding family member 2	1.83e-05	5e-04	-0.1927	0.0429
		39	Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1.79e-05	5e-04	-0.1006	0.0223
		40	Nr4a2	nuclear receptor subfamily 4, group A, member 2	1.85e-05	5e-04	-0.3953	0.088
		41	Mtus2	microtubule associated tumor suppressor candidate 2	2.12e-05	6e-04	-0.2011	0.045
		42	Rgs7	regulator of G protein signaling 7	1.77e-06	1e-04	-0.1545	0.0304
		43	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	2.61e-05	7e-04	-0.1928	0.0437
		44	Dlg2	discs, large homolog 2 (Drosophila)	3.78e-05	0.001	-0.1811	0.042
		45	Wwc1	WW, C2 and coiled-coil domain containing 1	6.32e-06	2e-04	-0.1863	0.0388
		46	Rapgef5	Rap guanine nucleotide exchange factor (GEF) 5	3.31e-05	9e-04	-0.2467	0.0567
		47	Wasf3	WAS protein family, member 3	4.53e-05	0.0011	-0.1874	0.0439
		48	Dnajb5	DnaJ heat shock protein family (Hsp40) member B5	1.38e-05	4e-04	-0.231	0.0506
		49	Mecp2	methyl CpG binding protein 2	4.16e-05	0.001	-0.1291	0.0301
		50	Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	1.29e-05	4e-04	-0.2046	0.0446
