Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		6	Pdia4	protein disulfide isomerase associated 4	7.31e-04	0.2149	-0.1612	0.0466
		7	Fam53b	family with sequence similarity 53, member B	7.07e-04	0.2138	-0.153	0.0442
		8	Gbp3	guanylate binding protein 3	7.75e-04	0.2195	-0.18	0.0523
		9	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	5.11e-04	0.1867	-0.1532	0.043
		10	Snhg5	small nucleolar RNA host gene 5	4.52e-04	0.1867	-0.1518	0.0406
		11	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	3.08e-03	0.3902	-0.1338	0.0444
		12	Wbp11	WW domain binding protein 11	2.58e-04	0.1539	-0.1625	0.0433
		13	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	4.05e-03	0.394	-0.1054	0.0361
		14	Itpr2	inositol 1,4,5-triphosphate receptor 2	2.86e-03	0.3776	-0.0911	0.03
		15	Nkain2	Na+/K+ transporting ATPase interacting 2	4.05e-03	0.394	-0.1381	0.0472
		16	Gm15631	NA	9.18e-04	0.2218	-0.345	0.0986
		17	Src	Rous sarcoma oncogene	1.04e-03	0.2355	-0.1311	0.0391
		18	Crhbp	corticotropin releasing hormone binding protein	1.16e-05	0.0253	-0.27	0.0592
		19	Fam118b	family with sequence similarity 118, member B	2.83e-03	0.3776	-0.1037	0.0341
		20	Ripk3	receptor-interacting serine-threonine kinase 3	3.93e-03	0.394	-0.1206	0.0411
		21	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	2.80e-03	0.3776	-0.0977	0.0321
		22	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	1.28e-03	0.2538	-0.0948	0.0288
		23	Ppm1f	protein phosphatase 1F (PP2C domain containing)	4.68e-03	0.4137	-0.0751	0.0261
		24	Mcur1	mitochondrial calcium uniporter regulator 1	2.39e-03	0.353	-0.1245	0.0389
		25	Timm29	NA	2.28e-03	0.353	-0.0806	0.0259
		26	Herc6	hect domain and RLD 6	1.91e-03	0.3191	-0.1836	0.0562
		27	Eef2	eukaryotic translation elongation factor 2	5.06e-03	0.419	-0.1326	0.0465
		28	Zfp277	zinc finger protein 277	2.88e-03	0.3776	-0.0941	0.031
		29	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	3.99e-03	0.394	-0.103	0.0352
		30	Trpc6	transient receptor potential cation channel, subfamily C, member 6	4.27e-03	0.394	-0.2002	0.0689
		31	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	7.48e-03	0.4398	-0.1121	0.0413
		32.5	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	8.51e-04	0.2195	-0.124	0.0364
		32.5	Irf1	interferon regulatory factor 1	3.94e-03	0.394	-0.102	0.0348
		34	Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	3.48e-03	0.394	-0.1311	0.0441
		35	Cyp20a1	cytochrome P450, family 20, subfamily a, polypeptide 1	3.53e-03	0.394	-0.1465	0.0493
		36	Bcl7b	B cell CLL/lymphoma 7B	2.70e-03	0.3776	-0.109	0.0357
		37	Mgll	monoglyceride lipase	6.06e-03	0.4396	-0.091	0.0327
		38	Btbd9	BTB (POZ) domain containing 9	3.09e-03	0.3902	-0.1371	0.0455
		39	Fastkd5	FAST kinase domains 5	3.03e-03	0.3902	-0.0943	0.0313
		40	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	4.16e-03	0.394	-0.1197	0.0411
		41	Atf6b	activating transcription factor 6 beta	2.22e-04	0.1419	-0.1419	0.0374
		42	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2	6.29e-03	0.4396	-0.1988	0.0717
		43	Ccr5	chemokine (C-C motif) receptor 5	3.51e-03	0.394	-0.1308	0.0441
		44	Smad3	SMAD family member 3	7.98e-03	0.4486	-0.1273	0.0473
		45	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	3.19e-03	0.3925	-0.1327	0.0443
		46	Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4	1.09e-03	0.2424	-0.1964	0.0589
		47	Ptk2	PTK2 protein tyrosine kinase 2	6.85e-03	0.4396	-0.0699	0.0255
		48	Osmr	oncostatin M receptor	3.51e-03	0.394	-0.1241	0.0418
		49	Axin1	axin 1	7.19e-03	0.4396	-0.1119	0.0401
		50	Pde3b	phosphodiesterase 3B, cGMP-inhibited	6.44e-03	0.4396	-0.0907	0.032
