#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
# GSE64398 has multiple mouse models and age matched control are randomly assigned to each model types
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE64398	GSE64398_WT_4m_Hipp_rep4	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep5	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep6	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep7	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep8	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep9	WT	WT	M	GSE64398.1	4	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep1	Disease	AD	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep2	Disease	AD	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep3	Disease	AD	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep4	Disease	AD	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep1	Disease	AD	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep2	Disease	AD	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep3	Disease	AD	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep4	Disease	AD	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_8m_Hipp_rep1	Disease	AD	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_8m_Hipp_rep2	Disease	AD	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_8m_Hipp_rep3	Disease	AD	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAU_8m_Hipp_rep1	Disease	AD	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU
GSE64398	GSE64398_TAU_8m_Hipp_rep2	Disease	AD	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU
GSE64398	GSE64398_TAU_8m_Hipp_rep3	Disease	AD	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU
GSE64398	GSE64398_TAU_8m_Hipp_rep4	Disease	AD	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU
GSE64398	GSE64398_WT_8m_Hipp_rep1	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	TAU
GSE64398	GSE64398_WT_8m_Hipp_rep10	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	TAU
GSE64398	GSE64398_WT_8m_Hipp_rep2	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	TAU
GSE64398	GSE64398_WT_8m_Hipp_rep3	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	TAU
GSE64398	GSE64398_WT_8m_Hipp_rep4	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep5	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep6	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep7	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep8	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep9	WT	WT	M	GSE64398.1	8	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep1	Disease	AD	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep2	Disease	AD	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep3	Disease	AD	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep4	Disease	AD	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep1	Disease	AD	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep2	Disease	AD	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep3	Disease	AD	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_18m_Hipp_rep1	Disease	AD	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_18m_Hipp_rep2	Disease	AD	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_18m_Hipp_rep3	Disease	AD	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_18m_Hipp_rep4	Disease	AD	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid
GSE64398	GSE64398_TAU_18m_Hipp_rep3	Disease	AD	M	GSE64398.1	18	TAU	4-18m	late	14	GPL6885	TAU
GSE64398	GSE64398_WT_18m_Hipp_rep1	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	TAU
GSE64398	GSE64398_WT_18m_Hipp_rep2	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep3	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep4	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep5	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep6	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep7	WT	WT	M	GSE64398.1	18	WT	NA	late	NA	NA	Amyloid
