Bioassay	ExternalID	Batch	Genotype	OrganismPart	Treatment	Gender	Timepoint	Sample	Dataset	ExpMatrixName	Original_genotype	Genotype2	Age_in_weeks	Section	Grown_with	Scan_batch	Dataset_assigned
"GSE14499_Biomat_1___BioAssayImplId=38712Name=Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep1"	GSM362121	Batch_01_9_7_07	WT	Entorhinal_cortex	reference	F	7_months	"Entorhinalcortex,sham,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_20___BioAssayImplId=38696Name=Hippocampus,APPtransgenicanimals,BDNFtreated,biologicalrep3"	GSM362137	Batch_02_9_28_07	J20	Hippocampus	BDNF	M	7_months	"Hippocampus,APP,BDNF,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_21___BioAssayImplId=38695Name=Hippocampus,non.transgenicanimals,shamlesion,biologicalrep2"	GSM362138	Batch_02_9_28_07	WT	Hippocampus	reference	F	7_months	"Hippocampus,sham,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_22___BioAssayImplId=38694Name=Hippocampus,non.transgenicanimals,shamlesion,biologicalrep3"	GSM362139	Batch_02_9_28_07	WT	Hippocampus	reference	F	7_months	"Hippocampus,sham,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_23___BioAssayImplId=38717Name=Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep2"	GSM362116	Batch_01_9_7_07	J20	Entorhinal_cortex	BDNF	M	7_months	"Entorhinalcortex,APP,BDNF,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_24___BioAssayImplId=38716Name=Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep3"	GSM362117	Batch_01_9_7_07	J20	Entorhinal_cortex	BDNF	M	7_months	"Entorhinalcortex,APP,BDNF,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_25___BioAssayImplId=38715Name=Entorhinalcortex,non.transgenicanimals,GFPtreated,biologicalrep1"	GSM362118	Batch_01_9_7_07	WT	Entorhinal_cortex	GFP	F	7_months	"Entorhinalcortex,GFPtreated,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_26___BioAssayImplId=38714Name=Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep1"	GSM362119	Batch_01_9_7_07	J20	Entorhinal_cortex	GFP	M	7_months	"Entorhinalcortex,APP,GFP,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_2___BioAssayImplId=38711Name=Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep2"	GSM362122	Batch_01_9_7_07	WT	Entorhinal_cortex	reference	F	7_months	"Entorhinalcortex,shamlesion,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_3___BioAssayImplId=38713Name=Entorhinalcortex,non.transgenicanimals,GFPtreated,biologicalrep2"	GSM362120	Batch_01_9_7_07	WT	Entorhinal_cortex	GFP	F	7_months	"Entorhinalcortex,GFPtreated,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_4___BioAssayImplId=38708Name=Entorhinalcortex,APPtransgenicanimals,BDNFtreated,biologicalrep4"	GSM362125	Batch_01_9_7_07	J20	Entorhinal_cortex	BDNF	F	7_months	"Entorhinalcortex,APP,BDNF,rep4"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_5___BioAssayImplId=38707Name=Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep3"	GSM362126	Batch_01_9_7_07	J20	Entorhinal_cortex	GFP	M	7_months	"Entorhinalcortex,APP,GFP,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_6___BioAssayImplId=38710Name=Entorhinalcortex,non.transgenicanimals,shamlesion,biologicalrep3"	GSM362123	Batch_01_9_7_07	WT	Entorhinal_cortex	reference	F	7_months	"Entorhinalcortex,sham,rep3"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_7___BioAssayImplId=38709Name=Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep2"	GSM362124	Batch_01_9_7_07	J20	Entorhinal_cortex	GFP	F	7_months	"Entorhinalcortex,APP,GFP,rep2"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_8___BioAssayImplId=38704Name=Hippocampus,non.transgenicanimals,GFPtreated,biologicalrep1"	GSM362129	Batch_02_9_28_07	WT	Hippocampus	GFP	F	7_months	"Hippocampus,GFP,rep1"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
"GSE14499_Biomat_9___BioAssayImplId=38706Name=Entorhinalcortex,APPtransgenicanimals,GFPtreated,biologicalrep4"	GSM362127	Batch_01_9_7_07	J20	Entorhinal_cortex	GFP	F	7_months	"Entorhinalcortex,APP,GFP,rep4"	GSE14499	NA	NA	NA	NA	NA	NA	NA	NA
GSE15056_bioMaterial_1.GSM376013___BioAssayImplId=000Name=Tg2576_rep1	GSM376013	NA	Tg2576	Hippocampus	NA	F	17_months	Tg2576_rep1	GSE15056	NA	NA	NA	NA	NA	NA	NA	NA
GSE15056_bioMaterial_2.GSM376014___BioAssayImplId=000Name=wt_rep1	GSM376014	NA	WT	Hippocampus	NA	F	17_months	wt_rep1	GSE15056	NA	NA	NA	NA	NA	NA	NA	NA
GSE15056_bioMaterial_3.GSM376015___BioAssayImplId=000Name=Tg2576_rep2	GSM376015	NA	Tg2576	Hippocampus	NA	F	17_months	Tg2576_rep2	GSE15056	NA	NA	NA	NA	NA	NA	NA	NA
GSE15056_bioMaterial_4.GSM376016___BioAssayImplId=000Name=wt_rep2	GSM376016	NA	WT	Hippocampus	NA	F	17_months	wt_rep2	GSE15056	NA	NA	NA	NA	NA	NA	NA	NA
GSE1556_bioMaterial_1.GSM26706___BioAssayImplId=859Name=12moControl.1	GSM26706	NA	WT	Hippocampus	NA	F	12_months	12moControl.1	GSE1556	NA	NA	NA	NA	NA	NA	NA	NA
GSE1556_bioMaterial_2.GSM26707___BioAssayImplId=858Name=12moControl.2	GSM26707	NA	WT	Hippocampus	NA	F	12_months	12moControl.2	GSE1556	NA	NA	NA	NA	NA	NA	NA	NA
GSE1556_bioMaterial_3.GSM26708___BioAssayImplId=857Name=12moAPPSw.1	GSM26708	NA	Tg2576	Hippocampus	NA	F	12_months	12moAPPSw.1	GSE1556	NA	NA	NA	NA	NA	NA	NA	NA
GSE1556_bioMaterial_4.GSM26709___BioAssayImplId=856Name=12moAPPSw.2	GSM26709	NA	Tg2576	Hippocampus	NA	F	12_months	12moAPPSw.2	GSE1556	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_10___BioAssayImplId=298324Name=HippPDE9_TG_7	GSM884880	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_11___BioAssayImplId=298272Name=PfCVeh_WT_3	GSM884932	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_12___BioAssayImplId=298273Name=PfCVeh_WT_2	GSM884931	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_13___BioAssayImplId=298270Name=PfCVeh_WT_5	GSM884934	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_14___BioAssayImplId=298271Name=PfCVeh_WT_4	GSM884933	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_15___BioAssayImplId=298268Name=PfCVeh_WT_7	GSM884936	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_16___BioAssayImplId=298269Name=PfCVeh_WT_6	GSM884935	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_17___BioAssayImplId=298267Name=PfCVeh_WT_8	GSM884937	Batch_03_04_03_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_18___BioAssayImplId=298316Name=HippPDE9_WT_7	GSM884888	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_19___BioAssayImplId=298317Name=HippPDE9_WT_6	GSM884887	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_1___BioAssayImplId=298325Name=HippPDE9_TG_6	GSM884879	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_20___BioAssayImplId=298315Name=HippPDE9_WT_8	GSM884889	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_21___BioAssayImplId=298320Name=HippPDE9_WT_3	GSM884884	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_22___BioAssayImplId=298321Name=HippPDE9_WT_2	GSM884883	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_23___BioAssayImplId=298318Name=HippPDE9_WT_5	GSM884886	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_24___BioAssayImplId=298319Name=HippPDE9_WT_4	GSM884885	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_25___BioAssayImplId=298314Name=HippVeh_TG_1	GSM884890	Batch_02_29_02_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_26___BioAssayImplId=298300Name=HippVeh_WT_7	GSM884904	Batch_03_04_03_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_27___BioAssayImplId=298313Name=HippVeh_TG_2	GSM884891	Batch_02_29_02_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_28___BioAssayImplId=298299Name=HippVeh_WT_8	GSM884905	Batch_02_29_02_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_29___BioAssayImplId=298312Name=HippVeh_TG_3	GSM884892	Batch_02_29_02_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_2___BioAssayImplId=298326Name=HippPDE9_TG_5	GSM884878	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_30___BioAssayImplId=298302Name=HippVeh_WT_5	GSM884902	Batch_03_04_03_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_31___BioAssayImplId=298311Name=HippVeh_TG_4	GSM884893	Batch_02_29_02_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_32___BioAssayImplId=298301Name=HippVeh_WT_6	GSM884903	Batch_03_04_03_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_33___BioAssayImplId=298296Name=PfCPDE9_TG_3	GSM884908	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_34___BioAssayImplId=298295Name=PfCPDE9_TG_4	GSM884909	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_35___BioAssayImplId=298298Name=PfCPDE9_TG_1	GSM884906	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_36___BioAssayImplId=298297Name=PfCPDE9_TG_2	GSM884907	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_37___BioAssayImplId=298304Name=HippVeh_WT_3	GSM884900	Batch_03_04_03_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_38___BioAssayImplId=298303Name=HippVeh_WT_4	GSM884901	Batch_02_29_02_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_39___BioAssayImplId=298307Name=HippVeh_TG_8	GSM884897	Batch_03_04_03_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_3___BioAssayImplId=298327Name=HippPDE9_TG_4	GSM884877	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_40___BioAssayImplId=298308Name=HippVeh_TG_7	GSM884896	Batch_03_04_03_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_41___BioAssayImplId=298309Name=HippVeh_TG_6	GSM884895	Batch_03_04_03_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_42___BioAssayImplId=298310Name=HippVeh_TG_5	GSM884894	Batch_03_04_03_08	Tg2576	Hippocampus	reference	F	5_months	HippVeh_TG_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_43___BioAssayImplId=298305Name=HippVeh_WT_2	GSM884899	Batch_02_29_02_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_44___BioAssayImplId=298306Name=HippVeh_WT_1	GSM884898	Batch_02_29_02_08	WT	Hippocampus	reference	F	5_months	HippVeh_WT_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_45___BioAssayImplId=298294Name=PfCPDE9_TG_5	GSM884910	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_46___BioAssayImplId=298292Name=PfCPDE9_TG_7	GSM884912	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_47___BioAssayImplId=298293Name=PfCPDE9_TG_6	GSM884911	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_48___BioAssayImplId=298286Name=PfCPDE9_WT_5	GSM884918	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_49___BioAssayImplId=298287Name=PfCPDE9_WT_4	GSM884917	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_4___BioAssayImplId=298328Name=HippPDE9_TG_3	GSM884876	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_50___BioAssayImplId=298285Name=PfCPDE9_WT_6	GSM884919	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_51___BioAssayImplId=298290Name=PfCPDE9_WT_1	GSM884914	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_52___BioAssayImplId=298291Name=PfCPDE9_TG_8	GSM884913	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_TG_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_53___BioAssayImplId=298288Name=PfCPDE9_WT_3	GSM884916	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_54___BioAssayImplId=298289Name=PfCPDE9_WT_2	GSM884915	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_55___BioAssayImplId=298281Name=PfCVeh_TG_2	GSM884923	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_56___BioAssayImplId=298282Name=PfCVeh_TG_1	GSM884922	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_57___BioAssayImplId=298283Name=PfCPDE9_WT_8	GSM884921	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_58___BioAssayImplId=298284Name=PfCPDE9_WT_7	GSM884920	Batch_01_27_02_08	WT	Prefrontal_cortex	phosphodiesterase_9A	F	5_months	PfCPDE9_WT_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_59___BioAssayImplId=298275Name=PfCVeh_TG_8	GSM884929	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_5___BioAssayImplId=298329Name=HippPDE9_TG_2	GSM884875	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_2	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_60___BioAssayImplId=298276Name=PfCVeh_TG_7	GSM884928	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_7	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_61___BioAssayImplId=298277Name=PfCVeh_TG_6	GSM884927	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_6	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_62___BioAssayImplId=298278Name=PfCVeh_TG_5	GSM884926	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_5	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_63___BioAssayImplId=298279Name=PfCVeh_TG_4	GSM884925	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_4	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_64___BioAssayImplId=298280Name=PfCVeh_TG_3	GSM884924	Batch_01_27_02_08	Tg2576	Prefrontal_cortex	reference	F	5_months	PfCVeh_TG_3	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_6___BioAssayImplId=298330Name=HippPDE9_TG_1	GSM884874	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_7___BioAssayImplId=298323Name=HippPDE9_TG_8	GSM884881	Batch_03_04_03_08	Tg2576	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_TG_8	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_8___BioAssayImplId=298322Name=HippPDE9_WT_1	GSM884882	Batch_03_04_03_08	WT	Hippocampus	phosphodiesterase_9A	F	5_months	HippPDE9_WT_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE36237_Biomat_9___BioAssayImplId=298274Name=PfCVeh_WT_1	GSM884930	Batch_01_27_02_08	WT	Prefrontal_cortex	reference	F	5_months	PfCVeh_WT_1	GSE36237	NA	NA	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_10___BioAssayImplId=234314Name=Hipocampus_APLP2KO_rep1	GSM1182476	NA	APLP2_KO	Hippocampus	NA	M	2_months	APLP2KO_rep1	GSE48622	NA	APLP2_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_11___BioAssayImplId=234313Name=Hipocampus_APPKO_rep1	GSM1182477	NA	APP_KO	Hippocampus	NA	M	2_months	APPKO_rep1	GSE48622	NA	APP_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_12___BioAssayImplId=234312Name=Hipocampus_WT_rep1	GSM1182478	NA	WT	Hippocampus	NA	M	2_months	WT_rep1	GSE48622	NA	WT	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_13___BioAssayImplId=234311Name=Hipocampus_WT_rep2	GSM1182479	NA	WT	Hippocampus	NA	M	2_months	WT_rep2	GSE48622	NA	WT	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_14___BioAssayImplId=234301Name=Hipocampus_APPKO_rep4	GSM1182489	NA	APP_KO	Hippocampus	NA	M	2_months	APPKO_rep4	GSE48622	NA	APP_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_15___BioAssayImplId=234303Name=Hipocampus_APPKO_rep3	GSM1182487	NA	APP_KO	Hippocampus	NA	M	2_months	APPKO_rep3	GSE48622	NA	APP_KO	NA	NA	NA	NA	NA	NA
GSE48622_Biomat_16___BioAssayImplId=234302Name=Hipocampus_WT_rep3	GSM1182488	NA	WT	Hippocampus	NA	M	2_months	WT_rep3	GSE48622	NA	WT	NA	NA	NA	NA	NA	NA
