#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
# GSE64398 has multiple mouse models and age matched control are randomly assigned to each model types
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE63617	GSE63617_3m_hp_AD11_rep4	Disease	AD	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_3m_hp_AD11_rep5	Disease	AD	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_3m_hp_VH_rep1	WT	WT	F	GSE63617.1	3	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_3m_hp_VH_rep2	WT	WT	F	GSE63617.1	3	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_3m_hp_VH_rep3	WT	WT	F	GSE63617.1	3	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_3m_hp_VH_rep4	WT	WT	F	GSE63617.1	3	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_3m_hp_VH_rep5	WT	WT	F	GSE63617.1	3	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_6m_hp_AD11_rep1	Disease	AD	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_6m_hp_AD11_rep2	Disease	AD	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_6m_hp_AD11_rep3	Disease	AD	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_6m_hp_AD11_rep4	Disease	AD	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_6m_hp_AD11_rep5	Disease	AD	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other model
GSE63617	GSE63617_6m_hp_VH_rep1	WT	WT	F	GSE63617.2	6	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_6m_hp_VH_rep2	WT	WT	F	GSE63617.2	6	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_6m_hp_VH_rep3	WT	WT	F	GSE63617.2	6	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_6m_hp_VH_rep4	WT	WT	F	GSE63617.2	6	WT	NA	NA	NA	NA	Other model
GSE63617	GSE63617_6m_hp_VH_rep5	WT	WT	F	GSE63617.2	6	WT	NA	NA	NA	NA	Other model
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep1	Disease	AD	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep2	Disease	AD	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep3	Disease	AD	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep4	Disease	AD	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_TPM_2m_Hipp_rep1	Disease	AD	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_2m_Hipp_rep2	Disease	AD	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_2m_Hipp_rep3	Disease	AD	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep1	Disease	AD	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep2	Disease	AD	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep3	Disease	AD	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep4	Disease	AD	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_2m_Hipp_rep1	Disease	AD	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_2m_Hipp_rep2	Disease	AD	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_2m_Hipp_rep3	Disease	AD	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_2m_Hipp_rep4	Disease	AD	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid
GSE64398	GSE64398_TAU_2m_Hipp_rep2	Disease	AD	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_TAU_2m_Hipp_rep3	Disease	AD	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_TAU_2m_Hipp_rep4	Disease	AD	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_WT_2m_Hipp_rep1	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep10	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep11	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep12	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep2	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep3	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep4	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep5	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep6	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_2m_Hipp_rep7	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_WT_2m_Hipp_rep8	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_WT_2m_Hipp_rep9	WT	WT	M	GSE64398.1	2	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep1	Disease	AD	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep2	Disease	AD	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep3	Disease	AD	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep4	Disease	AD	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid
GSE64398	GSE64398_TPM_4m_Hipp_rep1	Disease	AD	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_4m_Hipp_rep2	Disease	AD	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_4m_Hipp_rep3	Disease	AD	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_4m_Hipp_rep4	Disease	AD	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_4m_Hipp_rep1	Disease	AD	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	Amyloid
GSE64398	GSE64398_TAS10_4m_Hipp_rep2	Disease	AD	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	TAU
GSE64398	GSE64398_TAU_4m_Hipp_rep1	Disease	AD	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_TAU_4m_Hipp_rep2	Disease	AD	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_TAU_4m_Hipp_rep3	Disease	AD	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_TAU_4m_Hipp_rep4	Disease	AD	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU
GSE64398	GSE64398_WT_4m_Hipp_rep1	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep2	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep3	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep4	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep5	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep6	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_4m_Hipp_rep7	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_WT_4m_Hipp_rep8	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_WT_4m_Hipp_rep9	WT	WT	M	GSE64398.1	4	WT	NA	NA	NA	NA	TAU
GSE64398	GSE64398_TPM_8m_Hipp_rep1	Disease	AD	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_8m_Hipp_rep2	Disease	AD	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_8m_Hipp_rep3	Disease	AD	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_8m_Hipp_rep4	Disease	AD	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep1	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep10	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep2	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep3	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep4	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep5	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep6	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep7	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep8	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_8m_Hipp_rep9	WT	WT	M	GSE64398.1	8	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_TPM_18m_Hipp_rep1	Disease	AD	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_18m_Hipp_rep2	Disease	AD	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_TPM_18m_Hipp_rep3	Disease	AD	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep1	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep2	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep3	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep4	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep5	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep6	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
GSE64398	GSE64398_WT_18m_Hipp_rep7	WT	WT	M	GSE64398.1	18	WT	NA	NA	NA	NA	Amyloid
