Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_8m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_18m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_18m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TPM_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAU_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models
GSE48622	GSE48622_WT_rep1	WT	WT	1m	M	GSE48622	2	WT	NA	NA	NA	NA	WT
GSE48622	GSE48622_WT_rep2	WT	WT	1m	M	GSE48622	2	WT	NA	NA	NA	NA	WT
GSE48622	GSE48622_WT_rep3	WT	WT	1m	M	GSE48622	2	WT	NA	NA	NA	NA	WT
GSE48622	GSE48622_WT_rep4	WT	WT	1m	M	GSE48622	2	WT	NA	NA	NA	NA	WT
GSE48622	GSE48622_APLP2KO_rep1	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep2	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep3	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APLP2KO_rep4	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep1	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep2	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep3	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_APPKO_rep4	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep1	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep2	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep3	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE48622	GSE48622_N.dCKO_rep4	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models
GSE63617	GSE63617_3m_hp_VH_rep1	WT	WT	1m	F	GSE63617.1	3	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_3m_hp_VH_rep2	WT	WT	1m	F	GSE63617.1	3	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_3m_hp_VH_rep3	WT	WT	1m	F	GSE63617.1	3	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_3m_hp_VH_rep4	WT	WT	1m	F	GSE63617.1	3	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_3m_hp_VH_rep5	WT	WT	1m	F	GSE63617.1	3	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_6m_hp_VH_rep1	WT	WT	1m	F	GSE63617.2	6	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_6m_hp_VH_rep2	WT	WT	1m	F	GSE63617.2	6	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_6m_hp_VH_rep3	WT	WT	1m	F	GSE63617.2	6	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_6m_hp_VH_rep4	WT	WT	1m	F	GSE63617.2	6	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_6m_hp_VH_rep5	WT	WT	1m	F	GSE63617.2	6	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_3m_hp_AD11_rep1	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_3m_hp_AD11_rep2	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_3m_hp_AD11_rep3	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_3m_hp_AD11_rep4	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_3m_hp_AD11_rep5	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_6m_hp_AD11_rep1	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_6m_hp_AD11_rep2	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_6m_hp_AD11_rep3	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_6m_hp_AD11_rep4	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models
GSE63617	GSE63617_6m_hp_AD11_rep5	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models
