full_name	shorten	notes
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep6	HdhQ111_striatum_rep6	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep6	WT_cerebellum_rep6	GSE9038
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep1	HdhQ111_striatum_rep1	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep3	HdhQ111_cerebellum_rep3	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep4	WT_cerebellum_rep4	GSE9038
Hdh+/Hdh+striatumat3~10weeksbiologicalrep2	WT_striatum_rep2	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep1	HdhQ111_cerebellum_rep1	GSE9038
Hdh+/Hdh+striatumat3~10weeksbiologicalrep4	WT_striatum_rep4	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep2	HdhQ111_cerebellum_rep2	GSE9038
Hdh+/Hdh+striatumat3~10weeksbiologicalrep1	WT_striatum_rep1	GSE9038
Hdh+/Hdh+striatumat3~10weeksbiologicalrep5	WT_striatum_rep5	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep2	WT_cerebellum_rep2	GSE9038
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep2	HdhQ111_striatum_rep2	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep3	WT_cerebellum_rep3	GSE9038
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep3	HdhQ111_striatum_rep3	GSE9038
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep4	HdhQ111_striatum_rep4	GSE9038
Hdh+/Hdh+striatumat3~10weeksbiologicalrep6	WT_striatum_rep6	GSE9038
HdhQ111/HdhQ111striatumat3~10weeksbiologicalrep5	HdhQ111_striatum_rep5	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep4	HdhQ111_cerebellum_rep4	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep1	WT_cerebellum_rep1	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep5	HdhQ111_cerebellum_rep5	GSE9038
HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep6	HdhQ111_cerebellum_rep6	GSE9038
Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep5	WT_cerebellum_rep5	GSE9038
striatum_CHL2_22m_141	CHL2_141	GSE10202
striatum_CHL2_22m_153	CHL2_153	GSE10202
striatum_CHL2_22m_154	CHL2_154	GSE10202
striatum_CHL2_22m_191	CHL2_191	GSE10202
striatum_wt_22m_161	WT_161	GSE10202
striatum_wt_22m_170	WT_170	GSE10202
striatum_wt_22m_180	WT_180	GSE10202
striatum_wt_22m_200	WT_200	GSE10202
R6/2(untreated)5270	R62(untreated)5270	GSE857
R6/2(tripletreatment)5185	R62(tripletreatment)5185	GSE857
R6/2(tripletreatment)5253	R62(tripletreatment)5253	GSE857
R6/2(tripletreatment)5211	R62(tripletreatment)5211	GSE857
R6/2(untreated)5197	R62(untreated)5197	GSE857
R6/2(untreated)5213	R62(untreated)5213	GSE857
R6/2(untreated)5227	R62(untreated)5227	GSE857
Htt_[mouse]_huntingtin_|_Overexpression_|_delN17_|	BAC_HD	GSE64386
Overexpression_|_HTT_[human]_huntingtin_|_FVB_Tg(YAC128)53Hay/J_|	YAC128	GSE19676
YAC128mouse,12monthsofage,1412023058_C	YAC128_12m_rep3	GSE19676; samples
YAC128mouse,12monthsofage,1412023058_D	YAC128_12m_rep4	GSE19676; samples
YAC128mouse,24monthsofage,1692176113_B	YAC128_24m_rep5	GSE19676; samples
WTmouse,24monthsofage,1692176113_C	WT_24m_rep4	GSE19676; samples
WTmouse,12monthsofage,1412023058_E	WT_12m_rep1	GSE19676; samples
WTmouse,12monthsofage,1412023058_F	WT_12m_rep2	GSE19676; samples
WTmouse,24monthsofage,1692176102_D	WT_24m_rep2	GSE19676; samples
WTmouse,12monthsofage,1412023059_A	WT_12m_rep3	GSE19676; samples
WTmouse,24monthsofage,1692176113_A	WT_24m_rep3	GSE19676; samples
YAC128mouse,24monthsofage,1692176102_B	YAC128_24m_rep1	GSE19676; samples
YAC128mouse,24monthsofage,1692176102_C	YAC128_24m_rep2	GSE19676; samples
YAC128mouse,24monthsofage,1692176102_E	YAC128_24m_rep3	GSE19676; samples
YAC128mouse,24monthsofage,1692176102_F	YAC128_24m_rep4	GSE19676; samples
YAC128mouse,12monthsofage,1412023058_A	YAC128_12m_rep1	GSE19676; samples
YAC128mouse,12monthsofage,1412023058_B	YAC128_12m_rep2	GSE19676; samples
WTmouse,12monthsofage,1412023059_B	WT_12m_rep4	GSE19676; samples
YAC128mouse,12monthsofage,1412023059_C	YAC128_12m_rep5	GSE19676; samples
WTmouse,24monthsofage,1692176102_A	WT_24m_rep1	GSE19676; samples
Htt_[mouse]_huntingtin_|_NES_mutant_|	Htt	GSE3248
NLS_mutant_|_Htt_[mouse	Htt	GSE3248
10_mo	10_months	GSE3248
16_mo	16_months	GSE3248
3_mo	3_months	GSE3248
3.5_mo	3.5_months	GSE3248
4_mo	4_months	GSE3248
8_mo	8_months	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_10months_replicate2	Htt142Q_A39_10m_rep2	GSE3248
Cerebellum_nontransgeniccontrolA39_10months_replicate2	WT_A39_10m_rep2	GSE3248
Cerebellum_nontransgeniccontrolA39_10months_replicate1	WT_A39_10m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_10months_replicate1	Htt142Q_A39_10m_rep1	GSE3248
Cerebellum_nontransgeniccontrolX50_16months_replicate3	WT_X50_16m_rep3	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon118Qx50_16months_replicate1	Htt18Q_x50_16m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_10months_replicate3	Htt142Q_A39_10m_rep3	GSE3248
Cerebellum_nontransgeniccontrolA39_10months_replicate3	WT_A39_10m_rep3	GSE3248
Cerebellum_nontransgeniccontrolS25_3months_replicate2	WT_S25_3m_rep2	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS25_3months_replicate2	Htt142Q_S25_3m_rep2	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS25_3months_replicate1	Htt142Q_S25_3m_rep1	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_10months_replicate2	Htt142Q_S46_10m_rep2	GSE3248
Cerebellum_nontransgeniccontrolS25_3months_replicate1	WT_S25_3m_rep1	GSE3248
Cerebellum_nontransgeniccontrolS25_3months_replicate3	WT_S25_3m_rep3	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS25_3months_replicate3	Htt142Q_S25_3m_rep3	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_10months_replicate3	Htt142Q_S46_10m_rep3	GSE3248
Cerebellum_nontransgeniccontrolX50_16months_replicate2	WT_X50_16m_rep2	GSE3248
Cerebellum_nontransgeniccontrolX50_16months_replicate1	WT_X50_16m_rep1	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon118Qx50_16months_replicate3	Htt18Q_x50_16m_rep3	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon118Qx50_16months_replicate2	Htt18Q_x50_16m_rep2	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_10months_replicate1	Htt142Q_S46_10m_rep1	GSE3248
Cerebellum_nontransgeniccontrolA39_4months_replicate4	WT_A39_4m_rep4	GSE3248
Cerebellum_nontransgeniccontrolA39_8months_replicate4	WT_A39_8m_rep4	GSE3248
Cerebellum_nontransgeniccontrolA39_8months_replicate3	WT_A39_8m_rep3	GSE3248
Cerebellum_nontransgeniccontrolS46_10months_replicate1	WT_S46_10m_rep1	GSE3248
Cerebellum_nontransgeniccontrolS46_10months_replicate2	WT_S46_10m_rep2	GSE3248
Cerebellum_nontransgeniccontrolS46_3.5months_replicate2	WT_S46_3.5m_rep2	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_3months_replicate2	Htt142Q_S46_3m_rep2	GSE3248
Cerebellum_nontransgeniccontrolA39_4months_replicate1	WT_A39_4m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_4months_replicate1	Htt142Q_A39_4m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_4months_replicate2	Htt142Q_A39_4m_rep2	GSE3248
Cerebellum_nontransgeniccontrolA39_4months_replicate2	WT_A39_4m_rep2	GSE3248
Cerebellum_nontransgeniccontrolS46_3.5months_replicate4	WT_S46_3.5m_rep4	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_3months_replicate1	Htt142Q_S46_3m_rep1	GSE3248
Cerebellum_nontransgeniccontrolS46_3.5months_replicate1	WT_S46_3.5m_rep1	GSE3248
Cerebellum_nontransgeniccontrolS46_10months_replicate3	WT_S46_10m_rep3	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA61_8months_replicate4	Htt142Q_A61_8m_rep4	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_3months_replicate3	Htt142Q_S46_3m_rep3	GSE3248
Cerebellum_nontransgeniccontrolS46_3.5months_replicate3	WT_S46_3.5m_rep3	GSE3248
Cerebellum_transgenicnuclearlocalizationsignalHttexon1142QS46_3months_replicate4	Htt142Q_S46_3m_rep4	GSE3248
Cerebellum_nontransgeniccontrolA39_4months_replicate3	WT_A39_4m_rep3	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA61_8months_replicate3	Htt142Q_A61_8m_rep3	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_4months_replicate4	Htt142Q_A39_4m_rep4	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA39_4months_replicate3	Htt142Q_A39_4m_rep3	GSE3248
Cerebellum_nontransgeniccontrolA61_8months_replicate1	WT_A61_8m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA61_8months_replicate1	Htt142Q_A61_8m_rep1	GSE3248
Cerebellum_transgenicnuclearexclusionsignalHttexon1142QA61_8months_replicate2	Htt142Q_A61_8m_rep2	GSE3248
Cerebellum_nontransgeniccontrolA39_8months_replicate2	WT_A39_8m_rep2	GSE3248
Overexpression_|_HTT_[human]_huntingtin_|_R6/1_|	R61	GSE3621
R6/118weektransgenic_BC91	R61_18w_HD_rep2	GSE3621
R6/118weektransgenic_5D42	R61_18w_HD_rep1	GSE3621
R6/127weektransgenic_OE41	R61_27w_HD_rep4	GSE3621
R6/122weekwildtype_OAD3	R61_22w_WT_rep3	GSE3621
R6/127weektransgenic_O8AE	R61_27w_HD_rep3	GSE3621
R6/122weekwildtype_O7A2	R61_22w_WT_rep2	GSE3621
R6/118weekwildtype_F272	R61_18w_WT_rep3	GSE3621
R6/118weekwildtype_DFFC	R61_18w_WT_rep2	GSE3621
R6/127weekwildtype_D494	R61_27w_WT_rep3	GSE3621
R6/122weekwildtype_C835	R61_22w_WT_rep1	GSE3621
R6/127weekwildtype_B9F2	R61_27w_WT_rep2	GSE3621
R6/122weektransgenic_BBB4	R61_22w_HD_rep1	GSE3621
R6/122weektransgenic_BD1Bv1	R61_22w_HD_rep2	GSE3621
R6/118weektransgenic_C627	R61_18w_HD_rep3	GSE3621
R6/127weekwildtype_1338	R61_27w_WT_rep1	GSE3621
R6/118weekwildtype_15E8	R61_18w_WT_rep1	GSE3621
R6/127weektransgenic_2C4C	R61_27w_HD_rep1	GSE3621
R6/127weektransgenic_75F3	R61_27w_HD_rep2	GSE3621
Htt_[mouse]_huntingtin	N171_HD82Q	GSE44306
wt(10weeks),hippocampus,biologicalrep1	WT_10w_hippocampus_rep1	GSE44306
wt(10weeks),hippocampus,biologicalrep2	WT_10w_hippocampus_rep2	GSE44306
wt(10weeks),hippocampus,biologicalrep3	WT_10w_hippocampus_rep3	GSE44306
N171.HD82Q(10weeks),hippocampus,biologicalrep1	N171_HD82Q_10w_hippocampus_rep1	GSE44306
N171.HD82Q(10weeks),hippocampus,biologicalrep2	N171_HD82Q_10w_hippocampus_rep2	GSE44306
N171.HD82Q(10weeks),hippocampus,biologicalrep3	N171_HD82Q_10w_hippocampus_rep3	GSE44306
wt(20weeks),hippocampus,biologicalrep1	WT_20w_hippocampus_rep1	GSE44306
wt(20weeks),hippocampus,biologicalrep2	WT_20w_hippocampus_rep2	GSE44306
wt(20weeks),hippocampus,biologicalrep3	WT_20w_hippocampus_rep3	GSE44306
N171.HD82Q(20weeks),hippocampus,biologicalrep1	N171_HD82Q_20w_hippocampus_rep1	GSE44306
N171.HD82Q(20weeks),hippocampus,biologicalrep2	N171_HD82Q_20w_hippocampus_rep2	GSE44306
N171.HD82Q(20weeks),hippocampus,biologicalrep3	N171_HD82Q_20w_hippocampus_rep3	GSE44306
wt(10weeks),cerebellum,biologicalrep1	WT_10w_cerebellum_rep1	GSE44306
wt(10weeks),cerebellum,biologicalrep2	WT_10w_cerebellum_rep2	GSE44306
N171.HD82Q(10weeks),cerebellum,biologicalrep3	N171_HD82Q_10w_cerebellum_rep3	GSE44306
N171.HD82Q(10weeks),cerebellum,biologicalrep2	N171_HD82Q_10w_cerebellum_rep2	GSE44306
N171.HD82Q(10weeks),cerebellum,biologicalrep1	N171_HD82Q_10w_cerebellum_rep1	GSE44306
wt(10weeks),cerebellum,biologicalrep3	WT_10w_cerebellum_rep3	GSE44306
striatumofHdhQ20/Q20/mGluR5+/+rep1	WT_rep1	GSE50379
striatumofHdhQ111/Q111/mGluR5./.rep3	HdhQ111_Grm5_KO_rep3	GSE50379
striatumofHdhQ111/Q111/mGluR5./.rep2	HdhQ111_Grm5_KO_rep2	GSE50379
striatumofHdhQ111/Q111/mGluR5./.rep1	HdhQ111_Grm5_KO_rep1	GSE50379
striatumofHdhQ111/Q111/mGluR5+/+rep3	HdhQ111_rep3	GSE50379
striatumofHdhQ111/Q111/mGluR5+/+rep2	HdhQ111_rep2	GSE50379
striatumofHdhQ111/Q111/mGluR5+/+rep1	HdhQ111_rep1	GSE50379
striatumofHdhQ20/Q20andmGluR5./.rep3	Grm5_KO_rep3	GSE50379
striatumofHdhQ20/Q20andmGluR5./.rep2	Grm5_KO_rep2	GSE50379
striatumofHdhQ20/Q20andmGluR5./.rep1	Grm5_KO_rep1	GSE50379
striatumofHdhQ20/Q20/mGluR5+/+rep3	WT_rep3	GSE50379
striatumofHdhQ20/Q20/mGluR5+/+rep2	WT_rep2	GSE50379
Htt_[mouse]_huntingtin_|_Q150_mutation_|	HdhQ150	GSE32417
