#2017-03-21
# this file is to assign samples to model types. ignore other columns (some info are not correct)
Study	Sample	Disease_stage	Genotype	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	mouse_model	Genotypes	Model_types	repeat_length	notes
GSE64386	GSE64386_Str_WT_7m_GN2_3	WT	WT	F	GSE64386	7	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE64386	GSE64386_Str_WT_7m_HD12_1	WT	WT	F	GSE64386	7	WT	NA	NA	NA	NA	NA	NA	Full-length	31	wt is human wt transgene with 31Q
GSE7958	GSE7958_Q92_3m_439	Disease	HD	F	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	HdhQ92_Q92	HdhQ92	HTT exon 1 KI	92	Kuhn study
GSE7958	GSE7958_Q92_3m_440	Disease	HD	F	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	HdhQ92_Q92	HdhQ92	HTT exon 1 KI	92	Kuhn study
GSE7958	GSE7958_Q92_3m_466	Disease	HD	M	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	HdhQ92_Q92	HdhQ92	HTT exon 1 KI	92	Kuhn study
GSE7958	GSE7958_WT_3m_436	WT	WT	M	GSE7958	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	0	Kuhn study
GSE7958	GSE7958_WT_3m_438	WT	WT	F	GSE7958	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	0	Kuhn study
GSE7958	GSE7958_WT_3m_467	WT	WT	M	GSE7958	3	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	0	Kuhn study
GSE9038	GSE9038_HdhQ111_striatum_rep1	Disease	HD	F	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_HdhQ111_striatum_rep2	Disease	HD	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_HdhQ111_striatum_rep3	Disease	HD	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_HdhQ111_striatum_rep4	Disease	HD	F	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_HdhQ111_striatum_rep5	Disease	HD	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_HdhQ111_striatum_rep6	Disease	HD	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	HdhQ111	HdhQ111	HTT exon 1 KI	111	
GSE9038	GSE9038_WT_striatum_rep1	WT	WT	F	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9038	GSE9038_WT_striatum_rep2	WT	WT	M	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9038	GSE9038_WT_striatum_rep3	WT	WT	F	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9038	GSE9038_WT_striatum_rep4	WT	WT	M	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9038	GSE9038_WT_striatum_rep5	WT	WT	M	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9038	GSE9038_WT_striatum_rep6	WT	WT	F	GSE9038	1.625	WT	NA	NA	NA	NA	NA	NA	HTT exon 1 KI	7	
GSE9375	GSE9375_Hdh4Q80_7S	Disease	HD	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	Hdh4_Q80	Hdh4_Q80	CAG repeat KI	80	
GSE9375	GSE9375_Hdh4Q80_8S	Disease	HD	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	Hdh4_Q80	Hdh4_Q80	CAG repeat KI	80	
GSE9375	GSE9375_Hdh4Q80_9S	Disease	HD	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	Hdh4_Q80	Hdh4_Q80	CAG repeat KI	80	
GSE9375	GSE9375_WT_4S	WT	WT	F	GSE9375	12	WT	NA	NA	NA	NA	NA	NA	CAG repeat KI	7	
GSE9375	GSE9375_WT_5S	WT	WT	F	GSE9375	12	WT	NA	NA	NA	NA	NA	NA	CAG repeat KI	7	
GSE9375	GSE9375_WT_6S	WT	WT	F	GSE9375	12	WT	NA	NA	NA	NA	NA	NA	CAG repeat KI	7	
