Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Syap1	synapse associated protein 1	3.78e-04	7.25e-02	0.099	0.0269
		Brix1	BRX1, biogenesis of ribosomes	3.89e-04	7.27e-02	0.1509	0.0412
		Erlin2	ER lipid raft associated 2	3.99e-04	7.27e-02	0.1309	0.0357
		Fam155a	family with sequence similarity 155, member A	4.05e-04	7.27e-02	0.1095	0.0299
		C1qb	complement component 1, q subcomponent, beta polypeptide	4.35e-04	7.27e-02	0.2005	0.0552
		Ufsp1	UFM1-specific peptidase 1	4.48e-04	7.38e-02	0.127	0.035
		Slc39a6	solute carrier family 39 (metal ion transporter), member 6	4.67e-04	7.56e-02	0.1662	0.046
		Tpst1	protein-tyrosine sulfotransferase 1	4.74e-04	7.56e-02	0.107	0.0296
		Rab6a	RAB6A, member RAS oncogene family	4.91e-04	7.72e-02	0.1741	0.0484
		Smyd4	SET and MYND domain containing 4	5.25e-04	8.10e-02	0.3061	0.0855
		Stambpl1	STAM binding protein like 1	5.31e-04	8.10e-02	0.1078	0.0301
		Mvk	mevalonate kinase	5.78e-04	8.38e-02	0.2295	0.0619
		Fbxo21	F-box protein 21	6.54e-04	8.92e-02	0.1166	0.0332
		Sdc4	syndecan 4	7.65e-04	1.02e-01	0.1812	0.0523
		Ostm1	osteopetrosis associated transmembrane protein 1	7.82e-04	1.03e-01	0.0857	0.0247
		Zfp655	zinc finger protein 655	9.10e-04	1.15e-01	0.0819	0.024
		Cntn1	contactin 1	9.13e-04	1.15e-01	0.1448	0.0425
		Med7	mediator complex subunit 7	9.20e-04	1.15e-01	0.1183	0.0346
		Kcnip1	Kv channel-interacting protein 1	9.42e-04	1.15e-01	0.1997	0.0586
		Pkp2	plakophilin 2	9.70e-04	1.15e-01	0.2319	0.0683
		Flot1	flotillin 1	9.83e-04	1.15e-01	0.1282	0.0378
		Fcgr3	Fc receptor, IgG, low affinity III	1.01e-03	1.15e-01	0.2324	0.0687
	late phase: down-regulated	Inppl1	inositol polyphosphate phosphatase-like 1	6.95e-06	8.00e-03	-0.1556	0.0328
		Vars2	valyl-tRNA synthetase 2, mitochondrial	1.15e-05	1.19e-02	-0.2613	0.0566
		Gabrd	gamma-aminobutyric acid (GABA) A receptor, subunit delta	2.88e-05	2.71e-02	-0.334	0.0763
		Adamtsl5	ADAMTS-like 5	3.94e-05	3.14e-02	-0.2443	0.0568
		Map3k5	mitogen-activated protein kinase kinase kinase 5	5.86e-05	4.16e-02	-0.274	0.0614
		Atrnl1	attractin like 1	6.82e-05	4.16e-02	-0.3946	0.0887
		Pdyn	prodynorphin	9.87e-05	5.47e-02	-0.2726	0.0673
		Gucy1a3	guanylate cyclase 1, soluble, alpha 3	1.00e-04	5.47e-02	-0.2674	0.066
		Rgs9	regulator of G-protein signaling 9	1.72e-04	6.32e-02	-0.35	0.0897
		Smagp	small cell adhesion glycoprotein	1.76e-04	6.32e-02	-0.1805	0.0462
		Cchcr1	coiled-coil alpha-helical rod protein 1	1.83e-04	6.32e-02	-0.2385	0.0614
		Crybb1	crystallin, beta B1	1.87e-04	6.32e-02	-0.1696	0.0437
		Kif5a	kinesin family member 5A	1.89e-04	6.32e-02	-0.1429	0.0369
		Wipf2	WAS/WASL interacting protein family, member 2	1.91e-04	6.32e-02	-0.1481	0.0382
		Sema5b	sema domain, seven thrombospondin repeats (type 1 and type 1-like), transmembrane domain (TM) and short cytoplasmic domain, (semaphorin) 5B	2.01e-04	6.32e-02	-0.2143	0.0556
		Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	2.01e-04	6.32e-02	-0.1146	0.0297
		Unc13c	unc-13 homolog C (C. elegans)	2.07e-04	6.32e-02	-0.4191	0.1088
		Mfge8	milk fat globule-EGF factor 8 protein	2.28e-04	6.52e-02	-0.1637	0.0429
		Sfxn1	sideroflexin 1	2.36e-04	6.52e-02	-0.0944	0.0248
		Sppl2b	signal peptide peptidase like 2B	2.53e-04	6.52e-02	-0.1214	0.032
		Ang	angiogenin, ribonuclease, RNase A family, 5	3.08e-04	6.94e-02	-0.2007	0.0535
		Edn1	endothelin 1	3.34e-04	7.25e-02	-0.2028	0.0547
		Fzd9	frizzled class receptor 9	3.36e-04	7.25e-02	-0.2851	0.0712
		Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	3.64e-04	7.25e-02	-0.2231	0.0605
		Nrxn3	neurexin III	3.78e-04	7.25e-02	-0.173	0.047
		Cox8a	cytochrome c oxidase subunit VIIIa	4.12e-04	7.27e-02	-0.1092	0.0298
		Il17d	interleukin 17D	4.14e-04	7.27e-02	-0.2285	0.0626
		Meis2	Meis homeobox 2	4.27e-04	7.27e-02	-0.2655	0.073
		Atp1a2	ATPase, Na+/K+ transporting, alpha 2 polypeptide	4.33e-04	7.27e-02	-0.1665	0.0458
		Galt	galactose-1-phosphate uridyl transferase	5.86e-04	8.38e-02	-0.1351	0.0381
		Arhgef19	Rho guanine nucleotide exchange factor (GEF) 19	5.89e-04	8.38e-02	-0.1311	0.037
		Matn4	matrilin 4	5.91e-04	8.38e-02	-0.1624	0.0459
		Fam120a	family with sequence similarity 120, member A	5.97e-04	8.38e-02	-0.2096	0.0551
		Pstpip1	proline-serine-threonine phosphatase-interacting protein 1	6.02e-04	8.38e-02	-0.2017	0.0568
		Tmem248	transmembrane protein 248	6.06e-04	8.38e-02	-0.2153	0.058
		Ift27	intraflagellar transport 27	7.35e-04	9.89e-02	-0.1391	0.04
		Extl3	exostoses (multiple)-like 3	8.11e-04	1.05e-01	-0.1066	0.0309
		Stt3b	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	9.78e-04	1.15e-01	-0.0706	0.0208
		Akap8l	A kinase (PRKA) anchor protein 8-like	1.01e-03	1.15e-01	-0.1353	0.04
		Slc12a6	solute carrier family 12, member 6	1.03e-03	1.15e-01	-0.1144	0.0337
		Rad54b	RAD54 homolog B (S. cerevisiae)	1.04e-03	1.15e-01	-0.1762	0.0522
		Cldn5	claudin 5	1.21e-03	1.29e-01	-0.2056	0.0618
		Ptprd	protein tyrosine phosphatase, receptor type, D	1.23e-03	1.30e-01	-0.1218	0.0367
		Cdh4	cadherin 4	1.35e-03	1.35e-01	-0.2291	0.0696
		Smpdl3b	sphingomyelin phosphodiesterase, acid-like 3B	1.42e-03	1.36e-01	-0.1692	0.0516
		Zfp91	zinc finger protein 91	1.43e-03	1.36e-01	-0.2238	0.0642
		Eif3f	eukaryotic translation initiation factor 3, subunit F	1.43e-03	1.36e-01	-0.0981	0.0299
		Ccrl2	chemokine (C-C motif) receptor-like 2	1.56e-03	1.41e-01	-0.1739	0.0536
		Uba7	ubiquitin-like modifier activating enzyme 7	1.56e-03	1.41e-01	-0.1582	0.0487
		Ctdspl	CTD (carboxy-terminal domain, RNA polymerase II, polypeptide A) small phosphatase-like	1.60e-03	1.41e-01	-0.1232	0.038
