Bioassay	ExternalID	Genotype	Timepoint	Batch	OrganismPart	Gender	Sample	Dataset	ExpMatrixName	Treatment	Original_batch	Original_age
GSE25232_Biomat_2___BioAssayImplId=192858Name=DE5_rep4	GSM630834	N171_98Q	14_months	NA	Striatum	F	N171-98Q_rep4	GSE25232	NA	NA	NA	NA
GSE25232_Biomat_3___BioAssayImplId=192861Name=DE5_rep1	GSM630831	N171_98Q	14_months	NA	Striatum	F	N171-98Q_rep1	GSE25232	NA	NA	NA	NA
GSE25232_Biomat_4___BioAssayImplId=192860Name=DE5_rep2	GSM630832	N171_98Q	14_months	NA	Striatum	F	N171-98Q_rep2	GSE25232	NA	NA	NA	NA
GSE25232_Biomat_5___BioAssayImplId=192862Name=wt_rep3	GSM630830	WT	14_months	NA	Striatum	F	wt_rep3	GSE25232	NA	NA	NA	NA
GSE25232_Biomat_6___BioAssayImplId=192864Name=wt_rep1	GSM630828	WT	14_months	NA	Striatum	F	wt_rep1	GSE25232	NA	NA	NA	NA
GSE25232_Biomat_7___BioAssayImplId=192863Name=wt_rep2	GSM630829	WT	14_months	NA	Striatum	F	wt_rep2	GSE25232	NA	NA	NA	NA
GSE26317_Biomat_10___BioAssayImplId=132113Name=cx.tg.4b.4	GSM646223	R62_300Q	5_months	NA	Cerebral_cortex	F	cx.tg.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_11___BioAssayImplId=132114Name=cx.tg.4b.3	GSM646222	R62_300Q	5_months	NA	Cerebral_cortex	M	cx.tg.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_12___BioAssayImplId=132115Name=cx.tg.4b.2	GSM646221	R62_300Q	5_months	NA	Cerebral_cortex	F	cx.tg.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_13___BioAssayImplId=132116Name=cx.tg.4b.1	GSM646220	R62_300Q	5_months	NA	Cerebral_cortex	F	cx.tg.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_14___BioAssayImplId=132087Name=str.wt.cntr.2	GSM646249	WT	5_months	NA	Striatum	F	str.wt.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_15___BioAssayImplId=132091Name=str.wt.4b.2	GSM646245	WT	5_months	NA	Striatum	F	str.wt.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_16___BioAssayImplId=132131Name=cb.tg.4b.1	GSM646205	R62_300Q	5_months	NA	Cerebellum	M	cb.tg.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_17___BioAssayImplId=132090Name=str.wt.4b.3	GSM646246	WT	5_months	NA	Striatum	M	str.wt.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_18___BioAssayImplId=132130Name=cb.tg.4b.2	GSM646206	R62_300Q	5_months	NA	Cerebellum	F	cb.tg.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_19___BioAssayImplId=132089Name=str.wt.4b.4	GSM646247	WT	5_months	NA	Striatum	M	str.wt.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_1___BioAssayImplId=132118Name=cb.wt.cntr.2	GSM646218	WT	5_months	NA	Cerebellum	F	cb.wt.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_20___BioAssayImplId=132129Name=cb.tg.4b.3	GSM646207	R62_300Q	5_months	NA	Cerebellum	F	cb.tg.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_21___BioAssayImplId=132088Name=str.wt.cntr.1	GSM646248	WT	5_months	NA	Striatum	M	str.wt.cntr.1	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_22___BioAssayImplId=132128Name=cb.tg.4b.4	GSM646208	R62_300Q	5_months	NA	Cerebellum	F	cb.tg.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_23___BioAssayImplId=132095Name=str.tg.cntr.2	GSM646241	R62_300Q	5_months	NA	Striatum	M	str.tg.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_24___BioAssayImplId=132127Name=cb.tg.cntr.1	GSM646209	R62_300Q	5_months	NA	Cerebellum	M	cb.tg.cntr.1	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_25___BioAssayImplId=132109Name=cx.tg.cntr.4	GSM646227	R62_300Q	5_months	NA	Cerebral_cortex	M	cx.tg.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_26___BioAssayImplId=132094Name=str.tg.cntr.3	GSM646242	R62_300Q	5_months	NA	Striatum	M	str.tg.cntr.3	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_27___BioAssayImplId=132108Name=cx.wt.4b.1	GSM646228	WT	5_months	NA	Cerebral_cortex	F	cx.wt.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_28___BioAssayImplId=132093Name=str.tg.cntr.4	GSM646243	R62_300Q	5_months	NA	Striatum	F	str.tg.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_29___BioAssayImplId=132107Name=cx.wt.4b.2	GSM646229	WT	5_months	NA	Cerebral_cortex	F	cx.wt.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_2___BioAssayImplId=132117Name=cb.wt.cntr.4	GSM646219	WT	5_months	NA	Cerebellum	M	cb.wt.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_30___BioAssayImplId=132092Name=str.wt.4b.1	GSM646244	WT	5_months	NA	Striatum	F	str.wt.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_31___BioAssayImplId=132096Name=str.tg.cntr.1	GSM646240	R62_300Q	5_months	NA	Striatum	F	str.tg.cntr.1	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_32___BioAssayImplId=132101Name=cx.wt.cntr.4	GSM646235	WT	5_months	NA	Cerebral_cortex	M	cx.wt.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_33___BioAssayImplId=132102Name=cx.wt.cntr.3	GSM646234	WT	5_months	NA	Cerebral_cortex	M	cx.wt.cntr.3	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_34___BioAssayImplId=132099Name=str.tg.4b.2	GSM646237	R62_300Q	5_months	NA	Striatum	F	str.tg.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_35___BioAssayImplId=132125Name=cb.tg.cntr.3	GSM646211	R62_300Q	5_months	NA	Cerebellum	F	cb.tg.cntr.3	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_36___BioAssayImplId=132100Name=str.tg.4b.1	GSM646236	R62_300Q	5_months	NA	Striatum	F	str.tg.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_37___BioAssayImplId=132126Name=cb.tg.cntr.2	GSM646210	R62_300Q	5_months	NA	Cerebellum	M	cb.tg.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_38___BioAssayImplId=132097Name=str.tg.4b.4	GSM646239	R62_300Q	5_months	NA	Striatum	F	str.tg.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_39___BioAssayImplId=132105Name=cx.wt.4b.4	GSM646231	WT	5_months	NA	Cerebral_cortex	M	cx.wt.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_3___BioAssayImplId=132120Name=cb.wt.4b.4	GSM646216	WT	5_months	NA	Cerebellum	F	cb.wt.4b.4	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_40___BioAssayImplId=132123Name=cb.wt.4b.1	GSM646213	WT	5_months	NA	Cerebellum	M	cb.wt.4b.1	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_41___BioAssayImplId=132098Name=str.tg.4b.3	GSM646238	R62_300Q	5_months	NA	Striatum	F	str.tg.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_42___BioAssayImplId=132106Name=cx.wt.4b.3	GSM646230	WT	5_months	NA	Cerebral_cortex	F	cx.wt.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_43___BioAssayImplId=132124Name=cb.tg.cntr.4	GSM646212	R62_300Q	5_months	NA	Cerebellum	F	cb.tg.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_44___BioAssayImplId=132103Name=cx.wt.cntr.2	GSM646233	WT	5_months	NA	Cerebral_cortex	F	cx.wt.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_45___BioAssayImplId=132121Name=cb.wt.4b.3	GSM646215	WT	5_months	NA	Cerebellum	M	cb.wt.4b.3	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_46___BioAssayImplId=132104Name=cx.wt.cntr.1	GSM646232	WT	5_months	NA	Cerebral_cortex	F	cx.wt.cntr.1	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_47___BioAssayImplId=132122Name=cb.wt.4b.2	GSM646214	WT	5_months	NA	Cerebellum	F	cb.wt.4b.2	GSE26317	NA	HDACi_4b	NA	NA
GSE26317_Biomat_4___BioAssayImplId=132119Name=cb.wt.cntr.1	GSM646217	WT	5_months	NA	Cerebellum	F	cb.wt.cntr.1	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_5___BioAssayImplId=132086Name=str.wt.cntr.3	GSM646250	WT	5_months	NA	Striatum	F	str.wt.cntr.3	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_6___BioAssayImplId=132085Name=str.wt.cntr.4	GSM646251	WT	5_months	NA	Striatum	M	str.wt.cntr.4	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_7___BioAssayImplId=132110Name=cx.tg.cntr.3	GSM646226	R62_300Q	5_months	NA	Cerebral_cortex	M	cx.tg.cntr.3	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_8___BioAssayImplId=132111Name=cx.tg.cntr.2	GSM646225	R62_300Q	5_months	NA	Cerebral_cortex	F	cx.tg.cntr.2	GSE26317	NA	reference	NA	NA
GSE26317_Biomat_9___BioAssayImplId=132112Name=cx.tg.cntr.1	GSM646224	R62_300Q	5_months	NA	Cerebral_cortex	F	cx.tg.cntr.1	GSE26317	NA	reference	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep1	GSM802268	HdhQ150	12_months	Batch_01_23_10_09	Caudate_nucleus	M	12m_HdhQ150_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep2	GSM802269	HdhQ150	12_months	Batch_02_30_10_09	Caudate_nucleus	M	12m_HdhQ150_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep3	GSM802270	HdhQ150	12_months	Batch_01_23_10_09	Caudate_nucleus	F	12m_HdhQ150_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep4	GSM802271	HdhQ150	12_months	Batch_01_23_10_09	Caudate_nucleus	F	12m_HdhQ150_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep5	GSM802272	HdhQ150	12_months	Batch_02_30_10_09	Caudate_nucleus	F	12m_HdhQ150_rep5	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_HdhQ150_rep6	GSM802273	HdhQ150	12_months	Batch_03_06_11_09	Caudate_nucleus	F	12m_HdhQ150_rep6	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_WT_rep1	GSM802274	WT	12_months	Batch_01_23_10_09	Caudate_nucleus	M	12m_WT_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_WT_rep2	GSM802275	WT	12_months	Batch_04_03_12_09	Caudate_nucleus	F	12m_WT_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_WT_rep3	GSM802276	WT	12_months	Batch_02_30_10_09	Caudate_nucleus	F	12m_WT_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_WT_rep4	GSM802277	WT	12_months	Batch_02_30_10_09	Caudate_nucleus	F	12m_WT_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=12m_WT_rep5	GSM802278	WT	12_months	Batch_03_06_11_09	Caudate_nucleus	F	12m_WT_rep5	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_HdhQ150_rep1	GSM802279	HdhQ150	18_months	Batch_01_23_10_09	Caudate_nucleus	F	18m_HdhQ150_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_HdhQ150_rep2	GSM802280	HdhQ150	18_months	Batch_04_03_12_09	Caudate_nucleus	F	18m_HdhQ150_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_HdhQ150_rep3	GSM802281	HdhQ150	18_months	Batch_02_30_10_09	Caudate_nucleus	F	18m_HdhQ150_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_HdhQ150_rep4	GSM802282	HdhQ150	18_months	Batch_03_06_11_09	Caudate_nucleus	F	18m_HdhQ150_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_WT_rep1	GSM802283	WT	18_months	Batch_01_23_10_09	Caudate_nucleus	F	18m_WT_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_WT_rep2	GSM802284	WT	18_months	Batch_04_03_12_09	Caudate_nucleus	F	18m_WT_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_WT_rep3	GSM802285	WT	18_months	Batch_02_30_10_09	Caudate_nucleus	F	18m_WT_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=18m_WT_rep4	GSM802286	WT	18_months	Batch_03_06_11_09	Caudate_nucleus	F	18m_WT_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_HdhQ150_rep1	GSM802287	HdhQ150	6_months	Batch_01_23_10_09	Caudate_nucleus	F	6m_HdhQ150_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_HdhQ150_rep2	GSM802288	HdhQ150	6_months	Batch_01_23_10_09	Caudate_nucleus	M	6m_HdhQ150_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_HdhQ150_rep3	GSM802289	HdhQ150	6_months	Batch_01_23_10_09	Caudate_nucleus	F	6m_HdhQ150_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_HdhQ150_rep4	GSM802290	HdhQ150	6_months	Batch_01_23_10_09	Caudate_nucleus	F	6m_HdhQ150_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_HdhQ150_rep5	GSM802291	HdhQ150	6_months	Batch_02_30_10_09	Caudate_nucleus	F	6m_HdhQ150_rep5	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_WT_rep1	GSM802292	WT	6_months	Batch_02_30_10_09	Caudate_nucleus	M	6m_WT_rep1	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_WT_rep2	GSM802293	WT	6_months	Batch_02_30_10_09	Caudate_nucleus	M	6m_WT_rep2	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_WT_rep3	GSM802294	WT	6_months	Batch_02_30_10_09	Caudate_nucleus	F	6m_WT_rep3	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_WT_rep4	GSM802295	WT	6_months	Batch_03_06_11_09	Caudate_nucleus	F	6m_WT_rep4	GSE32417	NA	NA	NA	NA
GSE32417_Biomat_0___BioAssayImplId=99999Name=6m_WT_rep5	GSM802296	WT	6_months	Batch_03_06_11_09	Caudate_nucleus	F	6m_WT_rep5	GSE32417	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep1	GSM1168515	DREAM_KO	10-12_weeks	Batch_2	Striatum	F	DREAM_KO_rep1	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep2	GSM1168516	DREAM_KO	10-12_weeks	Batch_2	Striatum	F	DREAM_KO_rep2	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep3	GSM1168517	DREAM_KO	10-12_weeks	Batch_2	Striatum	F	DREAM_KO_rep3	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep4	GSM1168518	DREAM_KO	10-12_weeks	Batch_2	Striatum	F	DREAM_KO_rep4	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep1	GSM1168511	R62_DREAM_KO	10-12_weeks	Batch_2	Striatum	F	R62_DREAM_KO_rep1	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep2	GSM1168512	R62_DREAM_KO	10-12_weeks	Batch_2	Striatum	F	R62_DREAM_KO_rep2	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep3	GSM1168513	R62_DREAM_KO	10-12_weeks	Batch_2	Striatum	F	R62_DREAM_KO_rep3	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep4	GSM1168514	R62_DREAM_KO	10-12_weeks	Batch_2	Striatum	F	R62_DREAM_KO_rep4	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_rep1	GSM1168519	R62	10-12_weeks	Batch_1	Striatum	M	R62_rep1	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_rep2	GSM1168520	R62	10-12_weeks	Batch_1	Striatum	F	R62_rep2	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_rep3	GSM1168521	R62	10-12_weeks	Batch_1	Striatum	F	R62_rep3	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_rep4	GSM1168522	R62	10-12_weeks	Batch_1	Striatum	F	R62_rep4	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=WT_rep1	GSM1168523	WT	10-12_weeks	Batch_1	Striatum	F	WT_rep1	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=WT_rep2	GSM1168524	WT	10-12_weeks	Batch_1	Striatum	F	WT_rep2	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=WT_rep3	GSM1168525	WT	10-12_weeks	Batch_1	Striatum	F	WT_rep3	GSE48104	NA	NA	NA	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=WT_rep4	GSM1168526	WT	10-12_weeks	Batch_1	Striatum	F	WT_rep4	GSE48104	NA	NA	NA	NA
GSE50379_Biomat_10___BioAssayImplId=240032Name=striatumofHdhQ20/Q20/mGluR5+/+rep2	GSM1217736	WT	3_months	NA	Striatum	M	WT_rep2	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_11___BioAssayImplId=240026Name=striatumofHdhQ111/Q111/mGluR5+/+rep2	GSM1217742	HdhQ111	3_months	NA	Striatum	M	HdhQ111_rep2	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_12___BioAssayImplId=240031Name=striatumofHdhQ20/Q20/mGluR5+/+rep3	GSM1217737	WT	3_months	NA	Striatum	M	WT_rep3	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_1___BioAssayImplId=240022Name=striatumofHdhQ111/Q111/mGluR5./.rep3	GSM1217746	HdhQ111_Grm5_KO	3_months	NA	Striatum	M	HdhQ111_Grm5_KO_rep3	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_2___BioAssayImplId=240023Name=striatumofHdhQ111/Q111/mGluR5./.rep2	GSM1217745	HdhQ111_Grm5_KO	3_months	NA	Striatum	M	HdhQ111_Grm5_KO_rep2	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_3___BioAssayImplId=240030Name=striatumofHdhQ20/Q20andmGluR5./.rep1	GSM1217738	Grm5_KO	3_months	NA	Striatum	M	Grm5_KO_rep1	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_4___BioAssayImplId=240028Name=striatumofHdhQ20/Q20andmGluR5./.rep3	GSM1217740	Grm5_KO	3_months	NA	Striatum	M	Grm5_KO_rep3	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_5___BioAssayImplId=240029Name=striatumofHdhQ20/Q20andmGluR5./.rep2	GSM1217739	Grm5_KO	3_months	NA	Striatum	M	Grm5_KO_rep2	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_6___BioAssayImplId=240025Name=striatumofHdhQ111/Q111/mGluR5+/+rep3	GSM1217743	HdhQ111	3_months	NA	Striatum	M	HdhQ111_rep3	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_7___BioAssayImplId=240024Name=striatumofHdhQ111/Q111/mGluR5./.rep1	GSM1217744	HdhQ111_Grm5_KO	3_months	NA	Striatum	M	HdhQ111_Grm5_KO_rep1	GSE50379	NA	NA	NA	NA
GSE50379_Biomat_8___BioAssayImplId=240033Name=striatumofHdhQ20/Q20/mGluR5+/+rep1	GSM1217735	WT	3_months	NA	Striatum	M	WT_rep1	GSE50379	NA	NA	NA	NA
