#2017-03-21												
# this file is to assign samples to model types. ignore other columns (some info are not correct)												
Sample	Platform	Disease_stage	Genotype	Gender	Dataset	Age (months)	Original_genotype	Phase		Model_types	repeat_length	notes
GSE48104_R62_rep1	GPL1261	Disease	HD	M	GSE48104	2.75	R62	late		N-terminal	200	repeat less than 200
GSE48104_R62_rep2	GPL1261	Disease	HD	F	GSE48104	2.75	R62	late		N-terminal	200	repeat less than 200
GSE48104_R62_rep3	GPL1261	Disease	HD	F	GSE48104	2.75	R62	late		N-terminal	200	repeat less than 200
GSE48104_R62_rep4	GPL1261	Disease	HD	F	GSE48104	2.75	R62	late		N-terminal	200	repeat less than 200
GSE48104_WT_rep1	GPL1261	WT	WT	F	GSE48104	2.75	WT	late		N-terminal	7	
GSE48104_WT_rep2	GPL1261	WT	WT	F	GSE48104	2.75	WT	late		N-terminal	7	
GSE48104_WT_rep3	GPL1261	WT	WT	F	GSE48104	2.75	WT	late		N-terminal	7	
GSE48104_WT_rep4	GPL1261	WT	WT	F	GSE48104	2.75	WT	late		N-terminal	7	
GSE62210_R62_rep1	GPL6246	Disease	HD	M	GSE62210	2	R62	late		N-terminal	127	121–133 CAG-repeats
GSE62210_R62_rep2	GPL6246	Disease	HD	M	GSE62210	2	R62	late		N-terminal	127	121–133 CAG-repeats
GSE62210_R62_rep3	GPL6246	Disease	HD	M	GSE62210	2	R62	late		N-terminal	127	121–133 CAG-repeats
GSE62210_WT_rep1	GPL6246	WT	WT	M	GSE62210	2	WT	late		N-terminal	7	assumed repeat is wildtype
GSE62210_WT_rep2	GPL6246	WT	WT	M	GSE62210	2	WT	late		N-terminal	7	assumed repeat is wildtype
GSE62210_WT_rep3	GPL6246	WT	WT	M	GSE62210	2	WT	late		N-terminal	7	assumed repeat is wildtype
GSE64386_Str_TG_11m_GN36_1	GPL6885	Disease	HD	F	GSE64386	11	BAC_HD	late		Full-length	97	
GSE64386_Str_TG_11m_GN37_3	GPL6885	Disease	HD	M	GSE64386	11	BAC_HD	late		Full-length	97	
GSE64386_Str_TG_11m_NTN2_1	GPL6885	Disease	HD	M	GSE64386	11	BAC_HD	late		Full-length	97	
GSE64386_Str_TG_11m_NTN28_2	GPL6885	Disease	HD	F	GSE64386	11	BAC_HD	late		Full-length	97	
GSE64386_Str_WT_11m_GN34_1	GPL6885	WT	WT	M	GSE64386	11	WT	late		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_11m_GN34_5	GPL6885	WT	WT	M	GSE64386	11	WT	late		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_11m_GN47_1	GPL6885	WT	WT	F	GSE64386	11	WT	late		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_11m_WT1	GPL6885	WT	WT	F	GSE64386	11	WT	late		Full-length	31	wt is human wt transgene with 31Q
GSE7958_Q92_18m_11	GPL1261	Disease	HD	M	GSE7958	18	HdhQ92_Q92	late		HTT exon 1 KI	92	Kuhn study
GSE7958_Q92_18m_25	GPL1261	Disease	HD	F	GSE7958	18	HdhQ92_Q92	late		HTT exon 1 KI	92	Kuhn study
GSE7958_Q92_18m_66	GPL1261	Disease	HD	F	GSE7958	18	HdhQ92_Q92	late		HTT exon 1 KI	92	Kuhn study
GSE7958_WT_18m_12	GPL1261	WT	WT	M	GSE7958	18	WT	late		HTT exon 1 KI	0	Kuhn study
GSE7958_WT_18m_17	GPL1261	WT	WT	F	GSE7958	18	WT	late		HTT exon 1 KI	0	Kuhn study
GSE7958_WT_18m_9	GPL1261	WT	WT	F	GSE7958	18	WT	late		HTT exon 1 KI	0	Kuhn study
GSE9857_R62_105	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_107	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_109	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_64	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_65	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_70	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_78	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_86	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_R62_95	GPL1261	Disease	HD	F	GSE9857	3	R62	late		N-terminal	209	Kuhn study
GSE9857_WT_42	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_45	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_46	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_47	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_48	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_49	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_54	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_63	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE9857_WT_66	GPL1261	WT	WT	F	GSE9857	3	WT	late		N-terminal	7	Kuhn study
GSE32417_6m_HdhQ150_rep1	GPL6246	Disease	HD	F	GSE32417	6	HdhQ150	early		HTT exon 1 KI	124	repeat: 118-130
GSE32417_6m_HdhQ150_rep2	GPL6246	Disease	HD	M	GSE32417	6	HdhQ150	early		HTT exon 1 KI	124	repeat: 118-130
GSE32417_6m_HdhQ150_rep3	GPL6246	Disease	HD	F	GSE32417	6	HdhQ150	early		HTT exon 1 KI	124	repeat: 118-130
GSE32417_6m_HdhQ150_rep4	GPL6246	Disease	HD	F	GSE32417	6	HdhQ150	early		HTT exon 1 KI	124	repeat: 118-130
GSE32417_6m_HdhQ150_rep5	GPL6246	Disease	HD	F	GSE32417	6	HdhQ150	early		HTT exon 1 KI	124	repeat: 118-130
GSE32417_6m_WT_rep1	GPL6246	WT	WT	M	GSE32417	6	WT	early		HTT exon 1 KI	7	
GSE32417_6m_WT_rep2	GPL6246	WT	WT	M	GSE32417	6	WT	early		HTT exon 1 KI	7	
GSE32417_6m_WT_rep3	GPL6246	WT	WT	F	GSE32417	6	WT	early		HTT exon 1 KI	7	
GSE32417_6m_WT_rep4	GPL6246	WT	WT	F	GSE32417	6	WT	early		HTT exon 1 KI	7	
GSE32417_6m_WT_rep5	GPL6246	WT	WT	F	GSE32417	6	WT	early		HTT exon 1 KI	7	
GSE50379_HdhQ111_rep1	GPL6246	Disease	HD	M	GSE50379	3	HdhQ111	early		HTT exon 1 KI	111	
GSE50379_HdhQ111_rep2	GPL6246	Disease	HD	M	GSE50379	3	HdhQ111	early		HTT exon 1 KI	111	
GSE50379_HdhQ111_rep3	GPL6246	Disease	HD	M	GSE50379	3	HdhQ111	early		HTT exon 1 KI	111	
GSE50379_WT_rep1	GPL6246	WT	WT	M	GSE50379	3	WT	early		HTT exon 1 KI	20	
GSE50379_WT_rep2	GPL6246	WT	WT	M	GSE50379	3	WT	early		HTT exon 1 KI	20	
GSE50379_WT_rep3	GPL6246	WT	WT	M	GSE50379	3	WT	early		HTT exon 1 KI	20	
GSE64386_Str_TG_2m_GN50_1	GPL6885	Disease	HD	F	GSE64386	2	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_2m_GN50_3	GPL6885	Disease	HD	F	GSE64386	2	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_2m_GN51_1	GPL6885	Disease	HD	M	GSE64386	2	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_2m_GN51_3	GPL6885	Disease	HD	M	GSE64386	2	BAC_HD	early		Full-length	97	
GSE64386_Str_WT_2m_GN50_2	GPL6885	WT	WT	F	GSE64386	2	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_2m_GN50_4	GPL6885	WT	WT	F	GSE64386	2	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_2m_GN51_5	GPL6885	WT	WT	M	GSE64386	2	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_2m_GN80_2	GPL6885	WT	WT	M	GSE64386	2	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_TG_7m_GN1_2	GPL6885	Disease	HD	M	GSE64386	7	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_7m_GN1_4	GPL6885	Disease	HD	M	GSE64386	7	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_7m_GN2_1	GPL6885	Disease	HD	F	GSE64386	7	BAC_HD	early		Full-length	97	
GSE64386_Str_TG_7m_GN2_2	GPL6885	Disease	HD	F	GSE64386	7	BAC_HD	early		Full-length	97	
GSE64386_Str_WT_7m_GN1_1	GPL6885	WT	WT	M	GSE64386	7	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_7m_GN1_3	GPL6885	WT	WT	M	GSE64386	7	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_7m_GN2_3	GPL6885	WT	WT	F	GSE64386	7	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE64386_Str_WT_7m_HD12_1	GPL6885	WT	WT	F	GSE64386	7	WT	early		Full-length	31	wt is human wt transgene with 31Q
GSE7958_Q92_3m_439	GPL1261	Disease	HD	F	GSE7958	3	HdhQ92_Q92	early		HTT exon 1 KI	92	Kuhn study
GSE7958_Q92_3m_440	GPL1261	Disease	HD	F	GSE7958	3	HdhQ92_Q92	early		HTT exon 1 KI	92	Kuhn study
GSE7958_Q92_3m_466	GPL1261	Disease	HD	M	GSE7958	3	HdhQ92_Q92	early		HTT exon 1 KI	92	Kuhn study
GSE7958_WT_3m_436	GPL1261	WT	WT	M	GSE7958	3	WT	early		HTT exon 1 KI	0	Kuhn study
GSE7958_WT_3m_438	GPL1261	WT	WT	F	GSE7958	3	WT	early		HTT exon 1 KI	0	Kuhn study
GSE7958_WT_3m_467	GPL1261	WT	WT	M	GSE7958	3	WT	early		HTT exon 1 KI	0	Kuhn study
GSE9038_HdhQ111_striatum_rep1	GPL1261	Disease	HD	F	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_HdhQ111_striatum_rep2	GPL1261	Disease	HD	M	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_HdhQ111_striatum_rep3	GPL1261	Disease	HD	M	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_HdhQ111_striatum_rep4	GPL1261	Disease	HD	F	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_HdhQ111_striatum_rep5	GPL1261	Disease	HD	M	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_HdhQ111_striatum_rep6	GPL1261	Disease	HD	M	GSE9038	1.625	HdhQ111	early		HTT exon 1 KI	111	
GSE9038_WT_striatum_rep1	GPL1261	WT	WT	F	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9038_WT_striatum_rep2	GPL1261	WT	WT	M	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9038_WT_striatum_rep3	GPL1261	WT	WT	F	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9038_WT_striatum_rep4	GPL1261	WT	WT	M	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9038_WT_striatum_rep5	GPL1261	WT	WT	M	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9038_WT_striatum_rep6	GPL1261	WT	WT	F	GSE9038	1.625	WT	early		HTT exon 1 KI	7	
GSE9375_Hdh4Q80_7S	GPL81	Disease	HD	F	GSE9375	12	Hdh4_Q80	early		CAG repeat KI	80	
GSE9375_Hdh4Q80_8S	GPL81	Disease	HD	F	GSE9375	12	Hdh4_Q80	early		CAG repeat KI	80	
GSE9375_Hdh4Q80_9S	GPL81	Disease	HD	F	GSE9375	12	Hdh4_Q80	early		CAG repeat KI	80	
GSE9375_WT_4S	GPL81	WT	WT	F	GSE9375	12	WT	early		CAG repeat KI	7	
GSE9375_WT_5S	GPL81	WT	WT	F	GSE9375	12	WT	early		CAG repeat KI	7	
GSE9375_WT_6S	GPL81	WT	WT	F	GSE9375	12	WT	early		CAG repeat KI	7	
