# 2017-02-01
# Input score file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop//jackknife_early_up_regulation_mixed_model_results.tsv
# Input erminej file: /home/bzhuang/ND_project_combined/AD_mouse_model_project/ermineJ/mixed_model_jackknife/random_intercept_include_NA_low_exp_rm_adj_cell_pop_all_processes//2017-02-01_geneset_500/ermineJ_jackknife_early_up_regulation_mixed_model_results.tsv
# only top 50 pathways
# only top 200 genes from the score file are shown ranking in ()
# FDR: corrected p value, []: gene member size of the pathway
geneSymbol	rank	Count	name	sig_paths
Etnk1	18	3	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Dbnl	19.5	2	organelle assembly- FDR:0.35707737[265](GO:0070925); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Epha3	19.5	1	cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Tecr	21	13	steroid biosynthetic process- FDR:0.193116[54](GO:0006694); steroid metabolic process- FDR:0.006353[108](GO:0008202); organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	steroid metabolic process- FDR:0.006353[108](GO:0008202); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Mocs3	24	1	organophosphate metabolic process- FDR:0.21757313[436](GO:0019637)	NA
C1qa	28	5	complement activation, classical pathway- FDR:0.545468[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.54313875[12](GO:0002455); complement activation- FDR:0.587334[14](GO:0006956); protein activation cascade- FDR:0.65997324[16](GO:0072376); humoral immune response- FDR:0.80521467[25](GO:0006959)	NA
C1qc	29	5	complement activation, classical pathway- FDR:0.545468[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.54313875[12](GO:0002455); complement activation- FDR:0.587334[14](GO:0006956); protein activation cascade- FDR:0.65997324[16](GO:0072376); humoral immune response- FDR:0.80521467[25](GO:0006959)	NA
Elovl6	31	10	organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Ugt8a	33	9	cellular component assembly involved in morphogenesis- FDR:0.8171856[146](GO:0010927); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Dnah2	34	2	cilium- FDR:0.376915[256](GO:0005929); microtubule-based process- FDR:0.54061966[327](GO:0007017)	NA
Chst3	37	3	carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	NA
Comt	39	2	steroid metabolic process- FDR:0.006353[108](GO:0008202); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615)	steroid metabolic process- FDR:0.006353[108](GO:0008202); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615)
Cdc42bpa	44	1	microtubule-based process- FDR:0.54061966[327](GO:0007017)	NA
Pacs2	48	1	organelle assembly- FDR:0.35707737[265](GO:0070925)	NA
St6galnac5	53	3	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Cdhr1	56	1	cilium- FDR:0.376915[256](GO:0005929)	NA
Cep41	60	4	cellular component assembly involved in morphogenesis- FDR:0.8171856[146](GO:0010927); cilium- FDR:0.376915[256](GO:0005929); organelle assembly- FDR:0.35707737[265](GO:0070925); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Mdh1b	61	7	steroid dehydrogenase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor- FDR:0.64442583[25](GO:0033764); steroid dehydrogenase activity- FDR:0.698775[27](GO:0016229); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Thtpa	65	1	organophosphate metabolic process- FDR:0.21757313[436](GO:0019637)	NA
Acadm	68	15	flavin adenine dinucleotide binding- FDR:0.80483413[53](GO:0050660); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); cofactor binding- FDR:0.51196444[185](GO:0048037); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Gale	72	2	cofactor binding- FDR:0.51196444[185](GO:0048037); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975)	NA
Dhcr7	74	15	cholesterol biosynthetic process- FDR:0.693935[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.693935[26](GO:1902653); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491)	sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Dbi	75	5	alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); cofactor binding- FDR:0.51196444[185](GO:0048037); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Inpp5e	78	6	alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); cilium- FDR:0.376915[256](GO:0005929); carbohydrate metabolic process- FDR:0.5599275[326](GO:0005975); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
5430435G22Rik	84	1	organelle assembly- FDR:0.35707737[265](GO:0070925)	NA
Pycrl	86	7	organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Slitrk4	87	1	cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Sulf2	89	2	oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	NA
C3	92	12	complement activation, classical pathway- FDR:0.545468[11](GO:0006958); humoral immune response mediated by circulating immunoglobulin- FDR:0.54313875[12](GO:0002455); complement activation- FDR:0.587334[14](GO:0006956); protein activation cascade- FDR:0.65997324[16](GO:0072376); humoral immune response- FDR:0.80521467[25](GO:0006959); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); cofactor binding- FDR:0.51196444[185](GO:0048037); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Agpat5	94	3	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Fmn2	97	1	microtubule-based process- FDR:0.54061966[327](GO:0007017)	NA
Apex1	105	1	oxidoreductase activity- FDR:0.02541[439](GO:0016491)	oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Ccdc113	106	3	cellular component assembly involved in morphogenesis- FDR:0.8171856[146](GO:0010927); organelle assembly- FDR:0.35707737[265](GO:0070925); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Hint1	112	1	organophosphate metabolic process- FDR:0.21757313[436](GO:0019637)	NA
Hmgcs1	116	15	cholesterol biosynthetic process- FDR:0.693935[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.693935[26](GO:1902653); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Fdps	124	16	cholesterol biosynthetic process- FDR:0.693935[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.693935[26](GO:1902653); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Rsph9	125	5	cellular component assembly involved in morphogenesis- FDR:0.8171856[146](GO:0010927); cilium- FDR:0.376915[256](GO:0005929); organelle assembly- FDR:0.35707737[265](GO:0070925); microtubule-based process- FDR:0.54061966[327](GO:0007017); cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Dars2	130	3	carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	NA
Ppapdc1b	132	1	cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Echs1	140.5	6	fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Aldh3b1	147	1	oxidoreductase activity- FDR:0.02541[439](GO:0016491)	oxidoreductase activity- FDR:0.02541[439](GO:0016491)
Mvk	159	16	cholesterol biosynthetic process- FDR:0.693935[26](GO:0006695); secondary alcohol biosynthetic process- FDR:0.693935[26](GO:1902653); sterol biosynthetic process- FDR:0.3443055[29](GO:0016126); steroid biosynthetic process- FDR:0.193116[54](GO:0006694); cholesterol metabolic process- FDR:0.1122275[59](GO:0008203); secondary alcohol metabolic process- FDR:0.1122275[59](GO:1902652); alcohol biosynthetic process- FDR:0.38577[63](GO:0046165); sterol metabolic process- FDR:0.010164[65](GO:0016125); organic hydroxy compound biosynthetic process- FDR:0.467544[90](GO:1901617); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	sterol metabolic process- FDR:0.010164[65](GO:0016125); steroid metabolic process- FDR:0.006353[108](GO:0008202); alcohol metabolic process- FDR:5.082e-09[161](GO:0006066); organic hydroxy compound metabolic process- FDR:1.694e-09[218](GO:1901615); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Pcyt1b	163	3	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); organophosphate metabolic process- FDR:0.21757313[436](GO:0019637); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)	lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
Dcx	169	1	cell projection morphogenesis- FDR:0.65999132[389](GO:0048858)	NA
Mcee	172	1	organophosphate metabolic process- FDR:0.21757313[436](GO:0019637)	NA
Fa2h	174	11	organic acid biosynthetic process- FDR:0.67108462[131](GO:0016053); carboxylic acid biosynthetic process- FDR:0.67108462[131](GO:0046394); fatty acid metabolic process- FDR:0.53165538[172](GO:0006631); small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); monocarboxylic acid metabolic process- FDR:0.15441462[245](GO:0032787); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); carboxylic acid metabolic process- FDR:0.071148[433](GO:0019752); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255); oxoacid metabolic process- FDR:0.24662647[470](GO:0043436); organic acid metabolic process- FDR:0.07161[476](GO:0006082)	small molecule biosynthetic process- FDR:0.03388[224](GO:0044283); lipid biosynthetic process- FDR:2.541e-09[266](GO:0008610); oxidoreductase activity- FDR:0.02541[439](GO:0016491); cellular lipid metabolic process- FDR:0.00847[448](GO:0044255)
