geneID	geneSymbol	geneNames	GOTerms	GemmaIDs	NCBIids	platform
Trem2	Trem2	triggering receptor expressed on myeloid cells 2	GO:0002588|GO:0007165|GO:0031663|GO:0032497|GO:0032499|GO:0045087|GO:0050731|GO:0050850|GO:0070374|GO:0070392|GO:0071223|GO:0071224|GO:0097028|GO:1903078|GO:1903082|GO:2000350	|744888	|83433	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Cidea	Cidea	cell death-inducing DNA fragmentation factor, alpha subunit-like effector A	GO:0001659|GO:0006351|GO:0006355|GO:0006629|GO:0006915|GO:0008219|GO:0010890|GO:0019915|GO:0030512|GO:0032720|GO:0050710|GO:0050995|GO:1900118|GO:1902510	492214	12683	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tpst1	Tpst1	protein-tyrosine sulfotransferase 1	GO:0006478	|585041	|22021	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cpne7	Cpne7	copine VII		|758131	|102278	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
C1ql2	C1ql2	complement component 1, q subcomponent-like 2	GO:0051259	|808976	|226359	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Apex1	Apex1	apurinic/apyrimidinic endonuclease 1	GO:0006281|GO:0006284|GO:0006310|GO:0006351|GO:0006355|GO:0006974|GO:0007568|GO:0014912|GO:0043488|GO:0045454|GO:0045739|GO:0055114|GO:0070301|GO:0080111|GO:0090305|GO:0090502|GO:1900087|GO:1903506	|479622	|11792	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Thy1	Thy1	thymus cell antigen 1, theta	GO:0001525|GO:0006469|GO:0007010|GO:0016337|GO:0030336|GO:0043547|GO:0046549|GO:0046777|GO:0048041|GO:0050771|GO:0050852|GO:0050860|GO:0050870|GO:0051281	|582701	|21838	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cntn1	Cntn1	contactin 1	GO:0007155|GO:0007219|GO:0010628|GO:0010765|GO:0010976|GO:0021549|GO:0031175|GO:0050731	493684|	12805|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Pak2	Pak2	p21 protein (Cdc42/Rac)-activated kinase 2	GO:0006468|GO:0006915|GO:0007266|GO:0007346|GO:0008152|GO:0016310|GO:0016477|GO:0018105|GO:0023014|GO:0030036|GO:0031098|GO:0032147|GO:0040008|GO:0043066|GO:0043408|GO:0046777|GO:0050731|GO:0060996|GO:0061098|GO:0071407|GO:2001238|GO:2001271	804907	224105	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Fahd1	Fahd1	fumarylacetoacetate hydrolase domain containing 1	GO:0008152	|674331	|68636	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Arcn1	Arcn1	archain 1	GO:0006810|GO:0006886|GO:0006890|GO:0008344|GO:0015031|GO:0016192|GO:0021691|GO:0043473|GO:0048193	793374|	213827|	GPL11180|GPL1261|GPL339|GPL6096|GPL6246|GPL7042|GPL7202|GPL81|GPL8321
Serinc2	Serinc2	serine incorporator 2	GO:0006658|GO:0006665|GO:0015825|GO:0051347|GO:0098655|GO:1902475	|817500	|230779	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Telo2	Telo2	TEL2, telomere maintenance 2, homolog (S. cerevisiae)	GO:0032006	|695618	|71718	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ptpre	Ptpre	protein tyrosine phosphatase, receptor type, E	GO:0006470|GO:0007185|GO:0016311|GO:0033003|GO:0035335|GO:0046627	561121	19267	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rnf14	Rnf14	ring finger protein 14	GO:0006351|GO:0006355|GO:0032355|GO:0045893|GO:0060765	629614|	56736|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
March8	March8	membrane-associated ring finger (C3HC4) 8	GO:0000209|GO:0002376|GO:0002495|GO:0016567|GO:0045347	696489	71779	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Mvk	Mvk	mevalonate kinase	GO:0006629|GO:0006694|GO:0006695|GO:0008152|GO:0008202|GO:0008203|GO:0008299|GO:0016126|GO:0016310|GO:0017148|GO:0019287|GO:0050728	|543351	|17855	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
0610007P14Rik	0610007P14Rik	RIKEN cDNA 0610007P14 gene	GO:0006629|GO:0006694|GO:0008202|GO:0016126	634492	58520	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ttc39c	Ttc39c	tetratricopeptide repeat domain 39C		|705305	|72747	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Cdk4	Cdk4	cyclin-dependent kinase 4	GO:0000082|GO:0006468|GO:0007049|GO:0007165|GO:0008284|GO:0010033|GO:0010288|GO:0010468|GO:0010971|GO:0016310|GO:0033574|GO:0042127|GO:0042493|GO:0043065|GO:0045727|GO:0045793|GO:0048146|GO:0051301|GO:0051726|GO:0071157	490952	12567	GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Tceal8	Tceal8	transcription elongation factor A (SII)-like 8	GO:0006351|GO:0006355	649568	66684	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Hmgcs1	Hmgcs1	3-hydroxy-3-methylglutaryl-Coenzyme A synthase 1	GO:0006629|GO:0006694|GO:0006695|GO:0008152|GO:0008202|GO:0008203|GO:0008299|GO:0010243|GO:0016126	|786732	|208715	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rab6a	Rab6a	RAB6A, member RAS oncogene family	GO:0000042|GO:0006810|GO:0006886|GO:0006890|GO:0006891|GO:0007264|GO:0015031|GO:0016192|GO:0018125|GO:0019882|GO:0032482|GO:0032781|GO:0034067|GO:0034498|GO:0042147	562422	19346	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Polr2h	Polr2h	polymerase (RNA) II (DNA directed) polypeptide H	GO:0006351|GO:0006366	|839543	|245841	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Brix1	Brix1	BRX1, biogenesis of ribosomes, homolog (S. cerevisiae)	GO:0000027|GO:0042254	|665523	|67832	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Stambpl1	Stambpl1	STAM binding protein like 1	GO:0006508	729949|	76630|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Jun	Jun	jun proto-oncogene	GO:0000122|GO:0001525|GO:0001774|GO:0001836|GO:0001889|GO:0001938|GO:0003151|GO:0006351|GO:0006355|GO:0006366|GO:0007179|GO:0007184|GO:0007612|GO:0008284|GO:0008285|GO:0009314|GO:0009987|GO:0030224|GO:0031103|GO:0031953|GO:0032496|GO:0032870|GO:0034097|GO:0035026|GO:0035994|GO:0042493|GO:0043065|GO:0043066|GO:0043392|GO:0043524|GO:0043525|GO:0043547|GO:0043922|GO:0043923|GO:0045597|GO:0045657|GO:0045740|GO:0045892|GO:0045893|GO:0045944|GO:0048146|GO:0048661|GO:0051365|GO:0051591|GO:0051726|GO:0051899|GO:0060395|GO:0071277|GO:1990441|GO:2000144	529642	16476	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Smyd4	Smyd4	SET and MYND domain containing 4	GO:0032259	858760|	319822|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Fbxo21	Fbxo21	F-box protein 21		819698|	231670|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Slit1	Slit1	slit homolog 1 (Drosophila)	GO:0007275|GO:0007399|GO:0007409|GO:0007411|GO:0008045|GO:0021772|GO:0022028|GO:0022029|GO:0030154|GO:0031290|GO:0033563|GO:0040023|GO:0048812|GO:0048843|GO:0048846|GO:0050919	573358	20562	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Fam210b	Fam210b	family with sequence similarity 210, member B		654322	67017	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Tcf3	Tcf3	transcription factor 3	GO:0000122|GO:0001779|GO:0002326|GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0007369|GO:0007399|GO:0010628|GO:0030098|GO:0030154|GO:0030890|GO:0032496|GO:0033077|GO:0033152|GO:0042493|GO:0043966|GO:0043967|GO:0045666|GO:0045787|GO:0045893|GO:0045944|GO:0048468|GO:0048541|GO:0050821|GO:0051091|GO:2000045	|580436	|21423	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Pqlc1	Pqlc1	PQ loop repeat containing 1		653103|	66943|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tyrobp	Tyrobp	TYRO protein tyrosine kinase binding protein	GO:0002281|GO:0002283|GO:0007229|GO:2001204	587135	22177	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ostm1	Ostm1	osteopetrosis associated transmembrane protein 1	GO:0030316	513780	14628	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Ppat	Ppat	phosphoribosyl pyrophosphate amidotransferase	GO:0006543|GO:0009168|GO:0019693|GO:0051289	|818947	|231327	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
C1qa	C1qa	complement component 1, q subcomponent, alpha polypeptide	GO:0002376|GO:0006958|GO:0045087	485371	12259	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Cetn4	Cetn4	centrin 4		|784763	|207175	GPL11180|GPL1261|GPL6096|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Isca1	Isca1	iron-sulfur cluster assembly 1 homolog (S. cerevisiae)	GO:0016226	|677579	|69046	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Glrx	Glrx	glutaredoxin	GO:0006810|GO:0032024|GO:0045454|GO:0045838|GO:0045921|GO:0055114|GO:0060355|GO:0071392|GO:1901224|GO:1901299|GO:2000587|GO:2000651	747021	93692	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Me3	Me3	malic enzyme 3, NADP(+)-dependent, mitochondrial	GO:0006090|GO:0006108|GO:0055114	771626	109264	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Prnp	Prnp	prion protein	GO:0001933|GO:0006139|GO:0006878|GO:0006979|GO:0007611|GO:0032689|GO:0032700|GO:0032703|GO:0032880|GO:0035690|GO:0043066|GO:0043433|GO:0046007|GO:0046686|GO:0046688|GO:0050860|GO:0051260|GO:0070885|GO:0071280|GO:1901379	558486	19122	GPL1261|GPL339|GPL6103|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Padi2	Padi2	peptidyl arginine deiminase, type II	GO:0010848|GO:0018101|GO:0030520|GO:0036413|GO:0048096|GO:0070100|GO:1901624	552584	18600	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Nipsnap3b	Nipsnap3b	nipsnap homolog 3B (C. elegans)		647505	66536	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Emc2	Emc2	ER membrane protein complex subunit 2		650138	66736	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rnase1	Rnase1	ribonuclease, RNase A family, 1 (pancreatic)	GO:0090502	565033	19752	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Nbl1	Nbl1	neuroblastoma, suppression of tumorigenicity 1	GO:0007399|GO:0030514|GO:0035582|GO:0045666|GO:0048263|GO:0048812|GO:0090027	544843	17965	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Mfap4	Mfap4	microfibrillar-associated protein 4	GO:0007155|GO:0009650|GO:0010712|GO:0043206|GO:0048251|GO:0071493	728041	76293	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Hes1	Hes1	hairy and enhancer of split 1 (Drosophila)	GO:0000122|GO:0001701|GO:0001889|GO:0003143|GO:0003151|GO:0003266|GO:0003281|GO:0006351|GO:0006355|GO:0006357|GO:0006366|GO:0006461|GO:0007155|GO:0007219|GO:0007224|GO:0007262|GO:0007389|GO:0008284|GO:0010628|GO:0010629|GO:0010977|GO:0016477|GO:0021537|GO:0021555|GO:0021557|GO:0021558|GO:0021575|GO:0021861|GO:0021915|GO:0021983|GO:0021984|GO:0030324|GO:0030513|GO:0030901|GO:0031016|GO:0035019|GO:0035315|GO:0035909|GO:0035910|GO:0042102|GO:0042491|GO:0042517|GO:0042668|GO:0043388|GO:0043497|GO:0045165|GO:0045596|GO:0045598|GO:0045608|GO:0045665|GO:0045687|GO:0045747|GO:0045892|GO:0045893|GO:0045944|GO:0045977|GO:0046331|GO:0046427|GO:0048469|GO:0048505|GO:0048538|GO:0048667|GO:0048711|GO:0048715|GO:0048844|GO:0050767|GO:0050768|GO:0060164|GO:0060253|GO:0060412|GO:0060716|GO:0061009|GO:0061106|GO:0061309|GO:0061626|GO:0090102|GO:0090281|GO:0097084|GO:0097150|GO:1903026|GO:1903955|GO:1990090|GO:2000227|GO:2000737|GO:2000974|GO:2000978|GO:2000981	|520271	|15205	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Ufsp1	Ufsp1	UFM1-specific peptidase 1	GO:0006508	686101|	70240|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Cct6a	Cct6a	chaperonin containing Tcp1, subunit 6a (zeta)	GO:0006457|GO:0007339|GO:1901998	|489005	|12466	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rprd1b	Rprd1b	regulation of nuclear pre-mRNA domain containing 1B	GO:0006351|GO:0006355|GO:0008284|GO:0010564|GO:0045944|GO:0070940	|687839	|70470	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fam13c	Fam13c	family with sequence similarity 13, member C		|695665	|71721	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Erlin2	Erlin2	ER lipid raft associated 2	GO:0030433	|837637	|244373	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Msh6	Msh6	mutS homolog 6 (E. coli)	GO:0000710|GO:0006281|GO:0006298|GO:0006974|GO:0007131|GO:0008340|GO:0008630|GO:0009411|GO:0016446|GO:0016447|GO:0043570|GO:0045190|GO:0045910|GO:0051096|GO:0097193	|541762	|17688	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Gtf2e1	Gtf2e1	general transcription factor II E, polypeptide 1 (alpha subunit)	GO:0006351|GO:0006355|GO:0006367	714494|	74197|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Nup43	Nup43	nucleoporin 43	GO:0006810|GO:0007049|GO:0007059|GO:0007067|GO:0015031|GO:0051028|GO:0051301	684065	69912	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ebp	Ebp	phenylalkylamine Ca2+ antagonist (emopamil) binding protein	GO:0006629|GO:0006694|GO:0006695|GO:0008202|GO:0008203|GO:0016125|GO:0016126|GO:0030097	502384	13595	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zfp655	Zfp655	zinc finger protein 655	GO:0006355|GO:2000134	704431|	72611|	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Cd2bp2	Cd2bp2	CD2 antigen (cytoplasmic tail) binding protein 2	GO:0006397|GO:0008380|GO:0010923	|686007	|70233	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Rsph9	Rsph9	radial spoke head 9 homolog (Chlamydomonas)	GO:0003341|GO:0035082	723368	75564	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Myh14	Myh14	myosin, heavy polypeptide 14	GO:0003009|GO:0007519|GO:0007605|GO:0008152|GO:0008360|GO:0019228|GO:0030048|GO:0031032|GO:0070584|GO:0071625	698593	71960	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL7042|GPL7202|GPL81|GPL8321
Spryd7	Spryd7	SPRY domain containing 7		649437	66674	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Tnxb	Tnxb	tenascin XB	GO:0006629|GO:0006631|GO:0006641|GO:0006644|GO:0007160|GO:0016337|GO:0030198|GO:0030199|GO:0032963|GO:0043206|GO:0043506|GO:0045785|GO:0048251	744371	81877	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Echs1	Echs1	enoyl Coenzyme A hydratase, short chain, 1, mitochondrial	GO:0006629|GO:0006631|GO:0008152	|747639	|93747	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zfp687	Zfp687	zinc finger protein 687	GO:0006351|GO:0006355	|738087	|78266	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Osbpl2	Osbpl2	oxysterol binding protein-like 2	GO:0006810|GO:0006869	813909	228983	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Dynlt1a	Dynlt1a	dynein light chain Tctex-type 1A		8517084	100310872	GPL1261|GPL339|GPL7042|GPL7202|GPL81|GPL8321
Bcap29	Bcap29	B cell receptor associated protein 29	GO:0001649|GO:0006810|GO:0006886|GO:0006888|GO:0006915|GO:0015031|GO:0016192|GO:0070973	483415	12033	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Fam155a	Fam155a	family with sequence similarity 155, member A		852454	270028	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Gal	Gal	galanin	GO:0006954|GO:0007218|GO:0007399|GO:0007631|GO:0008285|GO:0010737|GO:0019933|GO:0031943|GO:0043065|GO:0045944|GO:0050672|GO:0051464|GO:0051795|GO:1902608|GO:1902891	511669	14419	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Dcn	Dcn	decorin	GO:0010508|GO:0019800	499227|	13179|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Zbtb8b	Zbtb8b	zinc finger and BTB domain containing 8b	GO:0006351|GO:0006355	|795852	|215627	GPL11180|GPL1261|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202
Plce1	Plce1	phospholipase C, epsilon 1	GO:0000187|GO:0006629|GO:0007165|GO:0007186|GO:0007200|GO:0007264|GO:0007265|GO:0008277|GO:0016042|GO:0032835|GO:0035556|GO:0045859|GO:0046578	|712633	|74055	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Ppp2r2d	Ppp2r2d	protein phosphatase 2, regulatory subunit B, delta	GO:0007049|GO:0007067|GO:0007165|GO:0051301	613445|	52432|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL8321
Snrpb	Snrpb	small nuclear ribonucleoprotein B	GO:0000387|GO:0000398|GO:0002230|GO:0006397|GO:0006479|GO:0008380|GO:0098779	|574360	|20638	GPL11180|GPL1261|GPL339|GPL6103|GPL6246|GPL6333|GPL6885|GPL7042|GPL7202|GPL81|GPL8321
Prkra	Prkra	protein kinase, interferon inducible double stranded RNA dependent activator	GO:0006468|GO:0008284|GO:0030422|GO:0031047|GO:0031054|GO:0034599|GO:0035196|GO:0042473|GO:0042474|GO:0048705|GO:2001244	596019|	23992|	GPL11180|GPL1261|GPL339|GPL6096|GPL6103|GPL6246|GPL6885|GPL7042|GPL7202|GPL8321
