#Supplementary Table 2. Probes significantly altered in striatum due to mutant huntingtin. 
#Significantly altered probes were identified by false disecovery rate (q<0.05; 6 biological replicates per group)
Probe ID	FC	FDR	regulation	geneSymbol
1425336_x_at	-2.02	0.01680764	down	H2-K1
1435642_at	-1.66	0.01680764	down	Prr18
1417136_s_at	-1.47	0.01680764	down	Srpk2
1415731_at	-1.29	0.01684301	down	Angel2
1416211_a_at	-1.34	0.01684301	down	Ptn
1420934_a_at	-1.41	0.01684301	down	Srrm1
1424908_at	-1.32	0.0171685	down	Mtfmt
1417135_at	-1.31	0.01738081	down	Srpk2
1426124_a_at	-1.44	0.01741792	down	Clk1
1423964_at	-1.33	0.01741792	down	Cpsf3l
1420695_at	-1.82	0.01741792	down	Dach1
1424843_a_at	-1.99	0.01741792	down	Gas5
1428230_at	-1.77	0.01741792	down	Prkd3
1426467_s_at	-1.29	0.01839356	down	0610037L13Rik
1435027_at	-1.40	0.01839356	down	Golga1
1420093_s_at	-1.27	0.01839356	down	Hnrpdl
1417866_at	-1.29	0.01960229	down	Tnfaip1
1417688_at	-1.29	0.01985496	down	Fam20c
1452163_at	-2.08	0.01996036	down	Ets1
1453321_at	-1.26	0.02005652	down	Fndc1
1436416_x_at	-1.20	0.02005652	down	Fxc1
1452186_at	-1.22	0.02005652	down	Rbm5
1426366_at	-1.76	0.02061571	down	Eif2c2
1428584_a_at	-1.38	0.02061571	down	Haghl
1449039_a_at	-1.24	0.02061571	down	Hnrpdl
1422255_at	-1.55	0.02061571	down	Kcna4
1434096_at	-1.18	0.02061571	down	Slc4a4
1450650_at	-1.73	0.02115408	down	Myo10
1423058_at	-1.18	0.02130732	down	Capza2
1460448_s_at	-1.59	0.02140583	down	Ttc14
1447929_at	-1.50	0.0223012	down	Ssh3
1424398_at	-1.44	0.02345668	down	Dhx36
1455746_at	-1.45	0.02467282	down	Kif13a
1434801_x_at	-1.14	0.0248895	down	Slc25a5
1419256_at	-1.39	0.02518854	down	Spnb2
1455752_a_at	-1.15	0.02518854	down	Tmem134
1421087_at	-1.51	0.02542834	down	Per3
1416020_a_at	-1.27	0.02625863	down	Atp5g1
1437210_a_at	-1.35	0.02625863	down	Brd2
1452184_at	-1.12	0.02625863	down	Ndufb9
1418908_at	-1.70	0.02625863	down	Pam
1421595_at	-1.86	0.0262769	down	Fam184b
1423298_at	-1.21	0.02657947	down	Add3
1423090_x_at	-1.25	0.02659994	down	Sec61g
1424191_a_at	-1.20	0.02683797	down	Tmem41a
1416912_at	-1.12	0.02687757	down	Akirin1
1453189_at	-1.66	0.0276436	down	Ube2i
1448112_at	-1.14	0.0280366	down	Cox7c
1439300_at	-1.95	0.0286743	down	Chic1
1424056_at	-1.30	0.0286743	down	Usp48
1426558_x_at	-1.40	0.02882323	down	0610010B08Rik
1418535_at	-1.78	0.02932629	down	Rgl1
1450965_at	-1.24	0.02932629	down	Tex261
1435392_at	-1.35	0.0293983	down	Wdr17
1416277_a_at	-1.18	0.03003222	down	Rplp1
1454904_at	-2.69	0.03015381	down	Mtm1
1453399_at	-1.90	0.03059586	down	Ccnt2
1455905_at	-2.53	0.03131405	down	2610507B11Rik
1425382_a_at	-1.54	0.03131405	down	Aqp4
1429554_at	-1.20	0.03131405	down	Sdccag3
1438051_at	-1.74	0.03131405	down	Ttc14
1426399_at	-1.38	0.03131405	down	Vwa1
1439566_at	-2.23	0.03152628	down	Gprin3
1426432_a_at	-1.58	0.03152628	down	Slc4a4
1455032_at	-1.40	0.03274688	down	Ccnyl1
1428428_at	-1.25	0.03287533	down	Abhd11
1425326_at	-1.33	0.03287533	down	Acly
1416563_at	-1.28	0.03287533	down	Ctps
1450401_at	-1.42	0.03287533	down	Tgs1
1435814_at	-1.29	0.03287533	down	Xpo7
1422945_a_at	-1.70	0.03320495	down	Kif5c
1452856_at	-1.21	0.03419333	down	Crebzf
1423594_a_at	-1.72	0.03419333	down	Ednrb
1428667_at	-1.42	0.03419333	down	Maoa
1429071_at	-1.24	0.03419333	down	Me3
1423737_at	-1.14	0.03419333	down	Ndufs3
1424902_at	-1.92	0.03419333	down	Plxdc1
1423999_at	-1.18	0.03450852	down	Abl1
1451159_at	-1.32	0.03450852	down	Arhgef12
1424097_at	-2.02	0.03450852	down	Elovl7
1418414_at	-2.07	0.03450852	down	Kcnh1
1423304_a_at	-1.19	0.03450852	down	Rnf111
1452584_at	-1.21	0.03601073	down	1500032L24Rik
1417233_at	-1.25	0.03601073	down	Chchd4
1450771_at	-1.59	0.03601073	down	Fut9
1434679_at	-1.37	0.03601073	down	Ncan
1447623_s_at	-1.49	0.03601073	down	Prkd1
1424175_at	-1.26	0.03601073	down	Tef
1455854_a_at	-2.05	0.0364415	down	Ssh1
1425516_at	-1.32	0.03647696	down	Ogt
1434618_at	-1.25	0.03657436	down	Crebzf
1433671_at	-1.44	0.03673785	down	A130022J15Rik
1426756_at	-1.52	0.03673785	down	Galnt2
1423667_at	-1.23	0.03673785	down	Mat2a
1425517_s_at	-1.35	0.03673785	down	Ogt
1421375_a_at	-1.69	0.03673785	down	S100a6
1459897_a_at	-2.13	0.03673785	down	Sbsn
1457262_at	-2.34	0.03818566	down	Smg1
1434052_at	-1.18	0.03855134	down	AI593442
1448368_at	-1.20	0.03855134	down	Dctn6
1422842_at	-1.42	0.03855134	down	Xrn2
1455676_x_at	-1.29	0.03891331	down	Tial1
1433588_at	-1.17	0.03955974	down	D6Wsu116e
1451745_a_at	-1.19	0.03955974	down	Znhit1
1424468_s_at	-1.27	0.03972951	down	Phldb1
1429321_at	-1.42	0.03972951	down	Rnf149
1436874_x_at	-1.11	0.03972951	down	Slc25a5
1451398_at	-1.24	0.04095817	down	Cbr4
1423057_at	-1.17	0.04107451	down	Capza2
1430138_at	-1.24	0.04107451	down	Cd3eap
1452814_at	-1.64	0.04107451	down	Cpne3
1418633_at	-1.39	0.04107451	down	Notch1
1436401_at	-1.24	0.04130736	down	Ankdd1b
1437050_s_at	-1.22	0.04137966	down	Angel2
1436424_at	-1.28	0.04179213	down	1600020E01Rik
1417247_at	-1.23	0.04179213	down	AI597479
1428781_at	-2.84	0.04179213	down	Dmkn
1416530_a_at	-1.30	0.04179213	down	Pnp1
1448360_s_at	-1.27	0.04206291	down	Angel2
1416837_at	-1.20	0.04206291	down	Bax
1452279_at	-1.43	0.04206291	down	Cfp
1452722_a_at	-1.51	0.04206291	down	Cul5
1450928_at	-1.26	0.04206291	down	LOC100045546
1434183_at	-1.22	0.04206291	down	Samd1
1447977_x_at	-1.52	0.04290579	down	3100002L24Rik
1417206_at	-1.32	0.04290579	down	Urod
1433815_at	-2.24	0.04375282	down	Jakmip1
1416000_a_at	-1.14	0.04375282	down	Prdx1
1422094_a_at	-1.39	0.04396625	down	Zfp329
1426991_at	-1.29	0.04398057	down	1810048J11Rik
1425323_a_at	-1.18	0.04398057	down	Fam173a
1416981_at	-1.70	0.04398057	down	Foxo1
1457045_at	-1.42	0.04398057	down	Galnt13
1428630_x_at	-1.31	0.04398057	down	Haghl
1425466_at	-1.22	0.04544916	down	Senp2
1424353_at	-1.16	0.04547402	down	Lrpprc
1449942_a_at	-1.10	0.04570184	down	Ilk
1417001_a_at	-1.26	0.04588808	down	D4Wsu53e
1456863_at	-1.48	0.04588808	down	Epha4
1424324_at	-1.24	0.04588808	down	Esco1
1422556_at	-1.47	0.04588808	down	Gna13
1428365_a_at	-1.24	0.04588808	down	Lonp1
1438672_at	-1.39	0.04588808	down	Parvb
1450035_a_at	-1.40	0.04588808	down	Prpf40a
1424120_at	-1.23	0.04593834	down	Rnf8
1457040_at	-1.49	0.0470492	down	Lgi2
1436567_a_at	-1.24	0.0470492	down	Ndufa7
1421081_a_at	-1.25	0.04787105	down	Banf1
1424802_a_at	-1.16	0.04792559	down	3300001P08Rik
1416022_at	-1.25	0.04792559	down	Fabp5
1416304_at	-1.59	0.04792559	down	Litaf
1423394_at	-1.16	0.04792559	down	Pcyox1
1429735_at	-1.49	0.04792559	down	Qk
1452734_at	-1.25	0.04792559	down	Rnaset2a
1455353_at	-1.32	0.04792559	down	Tmcc1
1423649_at	-1.50	0.04792559	down	Tmem68
1436783_x_at	-1.33	0.04792559	down	Ywhab
1451182_s_at	-1.32	0.04874093	down	Ankrd54
1423259_at	-1.31	0.04874093	down	Id4
1417379_at	-1.68	0.04874093	down	Iqgap1
1448635_at	-1.51	0.04874093	down	Smc2
1436038_a_at	-1.19	0.04884797	down	Pigp
1460350_at	-1.15	0.04886282	down	Osbp
1427874_at	-1.21	0.04916642	down	Rnf114
1423255_at	-1.30	0.0494427	down	Atp6v1g1
1456003_a_at	-1.28	0.0494427	down	Slc1a4
1434700_at	-1.72	0.04986667	down	G2e3
1452135_at	3.49	0.000696726	up	Gpx6
1424482_at	1.29	0.001692988	up	Arhgef7
1455755_at	1.38	0.001692988	up	Gm88
1437726_x_at	1.59	0.006687623	up	C1qb
1452240_at	1.14	0.008872376	up	Brunol4
1448927_at	1.32	0.008872376	up	Kcnn2
1420880_a_at	1.12	0.008872376	up	Ywhab
1439610_at	1.62	0.009612562	up	Rab27b
1436919_at	1.57	0.01044384	up	Trp53i11
1415889_a_at	1.24	0.0117296	up	Hsp90b1
1439389_s_at	1.28	0.01221028	up	Myadm
1455468_at	1.38	0.01530358	up	Dpy19l3
1417534_at	1.26	0.01530358	up	Itgb5
1452829_at	1.39	0.01594559	up	Cad
1455917_at	2.07	0.01594559	up	Ntrk3
1426975_at	1.51	0.01594559	up	Os9
1429938_at	1.21	0.01610984	up	A930009E05Rik
1428288_at	1.19	0.01630798	up	Klf9
1419250_a_at	1.47	0.01678045	up	Pftk1
1427980_at	1.41	0.01680764	up	4933407C03Rik
1433986_at	1.13	0.01680764	up	BC024659
1456257_at	1.29	0.01680764	up	Fam126b
1438902_a_at	1.12	0.01680764	up	Hsp90aa1
1417409_at	1.43	0.01680764	up	Jun
1417923_at	1.48	0.01680764	up	Pak3
1427652_x_at	1.33	0.01680764	up	Synj2
1421037_at	2.37	0.01729498	up	Npas2
1450351_a_at	1.28	0.01741792	up	Clip1
1460720_at	1.15	0.01741792	up	Trpc4ap
1426288_at	1.42	0.01893387	up	Lrp4
1449445_x_at	1.15	0.01996036	up	Mfap1a
1418611_at	1.37	0.02005652	up	Gpr162
1450693_at	1.40	0.02005652	up	Rgs17
1440181_at	1.43	0.02061571	up	Gm1568
1428289_at	1.33	0.02061571	up	Klf9
1419672_at	1.51	0.02130732	up	Spock1
1439241_x_at	2.14	0.02140583	up	Srd5a3
1460625_at	1.52	0.02497334	up	Gm1568
1435970_at	1.22	0.02683797	up	Nlk
1451793_at	1.47	0.02687757	up	Klhl24
1440210_at	1.28	0.0276436	up	Cacng2
1439333_at	1.64	0.02931798	up	Kcnv1
1452045_at	1.25	0.03059586	up	Zfp281
1417063_at	2.00	0.03131405	up	C1qb
1434366_x_at	1.44	0.03152628	up	C1qb
1430425_at	1.30	0.03152628	up	Sdk2
1426614_at	1.29	0.0325371	up	Zmynd8
1453304_s_at	1.37	0.03262934	up	Ly6e
1422455_s_at	1.31	0.03287533	up	Nsf
1425830_a_at	1.23	0.03354411	up	Cinp
1435917_at	1.28	0.03419333	up	Ociad2
1437671_x_at	1.58	0.03419333	up	Prss23
1457936_at	2.43	0.03426419	up	Mapk8
1417381_at	1.36	0.03450852	up	C1qa
1449401_at	2.06	0.03450852	up	C1qc
1455599_at	1.24	0.03450852	up	Gfod1
1435805_at	1.16	0.03450852	up	Lin7a
1442284_at	1.16	0.03450852	up	Sart1
1452825_at	1.62	0.03450852	up	Tmem59l
1418942_at	1.28	0.03601073	up	Ift74
1419732_at	1.70	0.03628358	up	Rtn4r
1436159_at	1.13	0.03673785	up	Usp32
1433950_at	1.30	0.03683774	up	Igsf21
1418586_at	1.35	0.03818566	up	Adcy9
1425991_a_at	1.41	0.03820634	up	Kank2
1427886_at	1.16	0.03972951	up	Pom121
1416754_at	1.73	0.03972951	up	Prkar1b
1441927_at	1.26	0.03972951	up	Syt7
1448339_at	1.15	0.03972951	up	Tmem30a
1424638_at	1.52	0.03998912	up	Cdkn1a
1455140_at	1.25	0.04023553	up	Pitpnm3
1421383_at	1.25	0.04051409	up	Ccdc82
1437478_s_at	1.66	0.04107451	up	Efhd2
1424986_s_at	1.30	0.04107451	up	Fbxw7
1416845_at	1.30	0.04107451	up	Tmem132a
1425987_a_at	1.30	0.04179213	up	Kcnma1
1423149_at	1.27	0.04179213	up	Skp1a
1421882_a_at	1.45	0.04206291	up	Elavl2
1426885_a_at	1.21	0.04230693	up	Cdk2ap1
1429541_at	1.25	0.04242367	up	Zfp777
1434035_at	2.06	0.04268478	up	Dnajb6
1428625_a_at	1.24	0.04396625	up	Rmi1
1437560_at	1.25	0.04398057	up	Ntrk2
1427888_a_at	1.15	0.04398057	up	Spna2
1441327_a_at	1.24	0.04398057	up	Ssr1
1448190_at	1.24	0.04429626	up	Mrpl33
1426895_at	1.21	0.04429626	up	Zfp191
1438201_at	1.31	0.04544916	up	Pdp1
1424276_at	1.27	0.04544916	up	Snx16
1429712_at	1.31	0.04570184	up	Gm14288
1417840_at	1.28	0.04588808	up	1500031L02Rik
1426738_at	1.40	0.04588808	up	Dgkz
1420841_at	2.63	0.04624741	up	Ptprf
1452909_at	1.50	0.04704576	up	Klhdc10
1424896_at	1.24	0.04733451	up	Gpr85
1460329_at	1.22	0.04787105	up	B4galt6
1436116_x_at	1.25	0.04792559	up	Appl1
1436838_x_at	1.33	0.04792559	up	Cotl1
1416858_a_at	1.22	0.04792559	up	Fkbp3
1447924_at	1.41	0.04792559	up	Nucks1
1419874_x_at	1.92	0.04792559	up	Zbtb16
1458469_at	1.12	0.04829991	up	Cblb
1452169_a_at	1.31	0.04874093	up	Dgkz
1435291_at	1.20	0.04874093	up	Lemd3
1424672_at	1.18	0.04874493	up	Dmxl1
1455796_x_at	1.46	0.0494427	up	Olfm1
