Dataset	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT	TOTAL_SCORE
GSE10908	GSM276564.CEL	GSM276564	ADAM10_APP,female,rep2	0.996	0.03	0	0.242	0.986	0	0.843139206896943	0.851791482505327	-0.300615079470601	-0.225064611257647	0.637861189854695	76.5565370583246	52.1318817764573	3.06	2.1e-12	No	0	0	0	0	0
GSE10908	GSM276565.CEL	GSM276565	ADAM10_APP,female,rep3	0.995	0.029	-0.007	0.194	0.987	0	0.642529580399563	0.596326313390801	-0.415023846303415	-0.311710457944644	0.668521459184832	93.5100485784165	51.6108290281812	2.81	9.91e-12	No	0	0	0	0	0
GSE10908	GSM276566.CEL	GSM276566	ADAM10_APP,rep1	1	0.033	0	0.234	0.985	0	0.683608280526157	0.689271185018649	-0.334572171391409	-0.253145292899214	0.751040726659166	90.841153204716	50.3004367974103	2.88	4.03e-12	No	0	0	0	0	0
GSE10908	GSM276567.CEL	GSM276567	ADAM10_APP,male,rep2	1	0.037	-0.002	0.23	0.986	0	0.675357780530874	0.665353048519631	-0.441507261238685	-0.329777891888689	0.760486284353435	94.7627519480645	51.7327775437352	2.98	1.59e-12	No	0	0	0	0	0
GSE10908	GSM276568.CEL	GSM276568	ADAM10_APP,male,rep3	0.995	0.029	-0.004	0.23	0.986	0	0.717300023838234	0.778992852087663	-0.367517055507088	-0.259632136676865	0.735487113398289	77.1335936908532	52.386865036252	2.73	7.23e-12	No	0	0	0	0	0
GSE10908	GSM276569.CEL	GSM276569	dnADAM10_APP,female,rep1	0.99	0.026	-0.012	0.24	0.986	0	0.647408004111254	0.652111517123801	-0.448121895114044	-0.330742904271943	0.683746676754717	71.2815111839261	54.5797210704862	2.66	1.32e-11	No	0	0	0	0	0
GSE10908	GSM276570.CEL	GSM276570	dnADAM10_APP,female,rep2	0.998	0.031	0	0.226	0.987	0	0.792616363112348	0.830478453092622	-0.364868914419009	-0.277604638699263	0.830068265663657	73.130760293992	52.4112547393628	2.89	2.12e-11	No	0	0	0	0	0
GSE10908	GSM276571.CEL	GSM276571	dnADAM10_APP,female,rep3	0.993	0.029	-0.009	0.262	0.985	0	0.710342080501652	0.720500079596702	-0.434203034956155	-0.278983586695642	0.638851699800146	71.3976888877976	55.0608633954901	2.88	3.11e-12	No	0	0	0	0	0
GSE10908	GSM276572.CEL	GSM276572	dnADAM10_APP,male,rep1	1.002	0.035	-0.007	0.271	0.984	0	0.769140680224515	0.731678423255847	-0.405057004766713	-0.285984084764436	0.86723856726683	73.2353342073014	52.9833041395978	3.17	4.22e-12	No	0	0	0	0	0
GSE10908	GSM276573.CEL	GSM276573	dnADAM10_APP,male,rep2	0.998	0.033	-0.005	0.234	0.986	0	0.733173407874739	0.76567871085806	-0.384734838102256	-0.274480704572817	0.70615776716493	87.9318953636712	52.4068202478881	2.53	2.15e-10	No	0	0	0	0	0
GSE10908	GSM276574.CEL	GSM276574	dnADAM10_APP,male,rep3	0.995	0.028	-0.027	0.264	0.984	0	0.720537718152892	0.753545896863951	-0.39467865631012	-0.217569300815153	0.772979562118292	67.3309304808249	55.7127336422696	2.98	8.85e-12	No	0	0	0	0	0
GSE10908	GSM276575.CEL	GSM276575	APP,female,rep1	0.994	0.025	0	0.204	0.986	0	0.66965795499358	0.674468286500881	-0.35362496607374	-0.258077724701369	0.608745232158552	78.4872399358306	50.7283652247179	2.4	3.74e-09	No	0	0	0	0	0
GSE10908	GSM276576.CEL	GSM276576	APP,female,rep2	0.992	0.024	0	0.192	0.986	0	0.659595456435255	0.623073524489692	-0.420415298713097	-0.299540192339089	0.705174198789584	74.2476705505507	50.8702689519079	2.93	4.63e-12	No	0	0	0	0	0
GSE10908	GSM276577.CEL	GSM276577	APP,female,rep3	1.021	0.046	0.002	0.266	0.984	0	0.572570697246702	0.559771294769668	-0.357221435963483	-0.204754828725598	0.892296459428271	81.879281485015	49.6020043901466	2.48	6.91e-10	No	0	0	0	0	0
GSE10908	GSM276578.CEL	GSM276578	APP,male,rep1	1.014	0.044	0	0.261	0.983	0	0.604345138022961	0.591687375688883	-0.396895619592625	-0.349991383694402	0.749480020971917	65.8025824289008	47.9568080530365	2.42	4.74e-10	No	0	0	0	0	0
GSE10908	GSM276579.CEL	GSM276579	APP,male,rep2	0.999	0.029	0	0.219	0.985	0	0.680956267372203	0.741692343860935	-0.376214590899201	-0.209348530596765	0.838621618080816	70.1317665959714	51.5531806390102	2.69	3.67e-11	No	0	0	0	0	0
GSE10908	GSM276580.CEL	GSM276580	APP,male,rep3	0.991	0.025	-0.008	0.227	0.986	0	0.66699518731469	0.638711068352723	-0.379918143483767	-0.251909277199797	0.664440789670276	63.6335305379957	53.2626771025033	3.06	7.52e-12	No	0	0	0	0	0
