Dataset	TOTAL_SCORE	File	ExternalID	Sample	QA_NUSE	QA_IQR_NUSE	QA_RLE	QA_IQR_RLE	QA_sample_corr	QA_score	actin3/actin5	actin3/actinM	gapdh3/gapdh5	gapdh3/gapdhM	scale	background	present	RNA_degradation_slope	RNA_degradation_p_value	RNA_deg_outlier	RATIO	SCALE	BACKGROUND	PRESENT
GSE13691.1	1	GSM344266.CEL	GSM344266	CA3_wt_321A	0.998	0.025	-0.014	0.244	0.976	0	5.3113041892	3.0043242688	3.905376833	0.9209444644	0.6549478821	65.2431150008	47.0339356545	5.01	4.62e-11	No	1	0	0	0
GSE13691.2	1	GSM344276.CEL	GSM344276	CA3_Ubb+1tg_270B	1.007	0.036	0.03	0.202	0.97	0	6.8933837481	3.6517718225	7.0750814293	4.6725806911	2.1369471382	67.1492556252	24.380952381	3.12	3.39e-09	No	1	0	0	0
GSE13691.2	1	GSM344279.CEL	GSM344279	CA3_Ubb+1tg_273B	0.998	0.025	0.013	0.177	0.977	0	4.8283029302	2.426218566	4.4460226173	1.0823109979	2.4910129751	59.5281781246	25.1650055371	2.41	1.37e-08	No	1	0	0	0
GSE13691.2	1	GSM344280.CEL	GSM344280	CA3_Ubb+1tg_274B	0.988	0.021	-0.02	0.159	0.977	0	5.0195202616	2.4109549173	3.8093898418	0.6713093428	1.4051979629	72.4197948864	27.619047619	2.57	8.93e-08	No	1	0	0	0
GSE13691.2	1	GSM344282.CEL	GSM344282	CA3_Ubb+1tg_276B	0.994	0.023	-0.023	0.183	0.975	0	4.8479530602	2.2447944984	3.6125096113	0.7206634944	1.9139827607	68.2900622881	26.4983388704	2.39	4.02e-07	No	1	0	0	0
GSE13691.2	1	GSM344283.CEL	GSM344283	CA3_Ubb+1tg_277B	0.991	0.022	-0.04	0.195	0.972	0	5.1846784445	2.4142994212	3.5062307867	0.6241124778	1.2977153167	78.8547723605	28.5492801772	2.5	2.86e-07	No	1	0	0	0
GSE13691.2	1	GSM344288.CEL	GSM344288	CA3_wt_289B	1.005	0.031	0.008	0.197	0.974	0	7.7357162203	3.559781607	8.18625002	5.0308280205	3.2810961418	63.4724644689	23.592469546	3.12	1.01e-08	No	1	0	0	0
GSE13691.2	1	GSM344290.CEL	GSM344290	CA3_wt_291B	0.991	0.021	-0.001	0.163	0.977	0	5.1160755012	2.4859943931	3.5202631147	0.8346170228	1.7774416271	67.3761991464	26.7906976744	2.47	7.14e-08	No	1	0	0	0
GSE13691.2	1	GSM344292.CEL	GSM344292	CA3_wt_321B	0.997	0.024	0.001	0.173	0.976	0	4.7739728707	2.8624221946	3.8119489757	0.7956996798	2.0886755031	72.0832193062	25.1162790698	2.4	1.07e-07	No	1	0	0	0
GSE13691.2	1	GSM344293.CEL	GSM344293	CA3_wt_331B	0.996	0.024	0.005	0.175	0.973	0	5.2158437062	2.6269915369	3.3862620617	0.6584430701	2.0275103817	64.7119938026	24.7397563677	2.44	5.27e-08	No	1	0	0	0
GSE52022	1	GSM1257653_4-2327_Mouse430_2_.CEL	GSM1257653	4mon_WT_rep1	0.999	0.028	0	0.203	0.989	0	3.0135990916	1.7351217273	1.7466609307	1.4929456571	4.3682873595	39.6229865183	42.8615773486	6.72	1.03e-14	Yes	1	0	0	0
GSE10908	0	GSM276554.CEL	GSM276554	ADAM10,rep1	1.006	0.039	0.027	0.34	0.978	0	1.1978595	0.8934618064	-0.0405422796	0.0118130094	0.1948696023	72.3825507727	54.2582204386	3.1	1.89e-07	No	0	0	0	0
GSE10908	0	GSM276556.CEL	GSM276556	ADAM10,rep3	1.004	0.036	0.02	0.306	0.98	0	1.3598436364	1.0465332772	-0.1057265966	-0.0702926945	0.2228374958	79.302877829	53.1961597304	3.13	5.19e-08	No	0	0	0	0
GSE10908	0	GSM276557.CEL	GSM276557	dnADAM10,rep1	1.004	0.037	0.004	0.31	0.98	0	1.1236830076	0.9189510207	-0.173273871	-0.0921547123	0.2314160592	83.5257297368	55.0719496242	3.58	2.15e-09	No	0	0	0	0
GSE10908	0	GSM276558.CEL	GSM276558	dnADAM10,rep2	1	0.034	0.013	0.285	0.982	0	1.2984691841	1.0707854826	-0.2308553022	-0.1560283942	0.2101129017	65.7476224244	55.4045364848	3.36	1.36e-08	No	0	0	0	0
GSE10908	0	GSM276559.CEL	GSM276559	dnADAM10,rep3	1.002	0.035	0.021	0.299	0.981	0	1.5443108016	1.1954140595	-0.0146794819	0.064443285	0.3190689512	70.8168195763	54.0364958648	3.35	5.33e-09	No	0	0	0	0
GSE10908	0	GSM276560.CEL	GSM276560	FVB_N,rep1	1.004	0.037	0.035	0.327	0.978	0	1.626330161	1.4638844429	-0.2118818102	-0.1604518902	0.2536643191	82.705160999	53.0232145629	3.27	2.13e-08	No	0	0	0	0
GSE10908	0	GSM276561.CEL	GSM276561	FVB_N,rep2	1.004	0.036	0.006	0.29	0.981	0	1.2610812295	0.9827536964	-0.2574224478	-0.1698299353	0.2190957367	76.8515293012	54.7903594155	3.4	5.37e-09	No	0	0	0	0
GSE10908	0	GSM276562.CEL	GSM276562	FVB_N,rep3	1.007	0.037	0.018	0.327	0.978	0	1.4486576471	1.1821408546	-0.1660826912	-0.1473346147	0.2420722546	78.0851105007	53.1606837986	3.34	4.79e-09	No	0	0	0	0
GSE10908	0	GSM276563.CEL	GSM276563	ADAM10_APP,female,rep1	1.005	0.034	0	0.218	0.986	0	0.9915539443	1.0086832529	-0.255108061	-0.181895235	0.8637358261	72.5918394879	49.9567637081	2.96	1.72e-11	No	0	0	0	0
GSE10908	0	GSM276564.CEL	GSM276564	ADAM10_APP,female,rep2	0.996	0.03	0	0.242	0.986	0	0.8431392069	0.8517914825	-0.3006150795	-0.2250646113	0.6378611899	76.5565370583	52.1318817765	3.06	2.1e-12	No	0	0	0	0
GSE10908	0	GSM276565.CEL	GSM276565	ADAM10_APP,female,rep3	0.995	0.029	-0.007	0.194	0.987	0	0.6425295804	0.5963263134	-0.4150238463	-0.3117104579	0.6685214592	93.5100485784	51.6108290282	2.81	9.91e-12	No	0	0	0	0
GSE10908	0	GSM276566.CEL	GSM276566	ADAM10_APP,rep1	1	0.033	0	0.234	0.985	0	0.6836082805	0.689271185	-0.3345721714	-0.2531452929	0.7510407267	90.8411532047	50.3004367974	2.88	4.03e-12	No	0	0	0	0
GSE10908	0	GSM276567.CEL	GSM276567	ADAM10_APP,male,rep2	1	0.037	-0.002	0.23	0.986	0	0.6753577805	0.6653530485	-0.4415072612	-0.3297778919	0.7604862844	94.7627519481	51.7327775437	2.98	1.59e-12	No	0	0	0	0
GSE10908	0	GSM276568.CEL	GSM276568	ADAM10_APP,male,rep3	0.995	0.029	-0.004	0.23	0.986	0	0.7173000238	0.7789928521	-0.3675170555	-0.2596321367	0.7354871134	77.1335936909	52.3868650363	2.73	7.23e-12	No	0	0	0	0
GSE10908	0	GSM276569.CEL	GSM276569	dnADAM10_APP,female,rep1	0.99	0.026	-0.012	0.24	0.986	0	0.6474080041	0.6521115171	-0.4481218951	-0.3307429043	0.6837466768	71.2815111839	54.5797210705	2.66	1.32e-11	No	0	0	0	0
GSE10908	0	GSM276570.CEL	GSM276570	dnADAM10_APP,female,rep2	0.998	0.031	0	0.226	0.987	0	0.7926163631	0.8304784531	-0.3648689144	-0.2776046387	0.8300682657	73.130760294	52.4112547394	2.89	2.12e-11	No	0	0	0	0
GSE10908	0	GSM276571.CEL	GSM276571	dnADAM10_APP,female,rep3	0.993	0.029	-0.009	0.262	0.985	0	0.7103420805	0.7205000796	-0.434203035	-0.2789835867	0.6388516998	71.3976888878	55.0608633955	2.88	3.11e-12	No	0	0	0	0
GSE10908	0	GSM276572.CEL	GSM276572	dnADAM10_APP,male,rep1	1.002	0.035	-0.007	0.271	0.984	0	0.7691406802	0.7316784233	-0.4050570048	-0.2859840848	0.8672385673	73.2353342073	52.9833041396	3.17	4.22e-12	No	0	0	0	0
GSE10908	0	GSM276573.CEL	GSM276573	dnADAM10_APP,male,rep2	0.998	0.033	-0.005	0.234	0.986	0	0.7331734079	0.7656787109	-0.3847348381	-0.2744807046	0.7061577672	87.9318953637	52.4068202479	2.53	2.15e-10	No	0	0	0	0
GSE10908	0	GSM276574.CEL	GSM276574	dnADAM10_APP,male,rep3	0.995	0.028	-0.027	0.264	0.984	0	0.7205377182	0.7535458969	-0.3946786563	-0.2175693008	0.7729795621	67.3309304808	55.7127336423	2.98	8.85e-12	No	0	0	0	0
GSE10908	0	GSM276575.CEL	GSM276575	APP,female,rep1	0.994	0.025	0	0.204	0.986	0	0.669657955	0.6744682865	-0.3536249661	-0.2580777247	0.6087452322	78.4872399358	50.7283652247	2.4	3.74e-09	No	0	0	0	0
GSE10908	0	GSM276576.CEL	GSM276576	APP,female,rep2	0.992	0.024	0	0.192	0.986	0	0.6595954564	0.6230735245	-0.4204152987	-0.2995401923	0.7051741988	74.2476705506	50.8702689519	2.93	4.63e-12	No	0	0	0	0
GSE10908	0	GSM276577.CEL	GSM276577	APP,female,rep3	1.021	0.046	0.002	0.266	0.984	0	0.5725706972	0.5597712948	-0.357221436	-0.2047548287	0.8922964594	81.879281485	49.6020043901	2.48	6.91e-10	No	0	0	0	0
GSE10908	0	GSM276578.CEL	GSM276578	APP,male,rep1	1.014	0.044	0	0.261	0.983	0	0.604345138	0.5916873757	-0.3968956196	-0.3499913837	0.749480021	65.8025824289	47.956808053	2.42	4.74e-10	No	0	0	0	0
GSE10908	0	GSM276579.CEL	GSM276579	APP,male,rep2	0.999	0.029	0	0.219	0.985	0	0.6809562674	0.7416923439	-0.3762145909	-0.2093485306	0.8386216181	70.131766596	51.553180639	2.69	3.67e-11	No	0	0	0	0
GSE10908	0	GSM276580.CEL	GSM276580	APP,male,rep3	0.991	0.025	-0.008	0.227	0.986	0	0.6669951873	0.6387110684	-0.3799181435	-0.2519092772	0.6644407897	63.633530538	53.2626771025	3.06	7.52e-12	No	0	0	0	0
GSE13691.1	0	GSM344256.CEL	GSM344256	CA3_wt_287A	1.004	0.033	0	0.325	0.966	0	2.7923439999	1.9568525637	2.1134961665	0.4556544947	0.6849648193	60.550486605	44.2265315117	4.16	1.05e-10	No	0	0	0	0
GSE13691.1	0	GSM344261.CEL	GSM344261	CA3_wt_290A	0.994	0.023	-0.03	0.263	0.972	0	2.8757519961	2.030099639	1.8959058208	0.5408911714	0.5159998822	63.6491208912	47.6862053768	4.32	1.91e-11	No	0	0	0	0
GSE13691.2	0	GSM344287.CEL	GSM344287	CA3_wt_287B	1.058	0.065	0.014	0.352	0.963	1	2.7752288838	2.0682894001	2.2836892312	0.6195349658	2.9137019507	85.2111228743	20.992248062	1.97	2.65e-07	No	0	0	0	0
GSE13691.2	0	GSM344289.CEL	GSM344289	CA3_wt_290B	0.998	0.024	0.012	0.19	0.974	0	2.827753165	1.757310178	1.9805344647	0.5714874757	2.6782068122	65.6874779504	23.7873754153	2.27	6.47e-09	No	0	0	0	0
GSE14499	0	GSM362115.CEL	GSM362115	Entorhinalcortex,APP,BDNF,rep1	1.029	0.05	-0.008	0.282	0.986	0	2.0528253794	1.3757795375	0.7417113375	0.2598689831	1.0957485777	41.6699864451	51.8724640252	5.11	1.7e-12	No	0	0	0	0
GSE14499	0	GSM362116.CEL	GSM362116	Entorhinalcortex,APP,BDNF,rep2	1.02	0.043	-0.003	0.254	0.988	0	2.4349221105	1.5920146897	0.5024547347	0.1312865667	0.8714238449	43.156415644	51.8924192368	4.83	1.85e-12	No	0	0	0	0
GSE14499	0	GSM362117.CEL	GSM362117	Entorhinalcortex,APP,BDNF,rep3	1.114	0.096	0.047	0.341	0.985	2	2.0143342499	1.3176403375	0.9564517954	0.2725557047	1.1307698661	36.7113255386	49.0077825325	4.51	1.33e-12	No	0	0	0	0
GSE14499	0	GSM362118.CEL	GSM362118	Entorhinalcortex,GFPtreated,rep1	1.012	0.038	-0.01	0.239	0.987	0	2.0415817185	1.2965496208	0.4472069996	0.1614768264	0.8530763304	45.8821096324	51.1474246691	4.87	8.07e-13	No	0	0	0	0
GSE14499	0	GSM362119.CEL	GSM362119	Entorhinalcortex,APP,GFP,rep1	1.007	0.035	-0.002	0.236	0.988	0	2.2648342111	1.3321240865	0.7993223196	0.2514947136	0.852569637	40.4017687664	51.3580630141	5.13	3.57e-13	No	0	0	0	0
GSE14499	0	GSM362120.CEL	GSM362120	Entorhinalcortex,GFPtreated,rep2	1.003	0.033	0.004	0.237	0.988	0	2.2580023639	1.5527604585	0.6186209098	0.2950231314	0.8288432932	46.1852950825	50.3026540431	4.73	6.62e-13	No	0	0	0	0
GSE14499	0	GSM362121.CEL	GSM362121	Entorhinalcortex,sham,rep1	1.012	0.037	0	0.236	0.989	0	2.3032231241	1.5623776326	0.4938874725	0.1637626384	0.9874927288	40.1223831704	51.37580098	4.79	2.07e-12	No	0	0	0	0
GSE14499	0	GSM362122.CEL	GSM362122	Entorhinalcortex,shamlesion,rep2	1.007	0.034	0	0.253	0.988	0	2.3522744998	1.6039091668	0.4284463527	0.1672630114	0.8177136207	44.5507033734	52.3957340192	4.93	9.55e-14	No	0	0	0	0
GSE14499	0	GSM362123.CEL	GSM362123	Entorhinalcortex,sham,rep3	0.998	0.028	0.001	0.207	0.989	0	2.1486823522	1.421206196	0.3947099598	0.1023732251	0.7200248736	42.7809077007	51.9212434314	4.69	1.01e-12	No	0	0	0	0
GSE14499	0	GSM362124.CEL	GSM362124	Entorhinalcortex,APP,GFP,rep2	1.002	0.034	-0.005	0.216	0.989	0	2.099398748	1.4455995118	0.3382078825	0.1041393578	0.7710873307	46.2066880117	51.3713664885	4.77	2.43e-12	No	0	0	0	0
GSE14499	0	GSM362125.CEL	GSM362125	Entorhinalcortex,APP,BDNF,rep4	1.005	0.035	-0.006	0.235	0.989	0	2.1313310105	1.4466975993	0.2976399607	0.085903342	0.7443246805	49.7586253852	50.9811312388	4.83	2.94e-13	No	0	0	0	0
GSE14499	0	GSM362126.CEL	GSM362126	Entorhinalcortex,APP,GFP,rep3	1.006	0.034	-0.002	0.216	0.989	0	2.2915957384	1.5874548489	0.4991635298	0.1434181614	0.8366385426	41.0366141524	51.6219152569	4.8	8.36e-13	No	0	0	0	0
GSE14499	0	GSM362127.CEL	GSM362127	Entorhinalcortex,APP,GFP,rep4	1.02	0.044	-0.006	0.242	0.986	0	2.1435664787	1.4351781966	0.7310613246	0.2756434379	0.9785340294	40.1467433377	51.3447595397	4.74	3.21e-12	No	0	0	0	0
GSE14499	0	GSM362128.CEL	GSM362128	Hippocampus,APP,GFP,rep1	0.993	0.025	-0.004	0.259	0.987	0	1.3210702606	0.7708739426	-0.012262779	-0.1961061752	0.397571665	42.0108374785	55.6085230926	4.74	2.34e-12	No	0	0	0	0
GSE14499	0	GSM362129.CEL	GSM362129	Hippocampus,GFP,rep1	0.985	0.021	-0.017	0.202	0.989	0	1.1390632892	0.6804454803	-0.0527149613	-0.1263416511	0.4171182283	42.5183968016	56.7836633334	4.11	8.86e-11	No	0	0	0	0
GSE14499	0	GSM362130.CEL	GSM362130	Hippocampus,sham,rep1	0.999	0.029	0.004	0.226	0.987	0	1.3037484285	0.8545558953	-0.0505117119	-0.0692173209	0.5697076991	47.1581635167	54.4444690805	3.98	5.5e-10	No	0	0	0	0
GSE14499	0	GSM362131.CEL	GSM362131	Hippocampus,APP,GFP,rep2	0.988	0.022	-0.014	0.208	0.988	0	1.2436247471	0.8443950967	0.0901677942	-0.0369736561	0.439742783	43.7247253155	56.0209307998	4.2	5.97e-12	No	0	0	0	0
GSE14499	0	GSM362132.CEL	GSM362132	Hippocampus,GFP,rep2	0.994	0.027	-0.008	0.19	0.99	0	1.1906625371	0.8738184177	-0.0034600137	-0.1331102993	0.5074707525	41.9524567026	54.7992283985	4.1	1.32e-11	No	0	0	0	0
GSE14499	0	GSM362133.CEL	GSM362133	Hippocampus,APP,BDNF,rep1	0.986	0.021	0.006	0.183	0.99	0	1.1977807261	0.8496303084	-0.0945345021	-0.1274178371	0.4123905857	47.6290756186	54.6307177224	3.95	5.65e-11	No	0	0	0	0
GSE14499	0	GSM362134.CEL	GSM362134	Hippocampus,APP,GFP,rep3	0.989	0.024	0.005	0.237	0.987	0	1.2937917051	0.847491692	-0.0920226417	-0.1651334972	0.3971574175	46.2359604984	54.9056561939	3.51	2.65e-10	No	0	0	0	0
GSE14499	0	GSM362135.CEL	GSM362135	Hippocampus,APP,BDNF,rep2	0.99	0.024	0.007	0.192	0.99	0	1.0732088748	0.7847801146	-0.2012038548	-0.1713235644	0.3433738382	49.1169937311	55.2803707235	3.94	5.51e-11	No	0	0	0	0
GSE14499	0	GSM362136.CEL	GSM362136	Hippocampus,APP,GFP,rep4	0.994	0.025	0	0.218	0.989	0	1.2444770504	0.8649071569	-0.0944887893	-0.1335086787	0.4350140347	42.0635453092	56.2448726192	3.89	2.27e-10	No	0	0	0	0
GSE14499	0	GSM362137.CEL	GSM362137	Hippocampus,APP,BDNF,rep3	0.986	0.022	-0.003	0.186	0.99	0	1.1451443746	0.8173562003	-0.0871883214	-0.0641403385	0.4156131778	46.2313644724	55.7881199973	4.1	4.23e-11	No	0	0	0	0
GSE14499	0	GSM362138.CEL	GSM362138	Hippocampus,sham,rep2	0.998	0.031	0.009	0.206	0.989	0	1.1335544623	0.7114635602	-0.2040804969	-0.1574977927	0.4034817144	43.8756363741	55.4067537305	3.95	4.59e-10	No	0	0	0	0
GSE14499	0	GSM362139.CEL	GSM362139	Hippocampus,sham,rep3	1.002	0.034	0.011	0.217	0.989	0	1.3057285373	0.8911256567	-0.1542825214	-0.1962091514	0.4956588319	49.8208736628	53.9145473493	3.84	1.56e-09	No	0	0	0	0
GSE14499	0	GSM362140.CEL	GSM362140	Hippocampus,APP,BDNF,rep4	0.989	0.023	0.01	0.195	0.989	0	1.2337519321	0.8802897781	-0.1025114948	-0.1293576764	0.4178999089	54.4317220872	53.5309638367	4.12	2.06e-11	No	0	0	0	0
GSE25926	0	GSM636860.CEL	GSM636860	WT_R6_rep1	0.997	0.027	0	0.153	0.996	0	0.7537447716	0.7106554444	-0.4877462766	-0.2790327549	0.4337481977	41.4342463411	55.5907851267	3.16	7.4e-11	No	0	0	0	0
GSE25926	0	GSM636861.CEL	GSM636861	WT_R6_rep2	1	0.031	0	0.155	0.996	0	0.7592127036	0.7336120648	-0.4834690068	-0.2934854354	0.5028969152	41.4307545375	54.659541917	3.08	3.06e-10	No	0	0	0	0
GSE25926	0	GSM636862.CEL	GSM636862	WT_R6_rep3	0.999	0.028	0	0.157	0.996	0	0.7145253428	0.709108444	-0.5004059704	-0.2781103471	0.4634360323	41.2514315551	55.3313673754	3.21	7.34e-11	No	0	0	0	0
GSE25926	0	GSM636863.CEL	GSM636863	APP_R6_rep1	0.994	0.025	0	0.134	0.997	0	0.8686175993	0.7823236096	-0.413521249	-0.2153224391	0.4116977141	42.9346398803	56.6484113434	3.17	3.53e-10	No	0	0	0	0
GSE25926	0	GSM636864.CEL	GSM636864	APP_R6_rep2	0.998	0.028	0	0.149	0.997	0	0.6091084338	0.5682166054	-0.4192676183	-0.2589838865	0.4374995341	41.7459566783	57.3534954879	3.17	1.49e-10	No	0	0	0	0
GSE25926	0	GSM636865.CEL	GSM636865	APP_R6_rep3	1	0.03	0	0.127	0.997	0	0.6949275692	0.6582345449	-0.4875265624	-0.3531382533	0.541107083	39.0954150784	55.5841333895	3.05	3.42e-09	No	0	0	0	0
GSE25926	0	GSM636866.CEL	GSM636866	APPsa_R6_rep1	1.004	0.034	0	0.158	0.996	0	0.6286875476	0.5542311846	-0.5120128235	-0.2784268454	0.5091185726	42.3592286017	54.5464623844	3.16	2.14e-10	No	0	0	0	0
GSE25926	0	GSM636867.CEL	GSM636867	APPsa_R6_rep2	1.004	0.034	0.002	0.162	0.996	0	0.890164875	0.7703831231	-0.4140729122	-0.2545132539	0.5611981344	39.5590362468	55.4289261879	3.63	2.99e-11	No	0	0	0	0
GSE25926	0	GSM636868.CEL	GSM636868	APPsa_R6_rep3	1.005	0.034	0	0.154	0.996	0	0.9118057176	0.8732772893	-0.4766359059	-0.2986182872	0.5901516186	39.15997906	55.3358018669	3.51	1.48e-11	No	0	0	0	0
GSE25926	0	GSM636869.CEL	GSM636869	APLP2_R6_rep1	1	0.031	0	0.158	0.996	0	1.0190680436	0.9418019576	-0.4166879524	-0.2320804418	0.3932317668	45.7622670488	56.6528458349	3.49	4.07e-11	No	0	0	0	0
GSE25926	0	GSM636870.CEL	GSM636870	APLP2_R6_rep2	0.998	0.028	0	0.145	0.996	0	0.7817000198	0.7367906767	-0.482156153	-0.2996268928	0.4817395425	43.3292400835	56.466597193	3.33	4.24e-11	No	0	0	0	0
GSE25926	0	GSM636871.CEL	GSM636871	APLP2_R6_rep3	0.999	0.029	0	0.134	0.997	0	0.910560335	0.7867274323	-0.4050289546	-0.2698900957	0.4966645064	40.1405386658	55.714950888	3.27	5.29e-10	No	0	0	0	0
GSE25926	0	GSM636872.CEL	GSM636872	APLP2_R1_rep1	1	0.03	0	0.14	0.996	0	0.7260615167	0.6525262617	-0.4513094729	-0.3104390302	0.5148728203	41.340733342	55.4644021197	3.13	7.3e-10	No	0	0	0	0
GSE25926	0	GSM636873.CEL	GSM636873	APLP2_R1_rep2	1.005	0.035	-0.002	0.211	0.995	0	1.0892457646	0.9354645526	-0.3982572408	-0.2596290259	0.5186475354	40.4438924252	56.4688144387	3.48	1.1e-10	No	0	0	0	0
GSE25926	0	GSM636874.CEL	GSM636874	APLP2_R1_rep3	1	0.032	0	0.166	0.996	0	0.6216980226	0.566222501	-0.470744462	-0.2545805109	0.5149802607	40.5672273273	56.1317930866	2.92	1.08e-09	No	0	0	0	0
GSE36237	0	GSM884874_M_HIPP_TREAT_9I_TG_+_ID_11.CEL	GSM884874	HippPDE9Tg+,rep1	0.999	0.033	-0.001	0.287	0.982	0	0.4939262509	0.331056545	-0.4036382439	-0.2077266223	0.3715062641	50.999772187	59.7326001641	2.21	7.66e-07	No	0	0	0	0
GSE36237	0	GSM884875_M_HIPP_TREAT_9I_TG_+_ID_12.CEL	GSM884875	HippPDE9Tg+,rep2	1.003	0.034	0.002	0.251	0.986	0	0.4228395346	0.3444896628	-0.4930981151	-0.2646720999	0.5619331237	48.1596745228	58.9831711049	2.21	5.85e-07	No	0	0	0	0
GSE36237	0	GSM884876_M_HIPP_TREAT_9I_TG_+_ID_27.CEL	GSM884876	HippPDE9Tg+,rep3	1.003	0.034	0.008	0.231	0.987	0	0.4193193694	0.2870517602	-0.4451770109	-0.2574123889	0.4889900069	55.1915975155	57.1872020576	2.16	5.7e-07	No	0	0	0	0
GSE36237	0	GSM884877_M_HIPP_TREAT_9I_TG_+_ID_74.CEL	GSM884877	HippPDE9Tg+,rep4	0.996	0.028	0.015	0.288	0.983	0	0.4362746104	0.3419909923	-0.4262894936	-0.2745009351	0.4629351639	49.0733993634	56.8435289683	2.08	4.82e-07	No	0	0	0	0
GSE36237	0	GSM884878_M_HIPP_TREAT_9I_TG_+_ID_75.CEL	GSM884878	HippPDE9Tg+,rep5	1	0.031	0.002	0.258	0.988	0	0.3519832894	0.2534785252	-0.5085290688	-0.3550019481	0.4625751775	45.5069796471	62.0141460278	2.13	8.43e-07	No	0	0	0	0
GSE36237	0	GSM884879_M_HIPP_TREAT_9I_TG_+_ID_76.CEL	GSM884879	HippPDE9Tg+,rep6	1.002	0.033	-0.003	0.315	0.983	0	0.5408755153	0.3345237273	-0.3012255007	-0.2181382262	0.5018494502	42.7292962306	61.6970798874	2.97	3.74e-08	No	0	0	0	0
GSE36237	0	GSM884880_M_HIPP_TREAT_9I_TG_+_ID_78.CEL	GSM884880	HippPDE9Tg+,rep7	0.995	0.026	-0.012	0.25	0.986	0	0.4170911466	0.3204153912	-0.4877508349	-0.2726457775	0.3344922787	49.358108772	62.3733398373	2.21	4.92e-07	No	0	0	0	0
GSE36237	0	GSM884881_M_HIPP_TREAT_9I_TG_+_ID_9.CEL	GSM884881	HippPDE9Tg+,rep8	0.994	0.026	0.001	0.202	0.989	0	0.3993494093	0.3194168147	-0.442525699	-0.2592710121	0.3900060694	56.588402455	58.8346156405	2.28	3.56e-07	No	0	0	0	0
GSE36237	0	GSM884882_M_HIPP_TREAT_9I_TG_-_ID_13.CEL	GSM884882	HippPDE9Tg.,rep1	0.987	0.021	-0.001	0.178	0.989	0	0.4617462213	0.3522601972	-0.4352652187	-0.2797564408	0.359484286	53.9551274129	59.7170794439	2.37	1.48e-07	No	0	0	0	0
GSE36237	0	GSM884883_M_HIPP_TREAT_9I_TG_-_ID_16.CEL	GSM884883	HippPDE9Tg.,rep2	0.988	0.022	-0.013	0.214	0.987	0	0.4001133304	0.3527201477	-0.4759499573	-0.2603236402	0.3537979334	61.6835352531	60.7525332033	2.53	2.97e-08	No	0	0	0	0
