#Supplementary Table 1.  Genes with significantly altered expression in DE5 mice.
# threshold p <0.005
Probe	geneSymbol	Log2Ratio	p_value	F	regulation
ILMN_2998934	Cited4	-0.311	0.00236	18.45	down
ILMN_2691613	Ppp1ca	-0.31	0.00479	14.44	down
ILMN_2740720	A630038D02	-0.308	3.00E-05	65.98	down
ILMN_2675000	4930511J11Rik	-0.307	0.00218	18.93	down
ILMN_2691192	Rbbp7	-0.304	0.00079	26.18	down
ILMN_1255385	Chst1	-0.298	0.00281	17.4	down
ILMN_2959272	Rnu6	-0.296	0.00227	18.69	down
ILMN_3094506	Arhgef15	-0.295	0.00149	21.41	down
ILMN_2937320	Schip1	-0.292	0.0034	16.3	down
ILMN_2680307	Sec14l1	-0.291	6.00E-05	53.87	down
ILMN_2625351	Sh3bgrl3	-0.291	0.00011	45.71	down
ILMN_2942551	Sh3rf2	-0.291	0.00108	23.75	down
ILMN_2490252	Spred1	-0.289	0.00098	24.44	down
ILMN_2685275	1110006I15Rik	-0.289	0.00249	18.12	down
ILMN_2436890	Dhrsx	-0.288	0.00197	19.58	down
ILMN_3029489	Gm129	-0.288	0.0032	16.64	down
ILMN_2520032	Zdhhc12	-0.288	0.00473	14.51	down
ILMN_2602581	Gmpr	-0.286	0.00032	34.21	down
ILMN_1257251	Txnl4b	-0.278	0.00052	29.64	down
ILMN_1218767	Hnrph1	-0.276	0.00056	29.03	down
ILMN_2776056	Rassf3	-0.276	0.00065	27.75	down
ILMN_2724235	Myo18a	-0.275	0.00236	18.44	down
ILMN_1233172	Pou3f1	-0.273	0.0026	17.84	down
ILMN_2734391	Ramp1	-0.273	0.00321	16.63	down
ILMN_2482209	Tpm2	-0.271	0.00329	16.48	down
ILMN_2630641	Srm	-0.268	0.00051	29.84	down
ILMN_2589785	Cnn3	-0.268	0.00345	16.22	down
ILMN_1230357	Itpr1	-0.267	0.00034	33.56	down
ILMN_2627299	Akap9	-0.266	0.00409	15.28	down
ILMN_2792028	Gpx6	-0.262	5.00E-05	57.09	down
ILMN_2699003	Siva	-0.262	0.00019	39.95	down
ILMN_2865822	Napa	-0.261	0.00379	15.7	down
ILMN_1235811	1110032E23Rik	-0.258	0.00072	26.93	down
ILMN_2639296	Ndel1	-0.257	0.00223	18.8	down
ILMN_2689790	Igfbp6	-0.256	0.00192	19.75	down
ILMN_1225880	Srm	-0.256	0.00488	14.35	down
ILMN_2632092	Ppp1r9a	-0.252	0.00216	18.99	down
ILMN_2942353	Ccl25	-0.249	0.00132	22.27	down
ILMN_2736314	9630048M01Rik	-0.244	0.00146	21.58	down
ILMN_2854117	2410081M15Rik	-0.241	0.00021	38.83	down
ILMN_2620913	Inppl1	-0.238	0.00322	16.61	down
ILMN_2604548	Rgs14	-0.236	0.00249	18.12	down
ILMN_2627205	3632413B07Rik	-0.235	0.00157	21.07	down
ILMN_2664909	Mesdc1	-0.234	0.00148	21.49	down
ILMN_1258942	Lynx1	-0.234	0.00256	17.96	down
ILMN_2618169	Kcnab1	-0.234	0.00392	15.51	down
ILMN_2589211	Timm44	-0.231	0.00011	46.22	down
ILMN_2597606	Gja12	-0.23	0.00435	14.95	down
ILMN_3016674	Rreb1	-0.229	0.00127	22.55	down
ILMN_2797061	Actn2	-0.229	0.00135	22.12	down
ILMN_1219088	D10Ertd641e	-0.228	0.00431	15	down
ILMN_1227874	BC052040	-0.226	1.00E-04	47.34	down
ILMN_2645295	1110035L05Rik	-0.225	0.00114	23.31	down
ILMN_1217009	Rab15	-0.224	0.00049	30.26	down
ILMN_2651582	AB041544	-0.224	0.00227	18.69	down
ILMN_2601453	A130092J06Rik	-0.223	0.00014	43.6	down
ILMN_2679513	Rab40c	-0.222	0.00025	36.79	down
ILMN_2616522	LOC230872	-0.222	0.00139	21.93	down
ILMN_1219275	Rbbp7	-0.219	0.00433	14.98	down
ILMN_1253641	Ntrk3	-0.219	0.00438	14.92	down
ILMN_2744731	A330102K23Rik	-0.218	0.00256	17.95	down
ILMN_2605268	AI663987	-0.217	0.00329	16.48	down
ILMN_2946862	Cdc42	-0.216	0.00029	35.16	down
ILMN_1243830	Phex	-0.216	0.00097	24.56	down
ILMN_1248290	Wnt7a	-0.216	0.00159	20.97	down
ILMN_1214866	Eml1	-0.213	0.00102	24.12	down
ILMN_1235388	BC055811	-0.213	0.00152	21.3	down
ILMN_2632073	Sfxn5	-0.213	0.0024	18.34	down
ILMN_1239592	1700012H17Rik	-0.213	0.0028	17.43	down
ILMN_2640742	Hip2	-0.211	0.00073	26.79	down
ILMN_2810963	Camk2n1	-0.211	0.00204	19.34	down
ILMN_1241225	Dctd	-0.211	0.0029	17.22	down
ILMN_2746167	LOC381813	-0.21	0.00101	24.23	down
ILMN_2663555	Asb3	-0.202	0.00035	33.19	down
ILMN_3102736	Gm129	-0.201	0.00313	16.77	down
ILMN_2968676	Timm44	-0.201	0.00395	15.46	down
ILMN_2671286	B230114J08Rik	-0.197	0.00179	20.21	down
ILMN_1256369	Lynx1	-0.197	0.0039	15.53	down
ILMN_1252830	Mras	-0.197	0.00419	15.15	down
ILMN_1244642	Ccdc53	-0.196	0.00034	33.52	down
ILMN_2593484	9130011J15Rik	-0.196	0.00133	22.21	down
ILMN_2727329	Bckdha	-0.191	0.00488	14.35	down
ILMN_1217353	Rfx2	-0.189	0.00346	16.21	down
ILMN_2776230	Sumo3	-0.188	0.00028	35.64	down
ILMN_2681622	Nit2	-0.188	0.00421	15.12	down
ILMN_1234415	Prima1	-0.186	0.00364	15.92	down
ILMN_2836875	Tiam2	-0.182	0.00423	15.09	down
ILMN_1217723	Stau2	-0.181	0.00079	26.18	down
ILMN_2767871	Pdyn	-0.179	0.00187	19.92	down
ILMN_1255438	C530044N13Rik	-0.178	0.00177	20.26	down
ILMN_1238069	4930539E08Rik	-0.178	0.00231	18.57	down
ILMN_2601072	C630028C02Rik	-0.177	0.00165	20.73	down
ILMN_1257630	1110012J17Rik	-0.176	0.00433	14.97	down
ILMN_2759920	Bccip	-0.175	0.00134	22.18	down
ILMN_2595091	Nhlrc1	-0.173	0.00442	14.87	down
ILMN_1248328	Acvrl1	-0.172	0.00269	17.66	down
ILMN_1253008	Acat2	-0.168	0.00425	15.08	down
ILMN_1224996	Sez6	-0.168	0.005	14.22	down
ILMN_2625197	Ptprv	-0.164	0.00371	15.8	down
ILMN_1238679	9430023L20Rik	-0.163	0.00158	21.03	down
ILMN_2495939	Usp21	-0.162	0.00093	24.89	down
ILMN_2892215	Gm71	-0.161	0.00241	18.31	down
ILMN_2724815	Ovca2	-0.158	0.00125	22.67	down
ILMN_1212720	Prnpip1	-0.158	0.00307	16.87	down
ILMN_3160326	Prkg2	-0.157	0.00464	14.61	down
ILMN_2744592	Ccdc53	-0.156	0.00302	16.97	down
ILMN_2508745	Zfyve21	-0.155	0.00115	23.29	down
ILMN_2902228	Coro2b	-0.153	0.00343	16.25	down
ILMN_2824002	Frat2	-0.146	0.0048	14.44	down
ILMN_2667971	Cugbp1	-0.145	0.00235	18.48	down
ILMN_2849449	Itga5	-0.145	0.00454	14.73	down
ILMN_2893187	Gripap1	-0.142	0.00257	17.93	down
ILMN_2628188	Fgfr1op2	-0.134	0.00294	17.13	down
ILMN_2709167	Papln	-0.132	0.00309	16.83	down
ILMN_1235331	4732467L16Rik	-0.131	0.00402	15.38	down
ILMN_2606848	Kars	-0.13	0.00326	16.54	down
ILMN_1229407	Bid3	-0.128	0.00448	14.8	down
ILMN_2729103	Adamts2	-0.124	0.00433	14.97	down
ILMN_3041149	Hsd11b1	-0.106	0.00465	14.6	down
ILMN_2618982	9130005N14Rik	0.114	0.00411	15.25	up
ILMN_2777217	Cog3	0.12	0.00249	18.13	up
ILMN_1224333	Osbpl11	0.123	0.00401	15.38	up
ILMN_1220589	1110054O05Rik	0.124	0.00324	16.57	up
ILMN_2778112	Mapk10	0.125	0.00179	20.18	up
ILMN_1257485	2610029G23Rik	0.125	0.00336	16.36	up
ILMN_2434333	Ugt2a1	0.129	0.00331	16.45	up
ILMN_2643495	Fez1	0.133	0.00152	21.31	up
ILMN_1224363	Slc12a5	0.134	0.00287	17.26	up
ILMN_2727004	3300001P08Rik	0.134	0.00332	16.43	up
ILMN_1212636	Strap	0.135	0.0038	15.68	up
ILMN_1238680	Gopc	0.142	0.00167	20.66	up
ILMN_1246982	Olfr642	0.142	0.00185	19.97	up
ILMN_1244835	AI790205	0.146	0.00467	14.58	up
ILMN_2699898	Itgae	0.147	0.00107	23.8	up
ILMN_1225332	Tmsb10	0.148	0.00301	17	up
ILMN_1234054	6430595O10Rik	0.15	0.0018	20.17	up
ILMN_2590950	Agtrap	0.152	0.0012	22.95	up
ILMN_2683283	3830406C13Rik	0.155	0.00134	22.19	up
ILMN_2722704	Timm17a	0.156	0.00426	15.06	up
ILMN_1215772	Polr3k	0.157	0.00465	14.6	up
ILMN_2851671	Myadm	0.159	0.0017	20.54	up
ILMN_2858399	D930001I22Rik	0.16	0.00318	16.67	up
ILMN_2646640	1700019D03Rik	0.163	0.00449	14.78	up
ILMN_1242772	4930578F03Rik	0.164	0.00225	18.75	up
ILMN_2752074	Ppm1b	0.165	0.0042	15.13	up
ILMN_1215117	Ube2d2	0.165	0.00422	15.11	up
ILMN_3160771	Cd200	0.168	0.00084	25.69	up
ILMN_1247760	2210016L21Rik	0.168	0.00193	19.71	up
ILMN_2834451	Tusc2	0.17	0.00106	23.84	up
ILMN_3139253	Btbd11	0.171	0.0019	19.82	up
ILMN_2854347	D15Mgi27	0.173	0.00156	21.11	up
ILMN_2697693	Grhpr	0.174	0.00254	18	up
ILMN_2764549	BC031853	0.174	0.00334	16.39	up
ILMN_2635871	3110057O12Rik	0.177	0.00319	16.65	up
ILMN_1253137	Gng3	0.178	0.00414	15.21	up
ILMN_2675677	Pnma3	0.179	0.00466	14.59	up
ILMN_3142224	1110020P15Rik	0.18	0.00109	23.63	up
ILMN_1242170	Adra2a	0.18	0.00436	14.94	up
ILMN_1222716	Sgcb	0.181	0.00277	17.48	up
ILMN_2945066	Nat5	0.181	0.00436	14.94	up
ILMN_2644719	Hmgn3	0.181	0.00492	14.31	up
ILMN_3160688	Zfp597	0.182	0.00346	16.21	up
ILMN_2726308	Rpp21	0.187	0.00124	22.71	up
ILMN_2717696	Elys	0.191	0.00026	36.18	up
ILMN_2923671	Rragb	0.195	0.00345	16.21	up
ILMN_2593134	D11Bwg0434e	0.201	0.00138	21.94	up
ILMN_2704570	Nell2	0.201	0.00315	16.73	up
ILMN_3160212	AU021838	0.202	0.0016	20.95	up
ILMN_2648991	Fnta	0.203	0.00218	18.95	up
ILMN_2718716	Kif21a	0.205	0.00082	25.84	up
ILMN_1259677	Cct8	0.205	0.00125	22.68	up
ILMN_1217794	Timm10	0.208	0.00095	24.72	up
ILMN_1247312	Kpna3	0.212	0.00436	14.94	up
ILMN_2732961	5230400G24Rik	0.213	0.00343	16.25	up
ILMN_2929952	Sacm1l	0.214	0.00283	17.35	up
ILMN_2588650	Gm631	0.218	0.00192	19.75	up
ILMN_2757993	Dlat	0.219	0.00111	23.56	up
ILMN_2709051	BC049806	0.219	0.00217	18.98	up
ILMN_2735940	Gdap1	0.219	0.00313	16.76	up
ILMN_2737183	BC037527	0.224	0.00091	25.02	up
ILMN_2932508	Cntnap4	0.224	0.0025	18.09	up
ILMN_3115917	Hsd11b1	0.225	0.00404	15.35	up
ILMN_2430374	Ube1x	0.229	0.00142	21.78	up
ILMN_2727239	Pcdh10	0.23	0.00042	31.64	up
ILMN_2762701	Scn1a	0.23	0.00464	14.61	up
ILMN_2900962	Gdap1	0.232	0.00103	24.08	up
ILMN_1217839	Nap1l3	0.232	0.0031	16.82	up
ILMN_2710484	Rufy3	0.233	0.00301	16.99	up
ILMN_1214998	Hsd11b1	0.234	0.00412	15.24	up
ILMN_1221702	Plaa	0.235	0.00035	33.44	up
ILMN_2790241	Herpud1	0.235	0.00333	16.42	up
ILMN_1247257	Gpd2	0.242	0.00447	14.81	up
ILMN_2713004	C030011O14Rik	0.242	0.00477	14.47	up
ILMN_2920549	Map2k4	0.244	0.00138	21.96	up
ILMN_1243741	Rora	0.245	0.00219	18.92	up
ILMN_1256012	Zfp521	0.247	3.00E-05	68.87	up
ILMN_2956765	Vdac3	0.248	0.00203	19.38	up
ILMN_2710139	Ppargc1a	0.25	0.00011	45.76	up
ILMN_2987062	Thyn1	0.252	0.00137	22.03	up
ILMN_3065164	Bex2	0.253	0.00197	19.57	up
ILMN_2515784	Tm4sf6	0.254	0.00088	25.3	up
ILMN_2733897	Olfm3	0.256	0.00059	28.6	up
ILMN_2938820	Nefm	0.26	9.00E-04	25.1	up
ILMN_3162089	Snx4	0.264	0.00046	30.77	up
ILMN_3040710	Rtn1	0.27	0.00121	22.89	up
ILMN_2724868	Appbp2	0.273	0.00425	15.07	up
ILMN_1220482	Magee1	0.274	0.00251	18.06	up
ILMN_1224546	Cul3	0.275	5.00E-05	57.32	up
ILMN_2986309	Psme1	0.279	0.00075	26.56	up
ILMN_2690540	Fstl5	0.281	0.00069	27.28	up
ILMN_2661125	Maged1	0.281	0.00376	15.73	up
ILMN_2746664	Slc22a17	0.29	0.00464	14.61	up
ILMN_2491186	Zic1	0.296	0.00297	17.07	up
ILMN_2638778	3300001P08Rik	0.297	0.0046	14.66	up
ILMN_2653215	Nagk	0.298	5.00E-05	57.54	up
ILMN_2945348	Glrx	0.298	0.00292	17.16	up
ILMN_1242852	Wdr45l	0.298	0.00296	17.09	up
ILMN_2611728	Sfrs6	0.299	0.00115	23.29	up
ILMN_2832682	Map1lc3a	0.302	1.00E-04	48.16	up
ILMN_1232762	Atox1	0.317	0.00024	37.14	up
ILMN_1218266	Meis1	0.317	0.00135	22.14	up
ILMN_1250356	Gjb6	0.319	0.00377	15.73	up
ILMN_1241551	Nell2	0.324	0.00465	14.6	up
ILMN_2607529	Nr2f1	0.326	0.00121	22.88	up
ILMN_1244484	Robo1	0.333	0.00189	19.83	up
ILMN_1213855	Extl2	0.336	0.00258	17.9	up
ILMN_1230353	Bcl6	0.337	0.00103	24.08	up
ILMN_2591414	Tax1bp1	0.339	0.00363	15.94	up
ILMN_1232016	Cbx8	0.341	0.00412	15.24	up
ILMN_2729364	Glra2	0.352	0.0048	14.44	up
ILMN_2666205	Dpp10	0.365	7.00E-04	27.08	up
ILMN_2690603	Spp1	0.399	0	121.51	up
ILMN_2752030	Cacna2d1	0.407	0.00043	31.35	up
ILMN_2625913	Vstm2	0.415	0.0023	18.6	up
ILMN_3070389	LOC545007	0.423	0.00095	24.68	up
ILMN_1253982	Ly6h	0.506	0.00483	14.4	up
ILMN_1258636	Cadps	0.541	0.00026	36.4	up
ILMN_2704027	Slc25a18	0.565	0.00374	15.77	up
ILMN_1218223	Pvalb	0.751	0.00185	19.99	up
