ProbeName	geneSymbol	Description	LogRatio	pValue	pValueFDR	timepoint	regulation	phase
ILMN_2725215	8430415e04rik	Mus musculus RIKEN cDNA 8430415E04 gene (8430415E04Rik), mRNA.	-0.94	2.45e-12	8.38e-10	11m	down	late
ILMN_2701723	C130060k24rik	Mus musculus RIKEN cDNA C130060K24 gene (C130060K24Rik), mRNA.	-0.74	2.75e-12	9.29e-10	11m	down	late
ILMN_2881024	1700040i03rik	Mus musculus RIKEN cDNA 1700040I03 gene (1700040I03Rik), mRNA. XM_923066 XM_978905 XM_981332 XM_981367 XM_981402 XM_990015 XM_991725	-0.93	3.11e-12	1e-09	11m	down	late
ILMN_1224034	Pde1b		-0.73	3.16e-12	1e-09	11m	down	late
ILMN_2963091	E130012a19rik	Mus musculus RIKEN cDNA E130012A19 gene (E130012A19Rik), mRNA.	-0.91	3.76e-12	1.19e-09	11m	down	late
ILMN_2870786	Upb1	Mus musculus ureidopropionase, beta (Upb1), mRNA.	-0.82	3.79e-12	1.19e-09	11m	down	late
ILMN_1228958	Fst		-0.83	4.2e-12	1.3e-09	11m	down	late
ILMN_2856771	Dgkb	Mus musculus diacylglycerol kinase, beta (Dgkb), mRNA.	-1.04	5.47e-12	1.65e-09	11m	down	late
ILMN_1254736	Myo5a		-0.8	7.09e-12	2.1e-09	11m	down	late
ILMN_2740407	Pde2a		-0.84	7.37e-12	2.13e-09	11m	down	late
ILMN_2718149	Homer1	Mus musculus homer homolog 1 (Drosophila) (Homer1), transcript variant d, mRNA.	-0.98	8.01e-12	2.25e-09	11m	down	late
ILMN_2822905	Ngef	Mus musculus neuronal guanine nucleotide exchange factor (Ngef), mRNA.	-0.76	8.06e-12	2.25e-09	11m	down	late
ILMN_2752431	Itpka		-0.89	9.88e-12	2.73e-09	11m	down	late
ILMN_1253641	Ntrk3	Mus musculus neurotrophic tyrosine kinase, receptor, type 3 (Ntrk3), transcript variant 1, mRNA.	-0.89	1.04e-11	2.84e-09	11m	down	late
ILMN_2614086	Acvr1c		-1.24	1.09e-11	3e-09	11m	down	late
ILMN_2942551	Sh3rf2	Mus musculus SH3 domain containing ring finger 2 (Sh3rf2), mRNA.	-1.05	1.13e-11	3e-09	11m	down	late
ILMN_2946520	Npy	Mus musculus neuropeptide Y (Npy), mRNA.	-0.79	1.62e-11	4.24e-09	11m	down	late
ILMN_2793739	Ai747699	Mus musculus expressed sequence AI747699 (AI747699), mRNA.	-0.89	1.74e-11	4.39e-09	11m	down	late
ILMN_3001313	Trpc3	Mus musculus transient receptor potential cation channel, subfamily C, member 3 (Trpc3), mRNA.	-0.88	1.74e-11	4.39e-09	11m	down	late
ILMN_1217753	Srpk1	Mus musculus serine/arginine-rich protein specific kinase 1 (Srpk1), mRNA.	-0.82	1.74e-11	4.39e-09	11m	down	late
ILMN_2645071	Nrgn	Mus musculus neurogranin (Nrgn), mRNA.	-0.73	1.7e-11	4.39e-09	11m	down	late
ILMN_2627300	Akap9		-0.75	1.8e-11	4.4e-09	11m	down	late
ILMN_2733314	D13bwg1146e		-0.67	1.78e-11	4.4e-09	11m	down	late
ILMN_1225085	Prkcb		-0.65	1.77e-11	4.4e-09	11m	down	late
ILMN_2698449	Dtr	Mus musculus heparin-binding EGF-like growth factor (Hbegf), mRNA.	-1.06	1.9e-11	4.61e-09	11m	down	late
ILMN_2715429	Slc8a2	Mus musculus solute carrier family 8 (sodium/calcium exchanger), member 2 (Slc8a2), mRNA. XM_982202 XM_982243	-0.98	2.38e-11	5.67e-09	11m	down	late
ILMN_2823778	Sc4mol	Mus musculus sterol-C4-methyl oxidase-like (Sc4mol), mRNA.	-0.91	2.41e-11	5.69e-09	11m	down	late
ILMN_2865082	Gabrd	Mus musculus gamma-aminobutyric acid (GABA-A) receptor, subunit delta (Gabrd), mRNA.	-1	3.17e-11	7.41e-09	11m	down	late
ILMN_1238436	Cplx2		-0.78	3.21e-11	7.43e-09	11m	down	late
ILMN_1223600	Indo	Mus musculus indoleamine-pyrrole 2,3 dioxygenase (Indo), mRNA.	-0.85	3.47e-11	8e-09	11m	down	late
ILMN_2954824	Ppp1r1b	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 1B (Ppp1r1b), mRNA.	-0.66	3.57e-11	8e-09	11m	down	late
ILMN_2911729	Kcnip3	Mus musculus Kv channel interacting protein 3, calsenilin (Kcnip3), mRNA.	-0.93	3.84e-11	8.58e-09	11m	down	late
ILMN_3133448	Mfge8	Mus musculus milk fat globule-EGF factor 8 protein (Mfge8), transcript variant 2, mRNA.	-0.7	4.01e-11	8.88e-09	11m	down	late
ILMN_2785353	Il17rc	Mus musculus interleukin 17 receptor C (Il17rc), mRNA.	-0.93	4.16e-11	9.14e-09	11m	down	late
ILMN_2868220	Inhba	Mus musculus inhibin beta-A (Inhba), mRNA.	-1.38	4.26e-11	9.28e-09	11m	down	late
ILMN_2680054	D0h4s114	Mus musculus DNA segment, human D4S114 (D0H4S114), mRNA.	-1.11	4.58e-11	9.88e-09	11m	down	late
ILMN_1253473	Ppp1r1b	Mus musculus protein phosphatase 1, regulatory (inhibitor) subunit 1B (Ppp1r1b), mRNA.	-1.02	4.76e-11	1e-08	11m	down	late
ILMN_2842357	Ryr1	Mus musculus ryanodine receptor 1, skeletal muscle (Ryr1), mRNA.	-0.89	4.7e-11	1e-08	11m	down	late
ILMN_1243596	Bc017634		-0.74	4.75e-11	1e-08	11m	down	late
ILMN_2602230	Lin7b	Mus musculus lin-7 homolog B (C. elegans) (Lin7b), mRNA.	-0.69	5.3e-11	1.11e-08	11m	down	late
ILMN_3124947	Zfp238	Mus musculus zinc finger protein 238 (Zfp238), transcript variant 1, mRNA.	-0.67	6.23e-11	1.28e-08	11m	down	late
ILMN_2601884	2310032d16rik		-0.89	6.56e-11	1.34e-08	11m	down	late
ILMN_2780286	Scube3	Mus musculus signal peptide, CUB domain, EGF-like 3 (Scube3), mRNA.	-0.6	6.87e-11	1.39e-08	11m	down	late
ILMN_2769925	Alk		-0.56	7.07e-11	1.42e-08	11m	down	late
ILMN_2849449	Itga5	Mus musculus integrin alpha 5 (fibronectin receptor alpha) (Itga5), mRNA.	-0.74	8.3e-11	1.65e-08	11m	down	late
ILMN_1246859	Rhobtb2	Mus musculus Rho-related BTB domain containing 2 (Rhobtb2), mRNA.	-0.9	8.43e-11	1.67e-08	11m	down	late
ILMN_3030009	Gng7	Mus musculus guanine nucleotide binding protein (G protein), gamma 7 subunit (Gng7), transcript variant 2, mRNA.	-0.88	8.81e-11	1.73e-08	11m	down	late
ILMN_2942554	Sh3rf2	Mus musculus SH3 domain containing ring finger 2 (Sh3rf2), mRNA.	-0.81	1.03e-10	1.97e-08	11m	down	late
ILMN_2468981	Rasl10b		-0.7	1.08e-10	2.06e-08	11m	down	late
ILMN_2726850	Tacr1		-0.76	1.14e-10	2.11e-08	11m	down	late
ILMN_2612774	Hrbl	Mus musculus HIV-1 Rev binding protein-like (Hrbl), transcript variant 2, mRNA.	-0.64	1.3e-10	2.38e-08	11m	down	late
ILMN_2699307	Hebp1		-0.72	1.6e-10	2.9e-08	11m	down	late
ILMN_2756023	Pcsk9	Mus musculus proprotein convertase subtilisin/kexin type 9 (Pcsk9), mRNA.	-0.66	1.7e-10	3.05e-08	11m	down	late
ILMN_3005071	Kcnj4	Mus musculus potassium inwardly-rectifying channel, subfamily J, member 4 (Kcnj4), mRNA.	-0.94	1.92e-10	3.41e-08	11m	down	late
ILMN_2767605	Lmo2	Mus musculus LIM domain only 2 (Lmo2), mRNA.	-0.86	1.97e-10	3.47e-08	11m	down	late
ILMN_2733828	Ai593442	Mus musculus expressed sequence AI593442 (AI593442), transcript variant 1, mRNA.	-0.75	2.12e-10	3.71e-08	11m	down	late
ILMN_1247491	Slc18a3		-0.55	2.14e-10	3.71e-08	11m	down	late
ILMN_2842338	Tbc1d10c	Mus musculus TBC1 domain family, member 10c (Tbc1d10c), mRNA.	-0.69	2.26e-10	3.89e-08	11m	down	late
ILMN_2806439	Slc17a8	Mus musculus solute carrier family 17 (sodium-dependent inorganic phosphate cotransporter), member 8 (Slc17a8), mRNA.	-0.77	2.55e-10	4.34e-08	11m	down	late
ILMN_2802590	Tmem16b	Mus musculus transmembrane protein 16B (Tmem16b), mRNA.	-1	2.58e-10	4.36e-08	11m	down	late
ILMN_1251756	N28178		-0.81	2.85e-10	4.79e-08	11m	down	late
ILMN_1219447	Zfp261		-0.68	3.12e-10	5.17e-08	11m	down	late
ILMN_2756900	Ecel1	Mus musculus endothelin converting enzyme-like 1 (Ecel1), mRNA.	-0.85	3.25e-10	5.36e-08	11m	down	late
ILMN_2716389	Smpd3		-0.83	3.35e-10	5.37e-08	11m	down	late
ILMN_3152241	Slc16a6	Mus musculus solute carrier family 16 (monocarboxylic acid transporters), member 6 (Slc16a6), transcript variant 2, mRNA.	-0.77	3.3e-10	5.37e-08	11m	down	late
ILMN_1219915	Dgat2		-0.76	3.3e-10	5.37e-08	11m	down	late
ILMN_1241255	Loc380683		-0.45	3.32e-10	5.37e-08	11m	down	late
ILMN_2596560	Rpel1		-0.73	3.89e-10	6.15e-08	11m	down	late
ILMN_2771709	Ppargc1b		-0.58	3.9e-10	6.15e-08	11m	down	late
ILMN_1226095	Oprk1	Mus musculus opioid receptor, kappa 1 (Oprk1), mRNA.	-0.68	4.06e-10	6.36e-08	11m	down	late
ILMN_3060395	Odf4	Mus musculus outer dense fiber of sperm tails 4 (Odf4), mRNA.	-0.76	4.22e-10	6.57e-08	11m	down	late
ILMN_2650557	Ccbp2	Mus musculus chemokine binding protein 2 (Ccbp2), mRNA.	-0.89	4.31e-10	6.68e-08	11m	down	late
ILMN_2672458	Gnb5	Mus musculus guanine nucleotide binding protein, beta 5 (Gnb5), transcript variant 1, mRNA.	-0.76	4.75e-10	7.3e-08	11m	down	late
ILMN_2664909	Mesdc1	Mus musculus mesoderm development candidate 1 (Mesdc1), mRNA.	-0.77	4.97e-10	7.56e-08	11m	down	late
ILMN_2792868	Blvrb	Mus musculus biliverdin reductase B (flavin reductase (NADPH)) (Blvrb), mRNA.	-0.69	4.96e-10	7.56e-08	11m	down	late
ILMN_2915671	Kcnab1	Mus musculus potassium voltage-gated channel, shaker-related subfamily, beta member 1 (Kcnab1), mRNA.	-0.75	5.8e-10	8.71e-08	11m	down	late
ILMN_2959729	Arhgap20	Mus musculus Rho GTPase activating protein 20 (Arhgap20), mRNA.	-0.77	6.43e-10	9.6e-08	11m	down	late
ILMN_2627299	Akap9		-0.8	6.49e-10	9.65e-08	11m	down	late
ILMN_2611022	Bcl11b		-0.79	6.54e-10	9.66e-08	11m	down	late
ILMN_2824971	Gpr158	Mus musculus G protein-coupled receptor 158 (Gpr158), mRNA.	-0.61	6.66e-10	9.72e-08	11m	down	late
ILMN_2599739	6030419c18rik	Mus musculus RIKEN cDNA 6030419C18 gene (6030419C18Rik), mRNA.	-0.79	7.36e-10	1.06e-07	11m	down	late
ILMN_2731331	Bc046386	Mus musculus polycystic kidney disease 2-like 1 (Pkd2l1), mRNA.	-0.62	7.89e-10	1.13e-07	11m	down	late
ILMN_2889916	Klf16	Mus musculus Kruppel-like factor 16 (Klf16), mRNA.	-0.69	8.09e-10	1.16e-07	11m	down	late
ILMN_1253860	Mas1	Mus musculus MAS1 oncogene (Mas1), mRNA.	-1.03	8.58e-10	1.21e-07	11m	down	late
ILMN_2781557	Cyp46a1	Mus musculus cytochrome P450, family 46, subfamily a, polypeptide 1 (Cyp46a1), mRNA.	-0.86	8.73e-10	1.23e-07	11m	down	late
ILMN_2650915	Jmjd2b	Mus musculus jumonji domain containing 2B (Jmjd2b), mRNA.	-0.65	9.03e-10	1.26e-07	11m	down	late
ILMN_1258942	Lynx1	Mus musculus Ly6/neurotoxin 1 (Lynx1), mRNA.	-0.62	9.31e-10	1.29e-07	11m	down	late
ILMN_2625197	Ptprv	Mus musculus protein tyrosine phosphatase, receptor type, V (Ptprv), mRNA.	-0.8	1e-09	1.32e-07	11m	down	late
ILMN_1254943	Bc024955		-0.79	1e-09	1.33e-07	11m	down	late
ILMN_2516705	Upb1	Mus musculus ureidopropionase, beta (Upb1), mRNA.	-0.69	1.09e-09	1.48e-07	11m	down	late
ILMN_2625435	Kcnd2		-0.65	1.09e-09	1.48e-07	11m	down	late
ILMN_2747728	Pde7b	Mus musculus phosphodiesterase 7B (Pde7b), mRNA.	-0.94	1.16e-09	1.55e-07	11m	down	late
ILMN_1233172	Pou3f1	Mus musculus POU domain, class 3, transcription factor 1 (Pou3f1), mRNA.	-0.9	1.15e-09	1.55e-07	11m	down	late
ILMN_2666622	Rgs2		-0.9	1.16e-09	1.55e-07	11m	down	late
ILMN_2981623	B230206h07rik	Mus musculus RIKEN cDNA B230206H07 gene (B230206H07Rik), mRNA.	-0.68	1.18e-09	1.56e-07	11m	down	late
ILMN_2616584	Ppp1r1a		-0.75	1.23e-09	1.62e-07	11m	down	late
ILMN_2819951	Lrp12	Mus musculus low density lipoprotein-related protein 12 (Lrp12), mRNA.	-0.6	1.26e-09	1.65e-07	11m	down	late
ILMN_1225880	Srm	Mus musculus spermidine synthase (Srm), mRNA.	-0.77	1.33e-09	1.71e-07	11m	down	late
ILMN_1238898	Rhobtb2	Mus musculus Rho-related BTB domain containing 2 (Rhobtb2), mRNA.	-0.63	1.33e-09	1.71e-07	11m	down	late
ILMN_3137154	Gpr12		-0.95	1.55e-09	1.97e-07	11m	down	late
ILMN_1224996	Sez6		-0.86	1.61e-09	2.04e-07	11m	down	late
ILMN_2680958	Kcnip2	Mus musculus Kv channel-interacting protein 2 (Kcnip2), transcript variant a, mRNA.	-0.95	1.65e-09	2.07e-07	11m	down	late
ILMN_2598946	Bai2	Mus musculus brain-specific angiogenesis inhibitor 2 (Bai2), mRNA.	-0.65	1.67e-09	2.07e-07	11m	down	late
ILMN_2603364	Gpr24		-0.76	1.7e-09	2.1e-07	11m	down	late
ILMN_1235388	Bc055811	Mus musculus immunoglobin superfamily, member 21 (Igsf21), mRNA.	-1.07	1.73e-09	2.13e-07	11m	down	late
ILMN_2634108	Ap1s1		-0.61	1.91e-09	2.32e-07	11m	down	late
ILMN_2648661	Cap1	Mus musculus CAP, adenylate cyclase-associated protein 1 (yeast) (Cap1), mRNA.	-0.6	2.05e-09	2.46e-07	11m	down	late
ILMN_1213070	1700037h04rik		-0.56	2.05e-09	2.46e-07	11m	down	late
ILMN_2596979	Nrarp		-0.73	2.17e-09	2.6e-07	11m	down	late
ILMN_2687391	Bc028975	Mus musculus WD repeat domain 78 (Wdr78), mRNA.	-0.78	2.41e-09	2.85e-07	11m	down	late
ILMN_2960071	Ppp1ca	Mus musculus protein phosphatase 1, catalytic subunit, alpha isoform (Ppp1ca), mRNA.	-0.75	2.4e-09	2.85e-07	11m	down	late
ILMN_2771034	Mfge8		-0.97	2.69e-09	3.15e-07	11m	down	late
ILMN_2643241	Accn2	Mus musculus amiloride-sensitive cation channel 2, neuronal (Accn2), mRNA.	-0.61	2.82e-09	3.27e-07	11m	down	late
ILMN_1229407	Bid3		-0.74	2.91e-09	3.35e-07	11m	down	late
ILMN_2712900	Sars1		-0.75	3e-09	3.41e-07	11m	down	late
ILMN_2790357	Sema7a	Mus musculus sema domain, immunoglobulin domain (Ig), and GPI membrane anchor, (semaphorin) 7A (Sema7a), mRNA.	-0.91	3e-09	3.43e-07	11m	down	late
ILMN_1246917	Abcc12		-0.46	3.18e-09	3.6e-07	11m	down	late
ILMN_1229246	2610039e05rik	Mus musculus spermatogenesis associated 2-like (Spata2L), mRNA.	-1.04	3.42e-09	3.83e-07	11m	down	late
ILMN_1228942	Cd59a	Mus musculus CD59a antigen (Cd59a), mRNA.	-0.8	3.5e-09	3.91e-07	11m	down	late
ILMN_2449917	Tyro3		-0.69	3.58e-09	3.97e-07	11m	down	late
ILMN_2680959	Kcnip2	Mus musculus Kv channel-interacting protein 2 (Kcnip2), transcript variant a, mRNA.	-0.78	3.74e-09	4.11e-07	11m	down	late
ILMN_3124037	Kcnip2	Mus musculus Kv channel-interacting protein 2 (Kcnip2), transcript variant c, mRNA.	-0.83	4.26e-09	4.64e-07	11m	down	late
ILMN_2630641	Srm	Mus musculus spermidine synthase (Srm), mRNA.	-0.58	4.82e-09	5.23e-07	11m	down	late
ILMN_1249941	Gdf10		-0.77	5e-09	5.39e-07	11m	down	late
ILMN_2656498	Foxo1		-0.7	5.06e-09	5.44e-07	11m	down	late
ILMN_2632092	Ppp1r9a		-0.63	5.15e-09	5.51e-07	11m	down	late
ILMN_2616226	Dbp	Mus musculus D site albumin promoter binding protein (Dbp), mRNA.	-0.76	5.3e-09	5.65e-07	11m	down	late
ILMN_2972521	Agtr1a	Mus musculus angiotensin II receptor, type 1a (Agtr1a), mRNA.	-0.39	5.41e-09	5.74e-07	11m	down	late
ILMN_2860699	Epb4.9	Mus musculus erythrocyte protein band 4.9 (Epb4.9), mRNA.	-0.64	6e-09	6.28e-07	11m	down	late
ILMN_2425854	Wnt8b	Mus musculus wingless related MMTV integration site 8b (Wnt8b), mRNA.	-0.62	6.78e-09	7.12e-07	11m	down	late
ILMN_2668835	Npas2		-0.94	7e-09	7.26e-07	11m	down	late
ILMN_3132588	D930038m13rik		-0.66	7e-09	7.26e-07	11m	down	late
ILMN_2778789	Sgip1	Mus musculus SH3-domain GRB2-like (endophilin) interacting protein 1 (Sgip1), mRNA.	-0.53	7.05e-09	7.31e-07	11m	down	late
ILMN_1226868	Mapk4		-0.79	7.88e-09	8.13e-07	11m	down	late
ILMN_1225528	Trib3		-0.53	7.91e-09	8.13e-07	11m	down	late
ILMN_1229726	Fibcd1	Mus musculus fibrinogen C domain containing 1 (Fibcd1), mRNA.	-1.05	8e-09	8.18e-07	11m	down	late
ILMN_2974460	Rhobtb2	Mus musculus Rho-related BTB domain containing 2 (Rhobtb2), mRNA.	-0.86	8.08e-09	8.18e-07	11m	down	late
ILMN_2953751	Sec14l1	Mus musculus SEC14-like 1 (S. cerevisiae) (Sec14l1), mRNA.	-0.74	8e-09	8.18e-07	11m	down	late
ILMN_2942353	Ccl25	Mus musculus chemokine (C-C motif) ligand 25 (Ccl25), mRNA.	-0.75	8.3e-09	8.37e-07	11m	down	late
ILMN_2960263	Slc8a2	Mus musculus solute carrier family 8 (sodium/calcium exchanger), member 2 (Slc8a2), mRNA. XM_982202 XM_982243	-0.75	8.51e-09	8.55e-07	11m	down	late
ILMN_1249663	Cd4	Mus musculus CD4 antigen (Cd4), mRNA.	-0.61	8.9e-09	8.86e-07	11m	down	late
ILMN_2756891	Ai505034	Mus musculus 1-acylglycerol-3-phosphate O-acyltransferase 7 (lysophosphatidic acid acyltransferase, eta) (Agpat7), mRNA.	-0.76	9.17e-09	9.1e-07	11m	down	late
ILMN_2656864	Chat		-0.63	9.57e-09	9.46e-07	11m	down	late
ILMN_1222084	Rem2	Mus musculus rad and gem related GTP binding protein 2 (Rem2), mRNA.	-0.65	1.02e-08	1e-06	11m	down	late
ILMN_2597248	Abcb9		-0.6	1.13e-08	1.1e-06	11m	down	late
ILMN_2762672	Cacna2d3	Mus musculus calcium channel, voltage-dependent, alpha2/delta subunit 3 (Cacna2d3), mRNA.	-0.73	1.23e-08	1.19e-06	11m	down	late
ILMN_2755585	Avpi1	Mus musculus arginine vasopressin-induced 1 (Avpi1), mRNA.	-0.47	1.24e-08	1.2e-06	11m	down	late
ILMN_2679077	Nola2	Mus musculus nucleolar protein family A, member 2 (Nola2), mRNA.	-0.57	1.4e-08	1.35e-06	11m	down	late
ILMN_2878021	Atp2b1	Mus musculus ATPase, Ca++ transporting, plasma membrane 1 (Atp2b1), mRNA.	-0.82	1.44e-08	1.38e-06	11m	down	late
ILMN_2936419	Bc051142	Mus musculus cDNA sequence BC051142 (BC051142), mRNA.	-0.58	1.46e-08	1.39e-06	11m	down	late
ILMN_2680308	Sec14l1		-0.65	1.48e-08	1.4e-06	11m	down	late
ILMN_3112334	Pitpnm3	Mus musculus PITPNM family member 3 (Pitpnm3), transcript variant 1, mRNA.	-0.61	1.49e-08	1.41e-06	11m	down	late
ILMN_2765759	Asb2	Mus musculus ankyrin repeat and SOCS box-containing protein 2 (Asb2), mRNA.	-0.65	1.51e-08	1.43e-06	11m	down	late
ILMN_2891583	Car12	Mus musculus carbonic anyhydrase 12 (Car12), mRNA.	-0.87	1.58e-08	1.49e-06	11m	down	late
ILMN_2961005	Ier5l	Mus musculus immediate early response 5-like (Ier5l), mRNA.	-0.88	1.64e-08	1.52e-06	11m	down	late
ILMN_2900827	Ssbp4	Mus musculus single stranded DNA binding protein 4 (Ssbp4), mRNA.	-0.48	1.64e-08	1.52e-06	11m	down	late
