Sample	cell_type	PC1	PC1_scaled	group	adj_p_all	adj_p_wt	dataset	keyword	disease	significance	brain_cells	plot_title	Study	outlier	Model_types
GSE36237_HippVeh_TG_8	Astrocytes	-4.94363556171216	0.111567554248779	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE36237	NA	Amyloid transgenic models
GSE48622_WT_rep1	Astrocytes	0.433046109236403	0.419734767670584	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep2	Astrocytes	1.98400579055874	0.50862880164421	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep3	Astrocytes	-1.05551795865395	0.334416969653975	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_WT_rep4	Astrocytes	0.623820971394393	0.430669124818751	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep1	Astrocytes	-0.475879485447615	0.36763924019404	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep2	Astrocytes	1.33308062630724	0.471320698563202	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep3	Astrocytes	0.666767527647206	0.433130628284356	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APLP2KO_rep4	Astrocytes	1.23566267929406	0.465737139947386	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep1	Astrocytes	-4.19752142873431	0.154331460934341	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep2	Astrocytes	0.567354040039738	0.427432694256	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep3	Astrocytes	1.39018153858004	0.474593466061049	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_APPKO_rep4	Astrocytes	3.35547739942034	0.587235386496282	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep1	Astrocytes	-1.6064761999915	0.302838521024186	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep2	Astrocytes	-2.55155106132265	0.248671080153536	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep3	Astrocytes	-2.30477506036322	0.262815170730062	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE48622_N.dCKO_rep4	Astrocytes	-3.36555115384615	0.202016255562851	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE48622	NA	KO models
GSE63617_3m_hp_VH_rep1	Astrocytes	-1.83936051599707	0.289490639355674	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep2	Astrocytes	3.40549916708857	0.590102409261651	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep3	Astrocytes	-3.46748089075067	0.196174101440837	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep4	Astrocytes	-4.36100512466112	0.144961310700995	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_VH_rep5	Astrocytes	0.509345923927093	0.42410792991392	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep1	Astrocytes	1.36704836998907	0.47326757687166	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep2	Astrocytes	-2.18980218659683	0.269404898799537	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep3	Astrocytes	2.903049313513	0.561304243266962	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep4	Astrocytes	6.26632147537518	0.754071878312267	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_VH_rep5	Astrocytes	1.55841846117311	0.484236049870743	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep1	Astrocytes	2.95952452183309	0.564541148228149	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep2	Astrocytes	-1.41612312960858	0.313748702964684	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep3	Astrocytes	-3.79935802485943	0.177152396628124	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep4	Astrocytes	-5.10800970691146	0.102146367467654	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_3m_hp_AD11_rep5	Astrocytes	-0.396767959193365	0.372173557099399	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep1	Astrocytes	1.04569477205679	0.454849033826245	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep2	Astrocytes	-5.43347851542426	0.083491959058646	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep3	Astrocytes	-3.15407381518627	0.214137185561144	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE63617_6m_hp_AD11_rep4	Astrocytes	7.94042360376803	0.850023883557041	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	GSE63617_6m_hp_AD11_rep4	Other models
GSE63617_6m_hp_AD11_rep5	Astrocytes	5.53405815790689	0.712101838081971	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE63617	NA	Other models
GSE64398_WT_2m_Hipp_rep1	Astrocytes	-3.55007885532483	0.191439957570155	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep10	Astrocytes	4.50861887248303	0.653328269836379	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep11	Astrocytes	0.951067275484829	0.449425411280535	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep12	Astrocytes	9.22549854550013	0.923678599991444	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_WT_2m_Hipp_rep12	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep2	Astrocytes	1.42853650176351	0.476791800061184	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep3	Astrocytes	1.57674534883865	0.485286464652243	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep4	Astrocytes	0.342872423742873	0.414566417546256	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep5	Astrocytes	-1.7643507470941	0.293789861976039	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep6	Astrocytes	-1.30996618857973	0.319833141416565	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_2m_Hipp_rep7	Astrocytes	-0.224263494647178	0.382060737221901	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_2m_Hipp_rep8	Astrocytes	-1.5343087316197	0.306974835760469	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_2m_Hipp_rep9	Astrocytes	-1.93045476141947	0.284269526876157	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep1	Astrocytes	-3.25071298650275	0.208598262865961	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep2	Astrocytes	-1.28119873191199	0.321481962660053	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep3	Astrocytes	-0.307532674938567	0.377288122284891	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep4	Astrocytes	-1.18259391993162	0.327133547038232	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_WT_4m_Hipp_rep5	Astrocytes	0.327147132384934	0.413665114565236	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep6	Astrocytes	3.16681284657329	0.576421982787356	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep7	Astrocytes	-1.74023325761899	0.295172168011829	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep8	Astrocytes	5.48834905894548	0.709481998091988	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_4m_Hipp_rep9	Astrocytes	6.74330587823066	0.781410479194641	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep1	Astrocytes	-6.89018664786197	1.52719178131341e-16	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_WT_8m_Hipp_rep1	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep10	Astrocytes	10.5570998796287	1	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_WT_8m_Hipp_rep10	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep2	Astrocytes	-2.34670122001257	0.260412151808851	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep3	Astrocytes	0.507105345791758	0.423979510051507	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep4	Astrocytes	2.47032306011556	0.536502320474233	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep5	Astrocytes	-4.53157116675219	0.135185232236168	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep6	Astrocytes	-1.73092998644469	0.295705389676966	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep7	Astrocytes	-1.95228423782456	0.283018359459912	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep8	Astrocytes	-2.6622127352724	0.242328450669267	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_8m_Hipp_rep9	Astrocytes	-2.53950655310305	0.249361417198246	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep1	Astrocytes	-2.02915499181551	0.278612473543507	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep2	Astrocytes	-2.27607200356324	0.264460300862748	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep3	Astrocytes	9.55723634571345	0.942692318811882	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_WT_18m_Hipp_rep3	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep4	Astrocytes	2.12687229271829	0.516817267050245	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep5	Astrocytes	2.49248789715618	0.537772709253927	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep6	Astrocytes	-0.0699315748767286	0.390906348803236	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_WT_18m_Hipp_rep7	Astrocytes	-1.90107860234524	0.285953236204134	WT	NA	NA	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep1	Astrocytes	-0.144560232758071	0.386628969752703	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep2	Astrocytes	-4.58049645328235	0.13238105483855	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep3	Astrocytes	-2.27262583840193	0.264657819551736	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_2m_Hipp_rep4	Astrocytes	-0.557598132876069	0.362955494827694	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep1	Astrocytes	-3.81996339389641	0.175971389541176	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep2	Astrocytes	-2.98640614813669	0.223747142203135	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep3	Astrocytes	0.533445631431307	0.425489216767107	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_ho_TASTPM_2m_Hipp_rep4	Astrocytes	-1.54915251335708	0.306124056946583	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep1	Astrocytes	-0.569194321101115	0.362290853468891	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep2	Astrocytes	-5.18149163598135	0.0979347137555366	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep3	Astrocytes	-3.2311621757331	0.209718827415574	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_2m_Hipp_rep4	Astrocytes	-4.02822256203473	0.164034910604456	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAU_2m_Hipp_rep2	Astrocytes	1.23858872116209	0.465904847508296	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_2m_Hipp_rep3	Astrocytes	-0.00641548367198669	0.394546805507186	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_2m_Hipp_rep4	Astrocytes	-0.646610134279197	0.357853727211114	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TPM_2m_Hipp_rep1	Astrocytes	4.54291415404517	0.655293921143137	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_2m_Hipp_rep2	Astrocytes	1.74021032732084	0.494655542085838	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_2m_Hipp_rep3	Astrocytes	7.54156909733952	0.827163336972902	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_TPM_2m_Hipp_rep3	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep1	Astrocytes	-5.5729024619263	0.0755008054610729	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep2	Astrocytes	2.82556524109754	0.556863204696674	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep3	Astrocytes	-1.71603189414389	0.296559281328102	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_het_TASTPM_4m_Hipp_rep4	Astrocytes	1.86728045939856	0.501938630598055	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_4m_Hipp_rep1	Astrocytes	4.31304942359848	0.642119108539211	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAS10_4m_Hipp_rep2	Astrocytes	-2.40209003754703	0.25723751388179	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TAU_4m_Hipp_rep1	Astrocytes	-5.37854796484603	0.0866403311846884	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep2	Astrocytes	-0.369547673067917	0.373733701485322	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep3	Astrocytes	-2.21037350114311	0.268225843562847	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TAU_4m_Hipp_rep4	Astrocytes	0.860648007687254	0.44424298548297	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	TAU transgenic models
GSE64398_TPM_4m_Hipp_rep1	Astrocytes	7.14374763628412	0.80436199990375	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	GSE64398_TPM_4m_Hipp_rep1	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep2	Astrocytes	5.64168089669767	0.718270289469595	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep3	Astrocytes	-0.495945278583735	0.366489159171154	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_4m_Hipp_rep4	Astrocytes	1.84896773280748	0.500889027465659	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep1	Astrocytes	-3.47118154963663	0.195961996316059	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep2	Astrocytes	-1.5104963673523	0.308339653391559	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep3	Astrocytes	-0.0402907348379529	0.392605228453781	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_8m_Hipp_rep4	Astrocytes	-2.37625726330492	0.258718132326464	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep1	Astrocytes	0.0325832678949639	0.396782038562223	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep2	Astrocytes	1.05934640404191	0.455631483977654	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE64398_TPM_18m_Hipp_rep3	Astrocytes	1.84616591294993	0.500728439751739	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		glia	AD early	GSE64398	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_1	Dentate granule cells	-1.08947474234585	0.643324020842179	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_2	Dentate granule cells	1.98156210265788	0.894029138070662	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_3	Dentate granule cells	-0.562322332434676	0.686358283664218	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_4	Dentate granule cells	-0.159329227041935	0.719256760246851	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_5	Dentate granule cells	2.3335856507857	0.922766697844376	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_6	Dentate granule cells	1.54526707610577	0.85841204804587	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_7	Dentate granule cells	0.66384002235269	0.786456456500613	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_WT_8	Dentate granule cells	1.2554415404737	0.83475204376925	WT	NA	NA	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_1	Dentate granule cells	-1.61330606507158	0.600560876080317	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_2	Dentate granule cells	0.247008466532518	0.752428273401332	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_3	Dentate granule cells	-1.15732257817117	0.637785240132999	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_4	Dentate granule cells	-0.521909582347527	0.689657391997812	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_5	Dentate granule cells	0.186166400002881	0.747461411005476	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_6	Dentate granule cells	-1.73418072058412	0.590693233258146	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
GSE36237_HippVeh_TG_7	Dentate granule cells	-0.1838516939301	0.71725486048263	Disease	0.142825595188615	0.142825595188615	mixed_model	early	AD		neurons	AD early	GSE36237	NA	Amyloid transgenic models
