Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Ptov1	prostate tumor over expressed gene 1	1.40e-03	1.83e-01	-0.2276	0.0675
		Per3	period circadian clock 3	1.52e-03	1.87e-01	-0.1783	0.0551
		Gpr68	G protein-coupled receptor 68	1.59e-03	1.94e-01	-0.1288	0.04
		Nup62	nucleoporin 62	1.82e-03	2.05e-01	-0.102	0.0321
		Cox4i1	cytochrome c oxidase subunit IV isoform 1	1.85e-03	2.05e-01	-0.0625	0.0197
		Eef2	eukaryotic translation elongation factor 2	1.85e-03	2.05e-01	-0.1435	0.0452
		Ube2w	ubiquitin-conjugating enzyme E2W (putative)	1.92e-03	2.09e-01	-0.0949	0.0291
		Agmo	alkylglycerol monooxygenase	1.99e-03	2.12e-01	-0.3724	0.1139
		Ica1	islet cell autoantigen 1	2.00e-03	2.12e-01	-0.0928	0.0295
		Il17d	interleukin 17D	2.02e-03	2.12e-01	-0.17	0.054
		Nkain2	Na+/K+ transporting ATPase interacting 2	2.03e-03	2.12e-01	-0.1499	0.0476
		Tmem151b	transmembrane protein 151B	2.06e-03	2.13e-01	-0.1721	0.0546
		Fam78b	family with sequence similarity 78, member B	2.08e-03	2.13e-01	-0.0888	0.0283
		Oaf	out at first homolog	2.11e-03	2.14e-01	-0.1131	0.0361
		Kif1a	kinesin family member 1A	2.20e-03	2.19e-01	-0.0854	0.0274
		Zfp710	zinc finger protein 710	2.42e-03	2.22e-01	-0.0718	0.0232
		B3gat3	beta-1,3-glucuronyltransferase 3 (glucuronosyltransferase I)	2.48e-03	2.22e-01	-0.0806	0.0262
		Tatdn2	TatD DNase domain containing 2	2.49e-03	2.22e-01	-0.1063	0.0345
		Wnt10a	wingless-type MMTV integration site family, member 10A	2.49e-03	2.22e-01	-0.2004	0.0651
		Gm15631	NA	2.52e-03	2.22e-01	-0.3565	0.1129
		Tox4	TOX high mobility group box family member 4	2.56e-03	2.22e-01	-0.0719	0.0234
		Mars	methionine-tRNA synthetase	2.57e-03	2.22e-01	-0.0785	0.0256
		Cenpb	centromere protein B	2.58e-03	2.22e-01	-0.1156	0.0377
		Cdk19	cyclin-dependent kinase 19	2.59e-03	2.22e-01	-0.0867	0.0282
		Cwf19l1	CWF19-like 1, cell cycle control (S. pombe)	2.61e-03	2.22e-01	-0.1522	0.0484
