Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Pdyn	prodynorphin	8.01e-05	4.62e-02	-0.2888	0.0703
		Rgs9	regulator of G-protein signaling 9	1.07e-04	4.92e-02	-0.4206	0.1043
		Crybb1	crystallin, beta B1	1.08e-04	4.92e-02	-0.1834	0.0455
		Gucy1a3	guanylate cyclase 1, soluble, alpha 3	1.09e-04	4.92e-02	-0.3136	0.0778
		Cchcr1	coiled-coil alpha-helical rod protein 1	1.28e-04	5.50e-02	-0.2609	0.0655
		Camkk2	calcium/calmodulin-dependent protein kinase kinase 2, beta	1.63e-04	6.36e-02	-0.2565	0.0655
		Atrnl1	attractin like 1	1.84e-04	6.46e-02	-0.3728	0.0904
		Ang	angiogenin, ribonuclease, RNase A family, 5	2.20e-04	7.37e-02	-0.2052	0.0533
		Wipf2	WAS/WASL interacting protein family, member 2	2.59e-04	8.05e-02	-0.1518	0.0401
		Sppl2b	signal peptide peptidase like 2B	2.75e-04	8.05e-02	-0.1253	0.0333
		Cox8a	cytochrome c oxidase subunit VIIIa	2.81e-04	8.05e-02	-0.1175	0.0311
		Cdh4	cadherin 4	4.59e-04	1.10e-01	-0.2622	0.0724
		Col5a3	collagen, type V, alpha 3	4.64e-04	1.10e-01	-0.2025	0.056
		Lrrc58	leucine rich repeat containing 58	4.88e-04	1.10e-01	-0.2274	0.0604
		Slc12a6	solute carrier family 12, member 6	5.36e-04	1.12e-01	-0.1242	0.0346
		Il17d	interleukin 17D	5.75e-04	1.12e-01	-0.2331	0.0656
		Slc1a3	solute carrier family 1 (glial high affinity glutamate transporter), member 3	6.21e-04	1.12e-01	-0.1103	0.0312
		Zfp91	zinc finger protein 91	6.48e-04	1.12e-01	-0.2403	0.0636
		Sfxn1	sideroflexin 1	6.71e-04	1.12e-01	-0.0923	0.0263
		Extl3	exostoses (multiple)-like 3	6.77e-04	1.12e-01	-0.1148	0.0328
		Galt	galactose-1-phosphate uridyl transferase	6.88e-04	1.12e-01	-0.1483	0.0424
		Pstpip1	proline-serine-threonine phosphatase-interacting protein 1	6.92e-04	1.12e-01	-0.2094	0.0597
		Cited4	Cbp/p300-interacting transactivator, with Glu/Asp-rich carboxy-terminal domain, 4	7.18e-04	1.13e-01	-0.3103	0.089
		Unc13c	unc-13 homolog C (C. elegans)	7.39e-04	1.15e-01	-0.4142	0.119
		Rad54b	RAD54 homolog B (S. cerevisiae)	7.73e-04	1.18e-01	-0.1874	0.0541
		Akap8l	A kinase (PRKA) anchor protein 8-like	8.01e-04	1.19e-01	-0.1441	0.0417
		Edn1	endothelin 1	8.23e-04	1.19e-01	-0.1993	0.0579
		Ccrl2	chemokine (C-C motif) receptor-like 2	8.73e-04	1.24e-01	-0.1897	0.0554
		Pramef8	PRAME family member 8	9.10e-04	1.25e-01	-0.1498	0.0438
		Smagp	small cell adhesion glycoprotein	9.24e-04	1.25e-01	-0.1622	0.0474
		Slc30a9	solute carrier family 30 (zinc transporter), member 9	9.41e-04	1.25e-01	-0.1808	0.051
		Ppme1	protein phosphatase methylesterase 1	9.96e-04	1.28e-01	-0.107	0.0316
		Lmtk2	lemur tyrosine kinase 2	1.23e-03	1.45e-01	-0.1332	0.0399
		Fzd9	frizzled class receptor 9	1.30e-03	1.46e-01	-0.264	0.0752
		Fam120a	family with sequence similarity 120, member A	1.30e-03	1.46e-01	-0.1986	0.0565
		Fstl4	follistatin-like 4	1.30e-03	1.46e-01	-0.2035	0.0616
		Map3k5	mitogen-activated protein kinase kinase kinase 5	1.34e-03	1.46e-01	-0.2221	0.0649
		Phactr1	phosphatase and actin regulator 1	1.36e-03	1.46e-01	-0.1758	0.0534
		Arhgef19	Rho guanine nucleotide exchange factor (GEF) 19	1.36e-03	1.46e-01	-0.1263	0.0384
		Meis2	Meis homeobox 2	1.41e-03	1.48e-01	-0.2845	0.0868
		Nrn1l	neuritin 1-like	1.43e-03	1.48e-01	-0.1909	0.0583
		Rbm19	RNA binding motif protein 19	1.45e-03	1.48e-01	-0.0997	0.0305
