Bioassay	ExternalID	Batch	Genotype	OrganismPart	Gender	Timepoint	Sample	Dataset	notes	category
GSE63617_Biomat_10___BioAssayImplId=380406Name=3m_bfb_VH[NFND_251269423824_S01_GE2.v4_91]	GSM1553773	Batch_04_02_02_07	WT	Basal_forebrain	F	3_months	3m_bfb_VH_rep5	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_11___BioAssayImplId=380405Name=3m_ctx_AD11[NFND_251269423531_S01_GE2.v4_91]	GSM1553774	Batch_03_31_01_07	AD11	Cortex	F	3_months	3m_ctx_AD11_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_12___BioAssayImplId=380404Name=3m_ctx_AD11[NFND_251269423537_S01_GE2.v4_91]	GSM1553775	Batch_03_31_01_07	AD11	Cortex	F	3_months	3m_ctx_AD11_rep2	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_13___BioAssayImplId=380403Name=3m_ctx_AD11[NFND_251269423539_S01_GE2.v4_91]	GSM1553776	Batch_03_31_01_07	AD11	Cortex	F	3_months	3m_ctx_AD11_rep3	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_14___BioAssayImplId=380402Name=3m_ctx_AD11[NFND_251269423541_S01_GE2.v4_91]	GSM1553777	Batch_03_31_01_07	AD11	Cortex	F	3_months	3m_ctx_AD11_rep4	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_15___BioAssayImplId=380401Name=3m_ctx_AD11[NFND_251269423544_S01_GE2.v4_91]	GSM1553778	Batch_03_31_01_07	AD11	Cortex	F	3_months	3m_ctx_AD11_rep5	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_16___BioAssayImplId=380400Name=3m_ctx_VH[NFND_251269423536_S01_GE2.v4_91]	GSM1553779	Batch_03_31_01_07	WT	Cortex	F	3_months	3m_ctx_VH_rep1	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_17___BioAssayImplId=380399Name=3m_ctx_VH[NFND_251269423538_S01_GE2.v4_91]	GSM1553780	Batch_03_31_01_07	WT	Cortex	F	3_months	3m_ctx_VH_rep2	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_18___BioAssayImplId=380398Name=3m_ctx_VH[NFND_251269423540_S01_GE2.v4_91]	GSM1553781	Batch_03_31_01_07	WT	Cortex	F	3_months	3m_ctx_VH_rep3	GSE63617.1	Removed due to subset	removed by subset
GSE63617_Biomat_19___BioAssayImplId=380397Name=3m_ctx_VH[NFND_251269423542_S01_GE2.v4_91]	GSM1553782	Batch_03_31_01_07	WT	Cortex	F	3_months	3m_ctx_VH_rep4	GSE63617.1	Removed due to subset	removed by subset
ModeledafterGSE63617_Biomat_20___BioAssayImplId=380396Name=3m_ctx_VH[NFND_251269423545_S01_GE2.v4_91]	GSM1553783	Batch_03_31_01_07	WT	Cortex	F	3_months	3m_ctx_VH_rep5	GSE63617.1	Removed due to subset	removed by subset
