Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Nrarp	Notch-regulated ankyrin repeat protein	7.38e-08	0e+00	-0.2821	0.0484
		Vegfc	vascular endothelial growth factor C	1.58e-07	0e+00	-0.2073	0.0368
		Fbxo27	F-box protein 27	1.74e-07	0e+00	-0.2191	0.0389
		Spred2	sprouty-related, EVH1 domain containing 2	2.62e-07	0e+00	-0.3467	0.0628
		Igfbp4	insulin-like growth factor binding protein 4	2.75e-07	0e+00	-0.3759	0.0682
		Eloc	NA	4.53e-07	0e+00	-0.1557	0.0288
		Khdrbs1	KH domain containing, RNA binding, signal transduction associated 1	6.13e-07	0e+00	-0.1726	0.0324
		Kcnq3	potassium voltage-gated channel, subfamily Q, member 3	7.74e-07	0e+00	-0.215	0.0407
		Stt3b	STT3, subunit of the oligosaccharyltransferase complex, homolog B (S. cerevisiae)	9.61e-07	0e+00	-0.093	0.0178
		Mkx	mohawk homeobox	1.11e-06	1e-04	-0.3311	0.0638
		Mmp16	matrix metallopeptidase 16	1.17e-06	1e-04	-0.2901	0.0561
		Ndrg3	N-myc downstream regulated gene 3	1.24e-06	1e-04	-0.1635	0.0317
		Prr3	proline-rich polypeptide 3	1.41e-06	1e-04	-0.1191	0.0232
		Rgs7	regulator of G protein signaling 7	1.77e-06	1e-04	-0.1545	0.0304
		Plpp6	NA	1.85e-06	1e-04	-0.2438	0.048
		Nyap1	neuronal tyrosine-phosphorylated phosphoinositide 3-kinase adaptor 1	1.88e-06	1e-04	-0.2804	0.0553
		Il17d	interleukin 17D	2.01e-06	1e-04	-0.2527	0.05
		Kras	Kirsten rat sarcoma viral oncogene homolog	2.11e-06	1e-04	-0.1705	0.0339
		Fjx1	four jointed box 1 (Drosophila)	2.83e-06	1e-04	-0.2708	0.0545
		6430573F11Rik	RIKEN cDNA 6430573F11 gene	2.91e-06	1e-04	-0.2565	0.0517
		Cinp	cyclin-dependent kinase 2 interacting protein	3.25e-06	1e-04	-0.1661	0.0337
		Cadps2	Ca2+-dependent activator protein for secretion 2	3.45e-06	1e-04	-0.2281	0.0463
		Ppp3r1	protein phosphatase 3, regulatory subunit B, alpha isoform (calcineurin B, type I)	3.68e-06	1e-04	-0.2691	0.0545
		Rbfox2	RNA binding protein, fox-1 homolog (C. elegans) 2	3.78e-06	1e-04	-0.2733	0.0559
		Myt1l	myelin transcription factor 1-like	3.91e-06	1e-04	-0.1674	0.0343
		Ccdc32	coiled-coil domain containing 32	4.09e-06	2e-04	-0.1559	0.0319
		Ppp3cb	protein phosphatase 3, catalytic subunit, beta isoform	4.73e-06	2e-04	-0.1175	0.0243
		Alg11	asparagine-linked glycosylation 11 (alpha-1,2-mannosyltransferase)	4.75e-06	2e-04	-0.243	0.0502
		Map3k5	mitogen-activated protein kinase kinase kinase 5	4.77e-06	2e-04	-0.2263	0.0433
		Wwc1	WW, C2 and coiled-coil domain containing 1	6.32e-06	2e-04	-0.1863	0.0388
		Commd2	COMM domain containing 2	7.16e-06	2e-04	-0.2462	0.0521
		AI593442	expressed sequence AI593442	7.78e-06	3e-04	-0.1791	0.038
		Nos1ap	nitric oxide synthase 1 (neuronal) adaptor protein	8.22e-06	3e-04	-0.2635	0.0556
		Ggct	gamma-glutamyl cyclotransferase	8.84e-06	3e-04	-0.1666	0.0356
		R3hdm1	R3H domain containing 1	9.28e-06	3e-04	-0.3759	0.0805
		Nop58	NOP58 ribonucleoprotein	9.81e-06	3e-04	-0.2441	0.0524
		Sfpq	splicing factor proline/glutamine rich (polypyrimidine tract binding protein associated)	9.95e-06	3e-04	-0.1494	0.0321
		Mturn	maturin, neural progenitor differentiation regulator homolog (Xenopus)	1.02e-05	3e-04	-0.2841	0.061
		Gpd1	glycerol-3-phosphate dehydrogenase 1 (soluble)	1.29e-05	4e-04	-0.2046	0.0446
		Dnajb5	DnaJ heat shock protein family (Hsp40) member B5	1.38e-05	4e-04	-0.231	0.0506
		Npy	neuropeptide Y	1.44e-05	4e-04	-0.3173	0.0696
		Lrrfip1	leucine rich repeat (in FLII) interacting protein 1	1.47e-05	5e-04	-0.1337	0.0294
		Plppr5	NA	1.52e-05	5e-04	-0.1854	0.0408
		Arid5b	AT rich interactive domain 5B (MRF1-like)	1.64e-05	5e-04	-0.3093	0.0683
		Etv5	ets variant 5	1.67e-05	5e-04	-0.2188	0.0483
		Zfp385b	zinc finger protein 385B	1.73e-05	5e-04	-0.258	0.0529
		Atp2a2	ATPase, Ca++ transporting, cardiac muscle, slow twitch 2	1.79e-05	5e-04	-0.1006	0.0223
