Disease	Regulation	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	5.11e-04	1.87e-01	-0.1532	0.043
		Decr1	2,4-dienoyl CoA reductase 1, mitochondrial	5.58e-04	1.87e-01	-0.1338	0.0379
		Gpr68	G protein-coupled receptor 68	5.82e-04	1.87e-01	-0.1607	0.0456
		Ttyh2	tweety family member 2	5.84e-04	1.87e-01	-0.1583	0.0449
		Zfp710	zinc finger protein 710	7.05e-04	2.14e-01	-0.0833	0.024
		Fam53b	family with sequence similarity 53, member B	7.07e-04	2.14e-01	-0.153	0.0442
		Pdia4	protein disulfide isomerase associated 4	7.31e-04	2.15e-01	-0.1612	0.0466
		Gbp3	guanylate binding protein 3	7.75e-04	2.20e-01	-0.18	0.0523
		Oaf	out at first homolog	8.28e-04	2.20e-01	-0.1373	0.0401
		Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	8.51e-04	2.20e-01	-0.124	0.0364
		Acer2	alkaline ceramidase 2	8.68e-04	2.20e-01	-0.1771	0.052
		Gm15631	NA	9.18e-04	2.22e-01	-0.345	0.0986
		Il17d	interleukin 17D	9.98e-04	2.35e-01	-0.1817	0.054
		Src	Rous sarcoma oncogene	1.04e-03	2.35e-01	-0.1311	0.0391
		Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4	1.09e-03	2.42e-01	-0.1964	0.0589
		Entpd4	ectonucleoside triphosphate diphosphohydrolase 4	1.15e-03	2.43e-01	-0.1595	0.048
		Rbm3	RNA binding motif protein 3	1.20e-03	2.43e-01	-0.2134	0.0644
		Stxbp4	syntaxin binding protein 4	1.21e-03	2.43e-01	-0.102	0.0308
		Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	1.28e-03	2.54e-01	-0.0948	0.0288
		Rnf166	ring finger protein 166	1.36e-03	2.64e-01	-0.11	0.0337
		Scrt2	scratch family zinc finger 2	1.43e-03	2.72e-01	-0.1689	0.0503
		Atf5	activating transcription factor 5	1.59e-03	2.94e-01	-0.1344	0.0417
		Foxk1	forkhead box K1	1.72e-03	3.06e-01	-0.1504	0.047
		Tox4	TOX high mobility group box family member 4	1.81e-03	3.13e-01	-0.0782	0.0246
		Herc6	hect domain and RLD 6	1.91e-03	3.19e-01	-0.1836	0.0562
		Timm29	NA	2.28e-03	3.53e-01	-0.0806	0.0259
		Mcur1	mitochondrial calcium uniporter regulator 1	2.39e-03	3.53e-01	-0.1245	0.0389
		Bcl7b	B cell CLL/lymphoma 7B	2.70e-03	3.78e-01	-0.109	0.0357
		Csde1	cold shock domain containing E1, RNA binding	2.74e-03	3.78e-01	-0.0875	0.0287
		Vars2	valyl-tRNA synthetase 2, mitochondrial	2.78e-03	3.78e-01	-0.1057	0.0347
		Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	2.80e-03	3.78e-01	-0.0977	0.0321
		Fam118b	family with sequence similarity 118, member B	2.83e-03	3.78e-01	-0.1037	0.0341
		Itpr2	inositol 1,4,5-triphosphate receptor 2	2.86e-03	3.78e-01	-0.0911	0.03
		Zfp277	zinc finger protein 277	2.88e-03	3.78e-01	-0.0941	0.031
		Fastkd5	FAST kinase domains 5	3.03e-03	3.90e-01	-0.0943	0.0313
		Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	3.08e-03	3.90e-01	-0.1338	0.0444
		Btbd9	BTB (POZ) domain containing 9	3.09e-03	3.90e-01	-0.1371	0.0455
		Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	3.19e-03	3.93e-01	-0.1327	0.0443
		Cttn	cortactin	3.25e-03	3.93e-01	-0.1573	0.0525
		Calm3	calmodulin 3	3.34e-03	3.94e-01	-0.0763	0.0255
		Igfbp4	insulin-like growth factor binding protein 4	3.39e-03	3.94e-01	-0.1596	0.0535
		Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	3.48e-03	3.94e-01	-0.1311	0.0441
		Ccr5	chemokine (C-C motif) receptor 5	3.51e-03	3.94e-01	-0.1308	0.0441
