Bioassay	ExternalID	Genotype	Timepoint	OrganismPart	Gender	Sample	Dataset	ExpMatrixName	category	notes	Treatment	Batch
GSE26317_Biomat_12___BioAssayImplId=132115Name=cx.tg.4b.2	GSM646221	R62_300Q	5_months	Cerebral_cortex	F	cx.tg.4b.2	GSE26317	GSE26317_Biomat_12___BioAssayImplId=132115Name=cx.tg.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_11___BioAssayImplId=132114Name=cx.tg.4b.3	GSM646222	R62_300Q	5_months	Cerebral_cortex	M	cx.tg.4b.3	GSE26317	GSE26317_Biomat_11___BioAssayImplId=132114Name=cx.tg.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_10___BioAssayImplId=132113Name=cx.tg.4b.4	GSM646223	R62_300Q	5_months	Cerebral_cortex	F	cx.tg.4b.4	GSE26317	GSE26317_Biomat_10___BioAssayImplId=132113Name=cx.tg.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_27___BioAssayImplId=132108Name=cx.wt.4b.1	GSM646228	WT	5_months	Cerebral_cortex	F	cx.wt.4b.1	GSE26317	GSE26317_Biomat_27___BioAssayImplId=132108Name=cx.wt.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_29___BioAssayImplId=132107Name=cx.wt.4b.2	GSM646229	WT	5_months	Cerebral_cortex	F	cx.wt.4b.2	GSE26317	GSE26317_Biomat_29___BioAssayImplId=132107Name=cx.wt.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_42___BioAssayImplId=132106Name=cx.wt.4b.3	GSM646230	WT	5_months	Cerebral_cortex	F	cx.wt.4b.3	GSE26317	GSE26317_Biomat_42___BioAssayImplId=132106Name=cx.wt.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_39___BioAssayImplId=132105Name=cx.wt.4b.4	GSM646231	WT	5_months	Cerebral_cortex	M	cx.wt.4b.4	GSE26317	GSE26317_Biomat_39___BioAssayImplId=132105Name=cx.wt.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_36___BioAssayImplId=132100Name=str.tg.4b.1	GSM646236	R62_300Q	5_months	Striatum	F	str.tg.4b.1	GSE26317	GSE26317_Biomat_36___BioAssayImplId=132100Name=str.tg.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_34___BioAssayImplId=132099Name=str.tg.4b.2	GSM646237	R62_300Q	5_months	Striatum	F	str.tg.4b.2	GSE26317	GSE26317_Biomat_34___BioAssayImplId=132099Name=str.tg.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_41___BioAssayImplId=132098Name=str.tg.4b.3	GSM646238	R62_300Q	5_months	Striatum	F	str.tg.4b.3	GSE26317	GSE26317_Biomat_41___BioAssayImplId=132098Name=str.tg.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_38___BioAssayImplId=132097Name=str.tg.4b.4	GSM646239	R62_300Q	5_months	Striatum	F	str.tg.4b.4	GSE26317	GSE26317_Biomat_38___BioAssayImplId=132097Name=str.tg.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_30___BioAssayImplId=132092Name=str.wt.4b.1	GSM646244	WT	5_months	Striatum	F	str.wt.4b.1	GSE26317	GSE26317_Biomat_30___BioAssayImplId=132092Name=str.wt.4b.1	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_15___BioAssayImplId=132091Name=str.wt.4b.2	GSM646245	WT	5_months	Striatum	F	str.wt.4b.2	GSE26317	GSE26317_Biomat_15___BioAssayImplId=132091Name=str.wt.4b.2	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_17___BioAssayImplId=132090Name=str.wt.4b.3	GSM646246	WT	5_months	Striatum	M	str.wt.4b.3	GSE26317	GSE26317_Biomat_17___BioAssayImplId=132090Name=str.wt.4b.3	removed by subset	Removed due to subset	HDACi_4b	NA
GSE26317_Biomat_19___BioAssayImplId=132089Name=str.wt.4b.4	GSM646247	WT	5_months	Striatum	M	str.wt.4b.4	GSE26317	GSE26317_Biomat_19___BioAssayImplId=132089Name=str.wt.4b.4	removed by subset	Removed due to subset	HDACi_4b	NA
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep1	GSM1168515	DREAM_KO	10-12_weeks	Striatum	NA	DREAM_KO_rep1	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep2	GSM1168516	DREAM_KO	10-12_weeks	Striatum	NA	DREAM_KO_rep2	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep3	GSM1168517	DREAM_KO	10-12_weeks	Striatum	NA	DREAM_KO_rep3	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=DREAM_KO_rep4	GSM1168518	DREAM_KO	10-12_weeks	Striatum	NA	DREAM_KO_rep4	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep1	GSM1168511	R62_DREAM_KO	10-12_weeks	Striatum	NA	R62_DREAM_KO_rep1	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep2	GSM1168512	R62_DREAM_KO	10-12_weeks	Striatum	NA	R62_DREAM_KO_rep2	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep3	GSM1168513	R62_DREAM_KO	10-12_weeks	Striatum	NA	R62_DREAM_KO_rep3	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE48104_Biomat_00___BioAssayImplId=9999Name=R62_DREAM_KO_rep4	GSM1168514	R62_DREAM_KO	10-12_weeks	Striatum	NA	R62_DREAM_KO_rep4	GSE48104	NA	removed by subset	Removed due to subset	NA	Batch_2
GSE9038_Biomat_17___BioAssayImplId=192750Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep1	GSM229453	HdhQ111	3-10_weeks	Cerebellum	M	HdhQ111_cerebellum_rep1	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_19___BioAssayImplId=192749Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep2	GSM229454	HdhQ111	3-10_weeks	Cerebellum	M	HdhQ111_cerebellum_rep2	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_14___BioAssayImplId=192748Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep3	GSM229455	HdhQ111	3-10_weeks	Cerebellum	M	HdhQ111_cerebellum_rep3	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_5___BioAssayImplId=192744Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep4	GSM229459	HdhQ111	3-10_weeks	Cerebellum	F	HdhQ111_cerebellum_rep4	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_04_08_10_04
GSE9038_Biomat_7___BioAssayImplId=192743Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep5	GSM229460	HdhQ111	3-10_weeks	Cerebellum	F	HdhQ111_cerebellum_rep5	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_03_05_10_04
GSE9038_Biomat_8___BioAssayImplId=192742Name=HdhQ111/HdhQ111cerebellumat3~10weeksbiologicalrep6	GSM229461	HdhQ111	3-10_weeks	Cerebellum	M	HdhQ111_cerebellum_rep6	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_03_05_10_04
GSE9038_Biomat_6___BioAssayImplId=192753Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep1	GSM229450	WT	3-10_weeks	Cerebellum	M	WT_cerebellum_rep1	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_21___BioAssayImplId=192752Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep2	GSM229451	WT	3-10_weeks	Cerebellum	M	WT_cerebellum_rep2	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_23___BioAssayImplId=192751Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep3	GSM229452	WT	3-10_weeks	Cerebellum	M	WT_cerebellum_rep3	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_02_11_08_04
GSE9038_Biomat_15___BioAssayImplId=192747Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep4	GSM229456	WT	3-10_weeks	Cerebellum	M	WT_cerebellum_rep4	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_03_05_10_04
GSE9038_Biomat_9___BioAssayImplId=192746Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep5	GSM229457	WT	3-10_weeks	Cerebellum	M	WT_cerebellum_rep5	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_03_05_10_04
GSE9038_Biomat_12___BioAssayImplId=192745Name=Hdh+/Hdh+cerebellumat3~10weeksbiologicalrep6	GSM229458	WT	3-10_weeks	Cerebellum	F	WT_cerebellum_rep6	GSE9038	NA	removed by subset	Removed due to subset	NA	Batch_03_05_10_04
