Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types	Disease
GSE36237	GSE36237_HippVeh_TG_7	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE36237	GSE36237_HippVeh_TG_8	Disease	AD	1m	F	GSE36237	5	Tg2576	5m	early	1	GPL1261	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep10	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep11	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep12	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_2m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	2	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	TAU transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_4m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	4	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep10	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_8m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	8	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep1	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep2	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_WT_18m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	18	WT	NA	early	NA	NA	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_ho_TASTPM_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	ho_TASTPM	2, 4,8,18m	early	12	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_2m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_het_TASTPM_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	het_TASTPM	2, 4,8,18m	early	9	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAS10_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	TAS10	2-4m	early	7	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_8m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	8	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_18m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_18m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TPM_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	het_TPM	2, 4,8,18m	early	8	GPL6885	Amyloid transgenic models	AD
GSE64398	GSE64398_TAU_2m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_2m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_2m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	2	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE64398	GSE64398_TAU_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	TAU	2, 4,8,18m	early	13	GPL6885	TAU transgenic models	AD
GSE48622	GSE48622_WT_rep1	WT	WT	1m	M	GSE48622	2	WT	NA	early	NA	NA	KO models	AD
GSE48622	GSE48622_WT_rep2	WT	WT	1m	M	GSE48622	2	WT	NA	early	NA	NA	KO models	AD
GSE48622	GSE48622_WT_rep3	WT	WT	1m	M	GSE48622	2	WT	NA	early	NA	NA	KO models	AD
GSE48622	GSE48622_WT_rep4	WT	WT	1m	M	GSE48622	2	WT	NA	early	NA	NA	KO models	AD
GSE48622	GSE48622_APLP2KO_rep1	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models	AD
GSE48622	GSE48622_APLP2KO_rep2	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models	AD
GSE48622	GSE48622_APLP2KO_rep3	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models	AD
GSE48622	GSE48622_APLP2KO_rep4	Disease	AD	1m	M	GSE48622	2	APLP2_KO	2m	early	17	GPL1261	KO models	AD
GSE48622	GSE48622_APPKO_rep1	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models	AD
GSE48622	GSE48622_APPKO_rep2	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models	AD
GSE48622	GSE48622_APPKO_rep3	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models	AD
GSE48622	GSE48622_APPKO_rep4	Disease	AD	1m	M	GSE48622	2	APP_KO	2m	early	16	GPL1261	KO models	AD
GSE48622	GSE48622_N.dCKO_rep1	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models	AD
GSE48622	GSE48622_N.dCKO_rep2	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models	AD
GSE48622	GSE48622_N.dCKO_rep3	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models	AD
GSE48622	GSE48622_N.dCKO_rep4	Disease	AD	1m	M	GSE48622	2	N_dC_KO	2m	early	18	GPL1261	KO models	AD
GSE63617	GSE63617_3m_hp_VH_rep1	WT	WT	1m	F	GSE63617.1	3	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_3m_hp_VH_rep2	WT	WT	1m	F	GSE63617.1	3	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_3m_hp_VH_rep3	WT	WT	1m	F	GSE63617.1	3	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_3m_hp_VH_rep4	WT	WT	1m	F	GSE63617.1	3	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_3m_hp_VH_rep5	WT	WT	1m	F	GSE63617.1	3	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_6m_hp_VH_rep1	WT	WT	1m	F	GSE63617.2	6	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_6m_hp_VH_rep2	WT	WT	1m	F	GSE63617.2	6	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_6m_hp_VH_rep3	WT	WT	1m	F	GSE63617.2	6	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_6m_hp_VH_rep4	WT	WT	1m	F	GSE63617.2	6	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_6m_hp_VH_rep5	WT	WT	1m	F	GSE63617.2	6	WT	NA	early	NA	NA	Other models	AD
GSE63617	GSE63617_3m_hp_AD11_rep1	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_3m_hp_AD11_rep2	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_3m_hp_AD11_rep3	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_3m_hp_AD11_rep4	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_3m_hp_AD11_rep5	Disease	AD	1m	F	GSE63617.1	3	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_6m_hp_AD11_rep1	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_6m_hp_AD11_rep2	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_6m_hp_AD11_rep3	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_6m_hp_AD11_rep4	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE63617	GSE63617_6m_hp_AD11_rep5	Disease	AD	1m	F	GSE63617.2	6	AD11	3, 6m	early	19	GPL7042	Other models	AD
GSE9375	GSE9375_WT_4S	WT	WT	1m	F	GSE9375	12	WT	NA	early	NA	NA	CAG repeat KI	HD
GSE9375	GSE9375_WT_5S	WT	WT	1m	F	GSE9375	12	WT	NA	early	NA	NA	CAG repeat KI	HD
GSE9375	GSE9375_WT_6S	WT	WT	1m	F	GSE9375	12	WT	NA	early	NA	NA	CAG repeat KI	HD
GSE9375	GSE9375_Hdh4Q80_7S	Disease	HD	1m	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	CAG repeat KI	HD
GSE9375	GSE9375_Hdh4Q80_8S	Disease	HD	1m	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	CAG repeat KI	HD
GSE9375	GSE9375_Hdh4Q80_9S	Disease	HD	1m	F	GSE9375	12	Hdh4_Q80	12_months	early	6	GPL81	CAG repeat KI	HD
GSE7958	GSE7958_WT_3m_436	WT	WT	1m	M	GSE7958	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE7958	GSE7958_WT_3m_438	WT	WT	1m	F	GSE7958	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE7958	GSE7958_WT_3m_467	WT	WT	1m	M	GSE7958	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE7958	GSE7958_Q92_3m_439	Disease	HD	1m	F	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	Human HTT exon 1 KI	HD
GSE7958	GSE7958_Q92_3m_440	Disease	HD	1m	F	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	Human HTT exon 1 KI	HD
GSE7958	GSE7958_Q92_3m_466	Disease	HD	1m	M	GSE7958	3	HdhQ92_Q92	3_months	early	8	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep1	WT	WT	1m	F	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep2	WT	WT	1m	M	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep3	WT	WT	1m	F	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep4	WT	WT	1m	M	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep5	WT	WT	1m	M	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_WT_striatum_rep6	WT	WT	1m	F	GSE9038	1.625	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep1	Disease	HD	1m	F	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep2	Disease	HD	1m	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep3	Disease	HD	1m	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep4	Disease	HD	1m	F	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep5	Disease	HD	1m	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE9038	GSE9038_HdhQ111_striatum_rep6	Disease	HD	1m	M	GSE9038	1.625	HdhQ111	3-10_weeks	early	10	GPL1261	Human HTT exon 1 KI	HD
GSE50379	GSE50379_WT_rep1	WT	WT	1m	M	GSE50379	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE50379	GSE50379_WT_rep2	WT	WT	1m	M	GSE50379	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE50379	GSE50379_WT_rep3	WT	WT	1m	M	GSE50379	3	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE50379	GSE50379_HdhQ111_rep1	Disease	HD	1m	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	Human HTT exon 1 KI	HD
GSE50379	GSE50379_HdhQ111_rep2	Disease	HD	1m	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	Human HTT exon 1 KI	HD
GSE50379	GSE50379_HdhQ111_rep3	Disease	HD	1m	M	GSE50379	3	HdhQ111	3_months	early	11	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_WT_rep1	WT	WT	1m	M	GSE32417	6	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_WT_rep2	WT	WT	1m	M	GSE32417	6	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_WT_rep3	WT	WT	1m	F	GSE32417	6	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_WT_rep4	WT	WT	1m	F	GSE32417	6	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_WT_rep5	WT	WT	1m	F	GSE32417	6	WT	NA	early	NA	NA	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_HdhQ150_rep1	Disease	HD	1m	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_HdhQ150_rep2	Disease	HD	1m	M	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_HdhQ150_rep3	Disease	HD	1m	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_HdhQ150_rep4	Disease	HD	1m	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	Human HTT exon 1 KI	HD
GSE32417	GSE32417_6m_HdhQ150_rep5	Disease	HD	1m	F	GSE32417	6	HdhQ150	6_months	early	12	GPL6246	Human HTT exon 1 KI	HD
GSE64386	GSE64386_Str_WT_2m_GN50_2	WT	WT	1m	F	GSE64386	2	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_2m_GN50_4	WT	WT	1m	F	GSE64386	2	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_2m_GN51_5	WT	WT	1m	M	GSE64386	2	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_2m_GN80_2	WT	WT	1m	M	GSE64386	2	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_7m_GN1_1	WT	WT	1m	M	GSE64386	7	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_7m_GN1_3	WT	WT	1m	M	GSE64386	7	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_7m_GN2_3	WT	WT	1m	F	GSE64386	7	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_WT_7m_HD12_1	WT	WT	1m	F	GSE64386	7	WT	NA	early	NA	NA	Full-length transgenic	HD
GSE64386	GSE64386_Str_TG_2m_GN50_1	Disease	HD	1m	F	GSE64386	2	BAC_HD	2, 7 months	early	15	GPL6885	Full-length transgenic	HD
