Disease	Regulation	Rank	Gene	Name	P-value	Adj. p	Slope estimate	Std. error
		9	Tap2	transporter 2, ATP-binding cassette, sub-family B (MDR/TAP)	5.14e-04	0.186	-0.1533	0.0431
		10	Snhg5	small nucleolar RNA host gene 5	4.28e-04	0.172	-0.1526	0.0406
		11	Hsd11b1	hydroxysteroid 11-beta dehydrogenase 1	3.13e-03	0.3908	-0.1336	0.0444
		12	Wbp11	WW domain binding protein 11	2.54e-04	0.1453	-0.1625	0.0433
		13	Acadl	acyl-Coenzyme A dehydrogenase, long-chain	4.08e-03	0.3974	-0.1054	0.0361
		14	Itpr2	inositol 1,4,5-triphosphate receptor 2	2.78e-03	0.3699	-0.0915	0.03
		15	Nkain2	Na+/K+ transporting ATPase interacting 2	4.12e-03	0.3974	-0.1379	0.0473
		16	Src	Rous sarcoma oncogene	1.01e-03	0.2332	-0.1314	0.0391
		17	Crhbp	corticotropin releasing hormone binding protein	1.13e-05	0.0205	-0.2705	0.0593
		18	Fam118b	family with sequence similarity 118, member B	2.79e-03	0.3699	-0.1039	0.0341
		19	Ripk3	receptor-interacting serine-threonine kinase 3	3.93e-03	0.3974	-0.1207	0.0412
		20	Slc9a3r1	solute carrier family 9 (sodium/hydrogen exchanger), member 3 regulator 1	2.78e-03	0.3699	-0.0977	0.0321
		21	Arap3	ArfGAP with RhoGAP domain, ankyrin repeat and PH domain 3	1.26e-03	0.2493	-0.0949	0.0288
		22	Ppm1f	protein phosphatase 1F (PP2C domain containing)	4.61e-03	0.4087	-0.0752	0.0261
		23	Herc6	hect domain and RLD 6	1.89e-03	0.3157	-0.1847	0.0565
		24	Mcur1	mitochondrial calcium uniporter regulator 1	2.37e-03	0.3532	-0.1242	0.0388
		25	1810026J23Rik	RIKEN cDNA 1810026J23 gene	2.25e-03	0.3483	-0.0806	0.0259
		26	Eef2	eukaryotic translation elongation factor 2	5.04e-03	0.4191	-0.1326	0.0465
		27	Zfp277	zinc finger protein 277	2.83e-03	0.3699	-0.0944	0.031
		28.5	Irf1	interferon regulatory factor 1	3.82e-03	0.3974	-0.1022	0.0348
		28.5	Cyp2d22	cytochrome P450, family 2, subfamily d, polypeptide 22	3.99e-03	0.3974	-0.1029	0.0351
		30	Trpc6	transient receptor potential cation channel, subfamily C, member 6	4.28e-03	0.3974	-0.2003	0.069
		31	Arhgef3	Rho guanine nucleotide exchange factor (GEF) 3	8.41e-04	0.2122	-0.1241	0.0363
		32	Pik3r3	phosphatidylinositol 3 kinase, regulatory subunit, polypeptide 3 (p55)	7.49e-03	0.4445	-0.1122	0.0414
		33	Spsb1	splA/ryanodine receptor domain and SOCS box containing 1	3.49e-03	0.3972	-0.1308	0.044
		34	Mgll	monoglyceride lipase	6.04e-03	0.441	-0.091	0.0327
		35	Bcl7b	B cell CLL/lymphoma 7B	2.71e-03	0.3699	-0.1089	0.0357
		36	Btbd9	BTB (POZ) domain containing 9	3.04e-03	0.3842	-0.1373	0.0455
		37.5	Fastkd5	FAST kinase domains 5	3.00e-03	0.3842	-0.0945	0.0313
		37.5	Nedd4l	neural precursor cell expressed, developmentally down-regulated gene 4-like	4.11e-03	0.3974	-0.1199	0.0411
		39	Atf6b	activating transcription factor 6 beta	2.23e-04	0.1347	-0.1418	0.0374
		40	Slc15a2	solute carrier family 15 (H+/peptide transporter), member 2	6.30e-03	0.441	-0.1989	0.0717
		41	Ccr5	chemokine (C-C motif) receptor 5	3.47e-03	0.3972	-0.131	0.0441
		42	Smad3	SMAD family member 3	7.99e-03	0.4518	-0.1273	0.0473
		43	Kcnab2	potassium voltage-gated channel, shaker-related subfamily, beta member 2	3.20e-03	0.3947	-0.1326	0.0442
		44	Ptk2	PTK2 protein tyrosine kinase 2	6.78e-03	0.4417	-0.07	0.0255
		45	Rapgef4	Rap guanine nucleotide exchange factor (GEF) 4	1.10e-03	0.2436	-0.1964	0.0589
		46	Axin1	axin 1	6.99e-03	0.4417	-0.1123	0.0401
		47	Osmr	oncostatin M receptor	3.56e-03	0.3974	-0.1239	0.0418
		48	Pde3b	phosphodiesterase 3B, cGMP-inhibited	6.52e-03	0.441	-0.0905	0.032
		49.5	Entpd4	ectonucleoside triphosphate diphosphohydrolase 4	1.13e-03	0.2441	-0.1594	0.0479
		49.5	Sptb	spectrin beta, erythrocytic	4.20e-03	0.3974	-0.122	0.0419
