Study	Sample	Disease_stage	Genotype	Timepoint	Gender	Dataset	Age	Original_genotype	Age_timepoint	Phase	Order	Platform	Model_types
GSE64398	GSE64398_WT_8m_Hipp_rep3	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep4	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep5	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep6	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep7	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep8	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_WT_8m_Hipp_rep9	WT	WT	1m	M	GSE64398.1	8	WT	NA	NA	NA	NA	WT
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_18m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	18	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_18m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_18m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_18m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	18	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_4m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	4	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_het_TASTPM_8m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	8	het_TASTPM	4-18m	late	10	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_ho_TASTPM_8m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	8	ho_TASTPM	4-18m	late	11	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAS10_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	TAS10	8-18m	late	7	GPL6885	Amyloid transgenic models
GSE64398	GSE64398_TAU_18m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	18	TAU	4-18m	late	14	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_8m_Hipp_rep1	Disease	AD	1m	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_8m_Hipp_rep2	Disease	AD	1m	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_8m_Hipp_rep3	Disease	AD	1m	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU transgenic models
GSE64398	GSE64398_TAU_8m_Hipp_rep4	Disease	AD	1m	M	GSE64398.1	8	TAU	4-18m	late	14	GPL6885	TAU transgenic models
GSE53480	GSE53480_WT_rep1	WT	WT	1m	M	GSE53480	4	WT	NA	NA	NA	NA	WT
GSE53480	GSE53480_WT_rep2	WT	WT	1m	M	GSE53480	4	WT	NA	NA	NA	NA	WT
GSE53480	GSE53480_WT_rep3	WT	WT	1m	F	GSE53480	4	WT	NA	NA	NA	NA	WT
GSE53480	GSE53480_WT_rep4	WT	WT	1m	M	GSE53480	4	WT	NA	NA	NA	NA	WT
GSE53480	GSE53480_Tg4510_rep1	Disease	AD	1m	F	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU transgenic models
GSE53480	GSE53480_Tg4510_rep2	Disease	AD	1m	M	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU transgenic models
GSE53480	GSE53480_Tg4510_rep3	Disease	AD	1m	M	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU transgenic models
GSE53480	GSE53480_Tg4510_rep4	Disease	AD	1m	F	GSE53480	4	Tg4510	4m	late	15	GPL1261	TAU transgenic models
GSE63617	GSE63617_15m_hp_VH_rep1	WT	WT	1m	F	GSE63617.2	15	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_15m_hp_VH_rep2	WT	WT	1m	F	GSE63617.2	15	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_15m_hp_VH_rep3	WT	WT	1m	F	GSE63617.2	15	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_15m_hp_VH_rep4	WT	WT	1m	F	GSE63617.2	15	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_15m_hp_VH_rep5	WT	WT	1m	F	GSE63617.2	15	WT	NA	NA	NA	NA	WT
GSE63617	GSE63617_15m_hp_AD11_rep1	Disease	AD	1m	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other models
GSE63617	GSE63617_15m_hp_AD11_rep2	Disease	AD	1m	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other models
GSE63617	GSE63617_15m_hp_AD11_rep3	Disease	AD	1m	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other models
GSE63617	GSE63617_15m_hp_AD11_rep4	Disease	AD	1m	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other models
GSE63617	GSE63617_15m_hp_AD11_rep5	Disease	AD	1m	F	GSE63617.2	15	AD11	15m	late	20	GPL7202	Other models
